text	curie	name	predicate	source
cel-let-7	mirbase:MI0000001	cel-let-7	rdfs:label	mirbase
cel-lin-4L	mirbase:MI0000002	cel-lin-4	oboInOwl:hasRelatedSynonym	mirbase
cel-lin-4	mirbase:MI0000002	cel-lin-4	rdfs:label	mirbase
cel-mir-1	mirbase:MI0000003	cel-mir-1	rdfs:label	mirbase
cel-mir-2	mirbase:MI0000004	cel-mir-2	rdfs:label	mirbase
cel-mir-34	mirbase:MI0000005	cel-mir-34	rdfs:label	mirbase
cel-mir-35	mirbase:MI0000006	cel-mir-35	rdfs:label	mirbase
cel-mir-36	mirbase:MI0000007	cel-mir-36	rdfs:label	mirbase
cel-mir-37	mirbase:MI0000008	cel-mir-37	rdfs:label	mirbase
cel-mir-38	mirbase:MI0000009	cel-mir-38	rdfs:label	mirbase
cel-mir-39	mirbase:MI0000010	cel-mir-39	rdfs:label	mirbase
cel-mir-40	mirbase:MI0000011	cel-mir-40	rdfs:label	mirbase
cel-mir-41	mirbase:MI0000012	cel-mir-41	rdfs:label	mirbase
cel-mir-42	mirbase:MI0000013	cel-mir-42	rdfs:label	mirbase
cel-mir-43	mirbase:MI0000014	cel-mir-43	rdfs:label	mirbase
cel-mir-44	mirbase:MI0000015	cel-mir-44	rdfs:label	mirbase
cel-mir-45	mirbase:MI0000016	cel-mir-45	rdfs:label	mirbase
cel-mir-46	mirbase:MI0000017	cel-mir-46	rdfs:label	mirbase
cel-mir-47	mirbase:MI0000018	cel-mir-47	rdfs:label	mirbase
cel-mir-48	mirbase:MI0000019	cel-mir-48	rdfs:label	mirbase
cel-mir-49	mirbase:MI0000020	cel-mir-49	rdfs:label	mirbase
cel-mir-50	mirbase:MI0000021	cel-mir-50	rdfs:label	mirbase
cel-mir-51	mirbase:MI0000022	cel-mir-51	rdfs:label	mirbase
cel-mir-52	mirbase:MI0000023	cel-mir-52	rdfs:label	mirbase
cel-mir-53	mirbase:MI0000024	cel-mir-53	rdfs:label	mirbase
cel-mir-54	mirbase:MI0000025	cel-mir-54	rdfs:label	mirbase
