identifier	name	definition	synonyms	alts	parents	species
MI0000001	cel-let-7	Caenorhabditis elegans let-7 stem-loop				ncbitaxon:6239
MI0000002	cel-lin-4	Caenorhabditis elegans lin-4 stem-loop	cel-lin-4L			ncbitaxon:6239
MI0000003	cel-mir-1	Caenorhabditis elegans miR-1 stem-loop				ncbitaxon:6239
MI0000004	cel-mir-2	Caenorhabditis elegans miR-2 stem-loop				ncbitaxon:6239
MI0000005	cel-mir-34	Caenorhabditis elegans miR-34 stem-loop				ncbitaxon:6239
MI0000006	cel-mir-35	Caenorhabditis elegans miR-35 stem-loop				ncbitaxon:6239
MI0000007	cel-mir-36	Caenorhabditis elegans miR-36 stem-loop				ncbitaxon:6239
MI0000008	cel-mir-37	Caenorhabditis elegans miR-37 stem-loop				ncbitaxon:6239
MI0000009	cel-mir-38	Caenorhabditis elegans miR-38 stem-loop				ncbitaxon:6239
MI0000010	cel-mir-39	Caenorhabditis elegans miR-39 stem-loop				ncbitaxon:6239
MI0000011	cel-mir-40	Caenorhabditis elegans miR-40 stem-loop				ncbitaxon:6239
MI0000012	cel-mir-41	Caenorhabditis elegans miR-41 stem-loop				ncbitaxon:6239
MI0000013	cel-mir-42	Caenorhabditis elegans miR-42 stem-loop				ncbitaxon:6239
MI0000014	cel-mir-43	Caenorhabditis elegans miR-43 stem-loop				ncbitaxon:6239
MI0000015	cel-mir-44	Caenorhabditis elegans miR-44 stem-loop				ncbitaxon:6239
MI0000016	cel-mir-45	Caenorhabditis elegans miR-45 stem-loop				ncbitaxon:6239
MI0000017	cel-mir-46	Caenorhabditis elegans miR-46 stem-loop				ncbitaxon:6239
MI0000018	cel-mir-47	Caenorhabditis elegans miR-47 stem-loop				ncbitaxon:6239
MI0000019	cel-mir-48	Caenorhabditis elegans miR-48 stem-loop				ncbitaxon:6239
MI0000020	cel-mir-49	Caenorhabditis elegans miR-49 stem-loop				ncbitaxon:6239
MI0000021	cel-mir-50	Caenorhabditis elegans miR-50 stem-loop				ncbitaxon:6239
MI0000022	cel-mir-51	Caenorhabditis elegans miR-51 stem-loop				ncbitaxon:6239
MI0000023	cel-mir-52	Caenorhabditis elegans miR-52 stem-loop				ncbitaxon:6239
MI0000024	cel-mir-53	Caenorhabditis elegans miR-53 stem-loop				ncbitaxon:6239
MI0000025	cel-mir-54	Caenorhabditis elegans miR-54 stem-loop				ncbitaxon:6239
MI0000026	cel-mir-55	Caenorhabditis elegans miR-55 stem-loop				ncbitaxon:6239
MI0000027	cel-mir-56	Caenorhabditis elegans miR-56 stem-loop				ncbitaxon:6239
MI0000028	cel-mir-57	Caenorhabditis elegans miR-57 stem-loop				ncbitaxon:6239
MI0000029	cel-mir-58a	Caenorhabditis elegans miR-58 stem-loop	cel-mir-58			ncbitaxon:6239
MI0000030	cel-mir-59	Caenorhabditis elegans miR-59 stem-loop				ncbitaxon:6239
MI0000031	cel-mir-60	Caenorhabditis elegans miR-60 stem-loop				ncbitaxon:6239
MI0000032	cel-mir-61	Caenorhabditis elegans miR-61 stem-loop				ncbitaxon:6239
MI0000033	cel-mir-62	Caenorhabditis elegans miR-62 stem-loop				ncbitaxon:6239
MI0000034	cel-mir-63	Caenorhabditis elegans miR-63 stem-loop				ncbitaxon:6239
MI0000035	cel-mir-64	Caenorhabditis elegans miR-64 stem-loop				ncbitaxon:6239
MI0000036	cel-mir-65	Caenorhabditis elegans miR-65 stem-loop				ncbitaxon:6239
MI0000037	cel-mir-66	Caenorhabditis elegans miR-66 stem-loop				ncbitaxon:6239
MI0000038	cel-mir-67	Caenorhabditis elegans miR-67 stem-loop				ncbitaxon:6239
MI0000041	cel-mir-70	Caenorhabditis elegans miR-70 stem-loop				ncbitaxon:6239
MI0000042	cel-mir-71	Caenorhabditis elegans miR-71 stem-loop				ncbitaxon:6239
