text	curie	name	predicate	provenance	source
PID_FANCONI_PATHWAY	msigdb:M1	PID_FANCONI_PATHWAY	rdfs:label	pubmed:18832364	msigdb
PID_BCR_5PATHWAY	msigdb:M10	PID_BCR_5PATHWAY	rdfs:label	pubmed:18832364	msigdb
PID_SHP2_PATHWAY	msigdb:M100	PID_SHP2_PATHWAY	rdfs:label	pubmed:18832364	msigdb
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX	msigdb:M1000	REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX	rdfs:label		msigdb
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_UP	msigdb:M10001	GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_UP	rdfs:label		msigdb
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_DN	msigdb:M10002	GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_DN	rdfs:label		msigdb
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_MCMV_INFECTION_UP	msigdb:M10003	GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_MCMV_INFECTION_UP	rdfs:label		msigdb
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_MCMV_INFECTION_DN	msigdb:M10004	GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_MCMV_INFECTION_DN	rdfs:label		msigdb
chr6q15	msigdb:M10005	chr6q15	rdfs:label		msigdb
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_UP	msigdb:M10006	GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_UP	rdfs:label		msigdb
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_DN	msigdb:M10007	GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_DN	rdfs:label		msigdb
GSE45365_NK_CELL_VS_CD8_TCELL_DN	msigdb:M10008	GSE45365_NK_CELL_VS_CD8_TCELL_DN	rdfs:label		msigdb
GOBP_MYELOID_CELL_DIFFERENTIATION	msigdb:M10009	GOBP_MYELOID_CELL_DIFFERENTIATION	rdfs:label		msigdb
BIOCARTA_RHO_PATHWAY	msigdb:M1001	BIOCARTA_RHO_PATHWAY	rdfs:label		msigdb
VALK_AML_WITH_FLT3_ITD	msigdb:M10010	VALK_AML_WITH_FLT3_ITD	rdfs:label	pubmed:15084694	msigdb
GSE45365_NK_CELL_VS_CD8A_DC_MCMV_INFECTION_UP	msigdb:M10011	GSE45365_NK_CELL_VS_CD8A_DC_MCMV_INFECTION_UP	rdfs:label		msigdb
GSE45365_NK_CELL_VS_CD8A_DC_MCMV_INFECTION_DN	msigdb:M10012	GSE45365_NK_CELL_VS_CD8A_DC_MCMV_INFECTION_DN	rdfs:label		msigdb
GSE37336_LY6C_POS_VS_NEG_NAIVE_CD4_TCELL_DN	msigdb:M10013	GSE37336_LY6C_POS_VS_NEG_NAIVE_CD4_TCELL_DN	rdfs:label		msigdb
GSE18804_SPLEEN_MACROPHAGE_VS_BRAIN_TUMORAL_MACROPHAGE_UP	msigdb:M10014	GSE18804_SPLEEN_MACROPHAGE_VS_BRAIN_TUMORAL_MACROPHAGE_UP	rdfs:label		msigdb
GSE18804_SPLEEN_MACROPHAGE_VS_BRAIN_TUMORAL_MACROPHAGE_DN	msigdb:M10015	GSE18804_SPLEEN_MACROPHAGE_VS_BRAIN_TUMORAL_MACROPHAGE_DN	rdfs:label		msigdb
GSE37336_LY6C_POS_VS_NEG_NAIVE_CD4_TCELL_UP	msigdb:M10016	GSE37336_LY6C_POS_VS_NEG_NAIVE_CD4_TCELL_UP	rdfs:label		msigdb
GSE18804_BRAIN_VS_COLON_TUMORAL_MACROPHAGE_DN	msigdb:M10017	GSE18804_BRAIN_VS_COLON_TUMORAL_MACROPHAGE_DN	rdfs:label		msigdb
GSE18804_SPLEEN_MACROPHAGE_VS_TUMORAL_MACROPHAGE_UP	msigdb:M10018	GSE18804_SPLEEN_MACROPHAGE_VS_TUMORAL_MACROPHAGE_UP	rdfs:label		msigdb
chr13q21	msigdb:M10019	chr13q21	rdfs:label		msigdb
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	msigdb:M1002	REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	rdfs:label		msigdb
GSE18804_SPLEEN_MACROPHAGE_VS_TUMORAL_MACROPHAGE_DN	msigdb:M10020	GSE18804_SPLEEN_MACROPHAGE_VS_TUMORAL_MACROPHAGE_DN	rdfs:label		msigdb
GSE18804_BRAIN_VS_COLON_TUMORAL_MACROPHAGE_UP	msigdb:M10021	GSE18804_BRAIN_VS_COLON_TUMORAL_MACROPHAGE_UP	rdfs:label		msigdb
GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_DN	msigdb:M10022	GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_DN	rdfs:label		msigdb
GSE45365_NK_CELL_VS_BCELL_DN	msigdb:M10023	GSE45365_NK_CELL_VS_BCELL_DN	rdfs:label		msigdb
WENDT_COHESIN_TARGETS_UP	msigdb:M10024	WENDT_COHESIN_TARGETS_UP	rdfs:label	pubmed:18235444	msigdb
GSE45365_NK_CELL_VS_CD8_TCELL_UP	msigdb:M10025	GSE45365_NK_CELL_VS_CD8_TCELL_UP	rdfs:label		msigdb
GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_UP	msigdb:M10026	GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_UP	rdfs:label		msigdb
GSE45365_NK_CELL_VS_CD11B_DC_DN	msigdb:M10027	GSE45365_NK_CELL_VS_CD11B_DC_DN	rdfs:label		msigdb
GSE45365_NK_CELL_VS_CD8A_DC_UP	msigdb:M10028	GSE45365_NK_CELL_VS_CD8A_DC_UP	rdfs:label		msigdb
GSE45365_NK_CELL_VS_CD8A_DC_DN	msigdb:M10029	GSE45365_NK_CELL_VS_CD8A_DC_DN	rdfs:label		msigdb
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	msigdb:M1003	REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	rdfs:label		msigdb
GSE45365_NK_CELL_VS_CD11B_DC_UP	msigdb:M10030	GSE45365_NK_CELL_VS_CD11B_DC_UP	rdfs:label		msigdb
GSE45365_NK_CELL_VS_BCELL_UP	msigdb:M10031	GSE45365_NK_CELL_VS_BCELL_UP	rdfs:label		msigdb
GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_UP	msigdb:M10032	GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_UP	rdfs:label		msigdb
GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_DN	msigdb:M10033	GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_DN	rdfs:label		msigdb
GOBP_CARDIAC_CHAMBER_DEVELOPMENT	msigdb:M10039	GOBP_CARDIAC_CHAMBER_DEVELOPMENT	rdfs:label		msigdb
MODULE_172	msigdb:M10041	MODULE_172	rdfs:label		msigdb
GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	msigdb:M10043	GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	rdfs:label		msigdb
GOBP_CIRCADIAN_RHYTHM	msigdb:M10045	GOBP_CIRCADIAN_RHYTHM	rdfs:label		msigdb
ATF_B	msigdb:M10046	ATF_B	rdfs:label		msigdb
GOBP_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	msigdb:M10047	GOBP_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	rdfs:label		msigdb
GOBP_SPINAL_CORD_DEVELOPMENT	msigdb:M10048	GOBP_SPINAL_CORD_DEVELOPMENT	rdfs:label		msigdb
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	msigdb:M1005	REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	rdfs:label		msigdb
GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	msigdb:M10050	GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	rdfs:label		msigdb
GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	msigdb:M10052	GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	rdfs:label		msigdb
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	msigdb:M10054	GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	rdfs:label		msigdb
AHRARNT_01	msigdb:M10057	AHRARNT_01	rdfs:label		msigdb
MORF_RAGE	msigdb:M1006	MORF_RAGE	rdfs:label		msigdb
GOBP_POTASSIUM_ION_TRANSPORT	msigdb:M10060	GOBP_POTASSIUM_ION_TRANSPORT	rdfs:label		msigdb
GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	msigdb:M10062	GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	rdfs:label		msigdb
REACTOME_TRIGLYCERIDE_CATABOLISM	msigdb:M10064	REACTOME_TRIGLYCERIDE_CATABOLISM	rdfs:label		msigdb
GNF2_CKS1B	msigdb:M10065	GNF2_CKS1B	rdfs:label		msigdb
BIOCARTA_GCR_PATHWAY	msigdb:M10066	BIOCARTA_GCR_PATHWAY	rdfs:label		msigdb
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	msigdb:M10067	GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	rdfs:label		msigdb
FERRANDO_TAL1_NEIGHBORS	msigdb:M1007	FERRANDO_TAL1_NEIGHBORS	rdfs:label	pubmed:12086890	msigdb
GOBP_APICAL_PROTEIN_LOCALIZATION	msigdb:M10070	GOBP_APICAL_PROTEIN_LOCALIZATION	rdfs:label		msigdb
MORF_MTA1	msigdb:M10071	MORF_MTA1	rdfs:label		msigdb
MORF_ITGA2	msigdb:M10073	MORF_ITGA2	rdfs:label		msigdb
GOBP_FOREBRAIN_NEURON_DEVELOPMENT	msigdb:M10074	GOBP_FOREBRAIN_NEURON_DEVELOPMENT	rdfs:label		msigdb
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MATURATION	msigdb:M10076	GOBP_POSITIVE_REGULATION_OF_PROTEIN_MATURATION	rdfs:label		msigdb
GOBP_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	msigdb:M10077	GOBP_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	rdfs:label		msigdb
GOBP_MITOTIC_CYTOKINESIS	msigdb:M10078	GOBP_MITOTIC_CYTOKINESIS	rdfs:label		msigdb
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	msigdb:M10079	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	rdfs:label		msigdb
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	msigdb:M1008	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	rdfs:label		msigdb
GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	msigdb:M10081	GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	rdfs:label		msigdb
BIOCARTA_TNFR2_PATHWAY	msigdb:M10082	BIOCARTA_TNFR2_PATHWAY	rdfs:label		msigdb
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	msigdb:M10083	GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	rdfs:label		msigdb
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_DN	msigdb:M10084	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_DN	rdfs:label	pubmed:16818636	msigdb
GOBP_CYTOPLASMIC_TRANSLATION	msigdb:M10085	GOBP_CYTOPLASMIC_TRANSLATION	rdfs:label		msigdb
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	msigdb:M10086	GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	rdfs:label		msigdb
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	msigdb:M10087	GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	rdfs:label		msigdb
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	msigdb:M10088	GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	rdfs:label		msigdb
GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS	msigdb:M10089	GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS	rdfs:label		msigdb
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	msigdb:M1009	REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	rdfs:label		msigdb
WAMUNYOKOLI_OVARIAN_CANCER_LMP_DN	msigdb:M10091	WAMUNYOKOLI_OVARIAN_CANCER_LMP_DN	rdfs:label	pubmed:16467078	msigdb
GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	msigdb:M10092	GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	rdfs:label		msigdb
GOBP_DENDRITE_DEVELOPMENT	msigdb:M10094	GOBP_DENDRITE_DEVELOPMENT	rdfs:label		msigdb
GOBP_REGULATION_OF_RESPIRATORY_BURST	msigdb:M10095	GOBP_REGULATION_OF_RESPIRATORY_BURST	rdfs:label		msigdb
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	msigdb:M10096	GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	rdfs:label		msigdb
GGGACCA_MIR133A_MIR133B	msigdb:M10098	GGGACCA_MIR133A_MIR133B	rdfs:label		msigdb
GOBP_MEMORY	msigdb:M10099	GOBP_MEMORY	rdfs:label		msigdb
PID_HDAC_CLASSI_PATHWAY	msigdb:M101	PID_HDAC_CLASSI_PATHWAY	rdfs:label	pubmed:18832364	msigdb
GCACCTT_MIR18A_MIR18B	msigdb:M1010	GCACCTT_MIR18A_MIR18B	rdfs:label		msigdb
CHOI_ATL_ACUTE_STAGE	msigdb:M10100	CHOI_ATL_ACUTE_STAGE	rdfs:label	pubmed:16909099	msigdb
GOBP_REGULATION_OF_GOLGI_ORGANIZATION	msigdb:M10103	GOBP_REGULATION_OF_GOLGI_ORGANIZATION	rdfs:label		msigdb
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	msigdb:M10104	GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	rdfs:label		msigdb
TGGTGCT_MIR29A_MIR29B_MIR29C	msigdb:M10105	TGGTGCT_MIR29A_MIR29B_MIR29C	rdfs:label		msigdb
GOBP_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION	msigdb:M10106	GOBP_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION	rdfs:label		msigdb
GOBP_REGULATION_OF_CELL_ACTIVATION	msigdb:M10107	GOBP_REGULATION_OF_CELL_ACTIVATION	rdfs:label		msigdb
REACTOME_MEIOTIC_RECOMBINATION	msigdb:M1011	REACTOME_MEIOTIC_RECOMBINATION	rdfs:label		msigdb
RNGTGGGC_UNKNOWN	msigdb:M10112	RNGTGGGC_UNKNOWN	rdfs:label	pubmed:15735639	msigdb
GOBP_LIPID_MODIFICATION	msigdb:M10113	GOBP_LIPID_MODIFICATION	rdfs:label		msigdb
E2F_Q4	msigdb:M10115	E2F_Q4	rdfs:label		msigdb
GOBP_REGULATION_OF_HEPATOCYTE_PROLIFERATION	msigdb:M10116	GOBP_REGULATION_OF_HEPATOCYTE_PROLIFERATION	rdfs:label		msigdb
VERHAAK_AML_WITH_NPM1_MUTATED_DN	msigdb:M10117	VERHAAK_AML_WITH_NPM1_MUTATED_DN	rdfs:label	pubmed:16109776	msigdb
GOBP_ACYLGLYCEROL_HOMEOSTASIS	msigdb:M10118	GOBP_ACYLGLYCEROL_HOMEOSTASIS	rdfs:label		msigdb
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING	msigdb:M1012	REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING	rdfs:label		msigdb
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	msigdb:M10120	GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	rdfs:label		msigdb
GOBP_HEMOGLOBIN_METABOLIC_PROCESS	msigdb:M10121	GOBP_HEMOGLOBIN_METABOLIC_PROCESS	rdfs:label		msigdb
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	msigdb:M10122	REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	rdfs:label		msigdb
GOBP_SINGLE_FERTILIZATION	msigdb:M10123	GOBP_SINGLE_FERTILIZATION	rdfs:label		msigdb
GOBP_CHROMOSOME_ORGANIZATION	msigdb:M10125	GOBP_CHROMOSOME_ORGANIZATION	rdfs:label		msigdb
AGGAAGC_MIR5163P	msigdb:M10126	AGGAAGC_MIR5163P	rdfs:label		msigdb
GOBP_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY	msigdb:M10128	GOBP_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY	rdfs:label		msigdb
GOBP_SYNAPTIC_VESICLE_LOCALIZATION	msigdb:M10129	GOBP_SYNAPTIC_VESICLE_LOCALIZATION	rdfs:label		msigdb
FXR_IR1_Q6	msigdb:M1013	FXR_IR1_Q6	rdfs:label		msigdb
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	msigdb:M10130	GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	rdfs:label		msigdb
GOBP_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	msigdb:M10131	GOBP_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	rdfs:label		msigdb
GOBP_ESTABLISHMENT_OF_SPINDLE_ORIENTATION	msigdb:M10132	GOBP_ESTABLISHMENT_OF_SPINDLE_ORIENTATION	rdfs:label		msigdb
chr17p12	msigdb:M10133	chr17p12	rdfs:label		msigdb
MODULE_93	msigdb:M10134	MODULE_93	rdfs:label		msigdb
GOBP_METANEPHRIC_NEPHRON_MORPHOGENESIS	msigdb:M10135	GOBP_METANEPHRIC_NEPHRON_MORPHOGENESIS	rdfs:label		msigdb
GNF2_RTN1	msigdb:M10137	GNF2_RTN1	rdfs:label		msigdb
GOBP_RESPONSE_TO_UV_C	msigdb:M10139	GOBP_RESPONSE_TO_UV_C	rdfs:label		msigdb
REACTOME_INTERLEUKIN_6_SIGNALING	msigdb:M1014	REACTOME_INTERLEUKIN_6_SIGNALING	rdfs:label		msigdb
GOBP_DENTATE_GYRUS_DEVELOPMENT	msigdb:M10141	GOBP_DENTATE_GYRUS_DEVELOPMENT	rdfs:label		msigdb
KALMA_E2F1_TARGETS	msigdb:M10142	KALMA_E2F1_TARGETS	rdfs:label	pubmed:11313881	msigdb
CREL_01	msigdb:M10143	CREL_01	rdfs:label		msigdb
BIOCARTA_PTEN_PATHWAY	msigdb:M10145	BIOCARTA_PTEN_PATHWAY	rdfs:label		msigdb
MORF_DNMT1	msigdb:M10146	MORF_DNMT1	rdfs:label		msigdb
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT	msigdb:M10147	GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT	rdfs:label		msigdb
