subject_id	object_id	predicate_id	mapping_justification
msigdb:M1000	reactome:R-HSA-937072	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10009	GO:0030099	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M1002	reactome:R-HSA-168928	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M1003	reactome:R-HSA-937041	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10039	GO:0003205	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10043	GO:0045005	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10045	GO:0007623	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10047	GO:0036150	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10048	GO:0021510	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M1005	reactome:R-HSA-5696395	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10050	GO:0048008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10052	GO:0071402	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10054	GO:0030858	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10060	GO:0006813	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10062	GO:0050856	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10064	reactome:R-HSA-163560	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10067	GO:0050680	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10070	GO:0045176	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10074	GO:0021884	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10076	GO:1903319	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10077	GO:0007528	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10078	GO:0000281	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
msigdb:M10079	GO:1903573	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
