text	curie	name	predicate	source
Standard	ncbi.gc:1	Standard	rdfs:label	ncbi.gc
Euplotid Nuclear	ncbi.gc:10	Euplotid Nuclear	rdfs:label	ncbi.gc
Bacterial, Archaeal and Plant Plastid	ncbi.gc:11	Bacterial, Archaeal and Plant Plastid	rdfs:label	ncbi.gc
Alternative Yeast Nuclear	ncbi.gc:12	Alternative Yeast Nuclear	rdfs:label	ncbi.gc
Ascidian Mitochondrial	ncbi.gc:13	Ascidian Mitochondrial	rdfs:label	ncbi.gc
Alternative Flatworm Mitochondrial	ncbi.gc:14	Alternative Flatworm Mitochondrial	rdfs:label	ncbi.gc
Blepharisma Macronuclear	ncbi.gc:15	Blepharisma Macronuclear	rdfs:label	ncbi.gc
Chlorophycean Mitochondrial	ncbi.gc:16	Chlorophycean Mitochondrial	rdfs:label	ncbi.gc
Vertebrate Mitochondrial	ncbi.gc:2	Vertebrate Mitochondrial	rdfs:label	ncbi.gc
Trematode Mitochondrial	ncbi.gc:21	Trematode Mitochondrial	rdfs:label	ncbi.gc
Scenedesmus obliquus Mitochondrial	ncbi.gc:22	Scenedesmus obliquus Mitochondrial	rdfs:label	ncbi.gc
Thraustochytrium Mitochondrial	ncbi.gc:23	Thraustochytrium Mitochondrial	rdfs:label	ncbi.gc
Rhabdopleuridae Mitochondrial	ncbi.gc:24	Rhabdopleuridae Mitochondrial	rdfs:label	ncbi.gc
Candidate Division SR1 and Gracilibacteria	ncbi.gc:25	Candidate Division SR1 and Gracilibacteria	rdfs:label	ncbi.gc
Pachysolen tannophilus Nuclear	ncbi.gc:26	Pachysolen tannophilus Nuclear	rdfs:label	ncbi.gc
Karyorelict Nuclear	ncbi.gc:27	Karyorelict Nuclear	rdfs:label	ncbi.gc
Condylostoma Nuclear	ncbi.gc:28	Condylostoma Nuclear	rdfs:label	ncbi.gc
Mesodinium Nuclear	ncbi.gc:29	Mesodinium Nuclear	rdfs:label	ncbi.gc
Yeast Mitochondrial	ncbi.gc:3	Yeast Mitochondrial	rdfs:label	ncbi.gc
Peritrich Nuclear	ncbi.gc:30	Peritrich Nuclear	rdfs:label	ncbi.gc
Blastocrithidia Nuclear	ncbi.gc:31	Blastocrithidia Nuclear	rdfs:label	ncbi.gc
Balanophoraceae Plastid	ncbi.gc:32	Balanophoraceae Plastid	rdfs:label	ncbi.gc
Mold Mitochondrial; Protozoan Mitochondrial; Coelenterate	ncbi.gc:4	Mold Mitochondrial; Protozoan Mitochondrial; Coelenterate	rdfs:label	ncbi.gc
Invertebrate Mitochondrial	ncbi.gc:5	Invertebrate Mitochondrial	rdfs:label	ncbi.gc
Ciliate Nuclear; Dasycladacean Nuclear; Hexamita Nuclear	ncbi.gc:6	Ciliate Nuclear; Dasycladacean Nuclear; Hexamita Nuclear	rdfs:label	ncbi.gc
Echinoderm Mitochondrial; Flatworm Mitochondrial	ncbi.gc:9	Echinoderm Mitochondrial; Flatworm Mitochondrial	rdfs:label	ncbi.gc
mitochondrial genetic code translation table	obo:ncbi.gc#mitochondrial-genetic-code	mitochondrial genetic code translation table	rdfs:label	obo
nuclear genetic code translation table	obo:ncbi.gc#nuclear-genetic-code	nuclear genetic code translation table	rdfs:label	obo
plastid genetic code translation table	obo:ncbi.gc#plastid-genetic-code	plastid genetic code translation table	rdfs:label	obo
genetic code translation table	obo:ncbi.gc#root	genetic code translation table	rdfs:label	obo
has genetic code translation table	obo:ncbi.gc#hasGeneticCodeTranslationTable	has genetic code translation table	rdfs:label	obo
