identifier	name	definition	synonyms	alts	parents	species
1	Standard				obo:ncbi.gc#root	
10	Euplotid Nuclear				obo:ncbi.gc#nuclear-genetic-code	
11	Bacterial, Archaeal and Plant Plastid				obo:ncbi.gc#plastid-genetic-code	
12	Alternative Yeast Nuclear				obo:ncbi.gc#nuclear-genetic-code	
13	Ascidian Mitochondrial				obo:ncbi.gc#mitochondrial-genetic-code	
14	Alternative Flatworm Mitochondrial				obo:ncbi.gc#mitochondrial-genetic-code	
15	Blepharisma Macronuclear				obo:ncbi.gc#nuclear-genetic-code	
16	Chlorophycean Mitochondrial				obo:ncbi.gc#mitochondrial-genetic-code	
2	Vertebrate Mitochondrial				obo:ncbi.gc#mitochondrial-genetic-code	
21	Trematode Mitochondrial				obo:ncbi.gc#mitochondrial-genetic-code	
22	Scenedesmus obliquus Mitochondrial				obo:ncbi.gc#mitochondrial-genetic-code	
23	Thraustochytrium Mitochondrial				obo:ncbi.gc#mitochondrial-genetic-code	
24	Rhabdopleuridae Mitochondrial				obo:ncbi.gc#mitochondrial-genetic-code	
25	Candidate Division SR1 and Gracilibacteria				obo:ncbi.gc#root	
26	Pachysolen tannophilus Nuclear				obo:ncbi.gc#nuclear-genetic-code	
27	Karyorelict Nuclear				obo:ncbi.gc#nuclear-genetic-code	
28	Condylostoma Nuclear				obo:ncbi.gc#nuclear-genetic-code	
29	Mesodinium Nuclear				obo:ncbi.gc#nuclear-genetic-code	
3	Yeast Mitochondrial				obo:ncbi.gc#mitochondrial-genetic-code	
30	Peritrich Nuclear				obo:ncbi.gc#nuclear-genetic-code	
31	Blastocrithidia Nuclear				obo:ncbi.gc#nuclear-genetic-code	
32	Balanophoraceae Plastid				obo:ncbi.gc#plastid-genetic-code	
4	Mold Mitochondrial; Protozoan Mitochondrial; Coelenterate				obo:ncbi.gc#mitochondrial-genetic-code	
5	Invertebrate Mitochondrial				obo:ncbi.gc#mitochondrial-genetic-code	
6	Ciliate Nuclear; Dasycladacean Nuclear; Hexamita Nuclear				obo:ncbi.gc#nuclear-genetic-code	
7						
8						
9	Echinoderm Mitochondrial; Flatworm Mitochondrial				obo:ncbi.gc#mitochondrial-genetic-code	
