identifier	name	definition	synonyms	alts	parents	species
FSR	Forensic Science Review				obo:nlm#publisher	
aaem	Institute of Rural Health				obo:nlm#publisher	
aafp	American Academy of Family Physicians				obo:nlm#publisher	
acs	American Chemical Society				obo:nlm#publisher	
aebi	Asociacion Espanola de Bioetica y Etica Medica				obo:nlm#publisher	
aegis	AEGIS Communications				obo:nlm#publisher	
aerzteverlag	Aerzteverlag medinfo AG				obo:nlm#publisher	
afhsc	Armed Forces Health Surveillance Branch				obo:nlm#publisher	
ageb	Acta Gastro-Enterologica Belgica				obo:nlm#publisher	
ahrq	Agency for Healthcare Research and Quality				obo:nlm#publisher	
aimsbu	American Institute of Mathematical Sciences and Beihang University				obo:nlm#publisher	
aip	American Institute of Physics				obo:nlm#publisher	
airitip	Ainosco Press				obo:nlm#publisher	
ajj	Anthony J. Jannetti, Inc.				obo:nlm#publisher	
akademperiodyka	Publishing House “Akademperiodyka”				obo:nlm#publisher	
akdema	Akdema Informatics and Publication				obo:nlm#publisher	
alimsthai	Allergy and Immunology Society of Thailand				obo:nlm#publisher	
ama	American Medical Association				obo:nlm#publisher	
ambit	proLekare.cz				obo:nlm#publisher	
amepub	AME Publishing Company				obo:nlm#publisher	
amha	Croatian Scientific Society for the History of Medicine				obo:nlm#publisher	
amjdent	American Journal of Dentistry				obo:nlm#publisher	
ampsych	American Psychological Association				obo:nlm#publisher	
amsir	Academy Of Medical Sciences of I.R. of Iran				obo:nlm#publisher	
aosis	AOSIS OpenJournals				obo:nlm#publisher	
apocp	Asian Pacific Organization for Cancer Prevention				obo:nlm#publisher	
aps	American Physical Society				obo:nlm#publisher	
apslovak	AEPress, s r. o.				obo:nlm#publisher	
aran	Aran ediciones, S.L.				obo:nlm#publisher	
arhfr	JCU, James Cook University				obo:nlm#publisher	
ariesdue	Ariesdue Srl				obo:nlm#publisher	
armam	Automation in Microbiology				obo:nlm#publisher	
asabe	American Society of Agricultural and Biological Engineers Publications				obo:nlm#publisher	
asabh	Acta Medica Academica				obo:nlm#publisher	
ascmed	Clinical Care Targeted Communications Group, LLC				obo:nlm#publisher	
ascr	Institute of Physiology, Academy of Sciences of the Czech Republic, Prague				obo:nlm#publisher	
atrachim	Academy of Traditional Chinese Medicine				obo:nlm#publisher	
atypon	Atypon				obo:nlm#publisher	
audha	Office of Health Protection, Australian Government Department of Health				obo:nlm#publisher	
ayubmedcoll	Ayub Medical College				obo:nlm#publisher	
basuni	Baskent University, Publishers				obo:nlm#publisher	
baycinar	Baycinar Tibbi Yayincilik				obo:nlm#publisher	
bcm_mosc	Biochemistry (Moscow)				obo:nlm#publisher	
bcs	BCS Learning and Development				obo:nlm#publisher	
begell	BegellHouse Publisher, Inc.				obo:nlm#publisher	
belsurg	Acta Gastroenterol Belg				obo:nlm#publisher	
bentham	Bentham Science Publishers Ltd.				obo:nlm#publisher	
bhjd	Bulletin of the NYU Hospital for Joint Diseases				obo:nlm#publisher	
bilimsel	Bilimsel Tip Publishing House				obo:nlm#publisher	
bionika	Bionika				obo:nlm#publisher	
bjbms	Association of Basic Medical Sciences Federation of Bosnia and Herzegovina				obo:nlm#publisher	
bmc	BioMed Central				obo:nlm#publisher	
bmjgrp	BMJ Publishing Group				obo:nlm#publisher	
bonejointp	The British Editorial Society of Bone & Joint Surgery				obo:nlm#publisher	
brsocu	International Brazilian J Urol				obo:nlm#publisher	
cairn	Cairn				obo:nlm#publisher	
camup	Cambridge University Press				obo:nlm#publisher	
canurol	The Canadian Journal of Urology				obo:nlm#publisher	
cap	Chinese Association of Pathophysiology				obo:nlm#publisher	
capemedia	Health and Medical Publishing Group				obo:nlm#publisher	
catchwrd	Ingenta plc				obo:nlm#publisher	
cccm	Journal Office of Chinese Critical Care Medicine				obo:nlm#publisher	
cda	Canadian Dental Association				obo:nlm#publisher	
cdc	CDC-NCEZID				obo:nlm#publisher	
cdcan	Public Health Agency of Canada				obo:nlm#publisher	
cdcnchs	National Center for Health Statistics				obo:nlm#publisher	
cdcpcd	Centers for Disease Control and Prevention				obo:nlm#publisher	
cejph	National Institute of Public Health, Czech Republic				obo:nlm#publisher	
celsius	Editura Celsius				obo:nlm#publisher	
cenveo	Cenveo Publisher Services				obo:nlm#publisher	
cersas	Clinical and Experimental Rheumatology				obo:nlm#publisher	
chaos	The Society for Chaos Theory in Psychology and Life Sciences				obo:nlm#publisher	
chinacam	Chinese Academy of Medical Sciences				obo:nlm#publisher	
chinacdc	Chinese Center for Disease Control and Prevention				obo:nlm#publisher	
chinjappphys	Editorial Office of Chinese Journal of Applied Physiology				obo:nlm#publisher	
chinmatmed	China Journal of Chinese Materia Medica				obo:nlm#publisher	
chosunu	Korean Society for Biochemistry and Molecular Biology				obo:nlm#publisher	
cirycir	Instituto Mexicano del Seguro Social				obo:nlm#publisher	
cjae	Chinese Journal of Applied Ecology				obo:nlm#publisher	
cjbt	Editorial Office of Sheng Wu Gong Cheng Xue Bao				obo:nlm#publisher	
cjcpub	Chinese Journal of Contemporary Pediatrics				obo:nlm#publisher	
cjlc	Editorial Office of Chinese Journal of Lung Cancer				obo:nlm#publisher	
cjmi	Chinese Journal of Medical Instrumentation				obo:nlm#publisher	
cjot	China journal of orthopaedics and traumatology				obo:nlm#publisher	
cjrrs	Chinese journal of reparative and reconstructive surgery				obo:nlm#publisher	
cjsc	Chinese journal of schistosomiasis control				obo:nlm#publisher	
clinlabpub	Clinical Laboratory				obo:nlm#publisher	
cmaph	Chinese Medical Association Publishing House Ltd.				obo:nlm#publisher	
cmbfr	CMB-Association				obo:nlm#publisher	
cmica	Colegio Mexicano de Inmunología clínica y alergia				obo:nlm#publisher	
cnai	Consociazione Nazionale Associazione Infermieri				obo:nlm#publisher	
cnhi	Colombian National Health Institute				obo:nlm#publisher	
cohresp	Ordem dos Medicos / Portuguese Medical Association				obo:nlm#publisher	
compuscript	Compuscript Limited				obo:nlm#publisher	
copdfoun	COPD Foundation				obo:nlm#publisher	
copes	Psicothema				obo:nlm#publisher	
cordoba	Cordoba: Universidad Nacional De Cordoba, Facultad De Ciencias Medicas				obo:nlm#publisher	
core	National Institute for Health and Care Research Journals Library				obo:nlm#publisher	
cpbpress	Cell Physiol Biochem Press GmbH Co KG				obo:nlm#publisher	
cpspak	College of Physicians and Surgeons				obo:nlm#publisher	
crie	Central Research Institute of Epidemiology				obo:nlm#publisher	
croderm	Croatian Dermatovenerological Society				obo:nlm#publisher	
csimm	Chinese Society for Immunology				obo:nlm#publisher	
csiro	CSIRO				obo:nlm#publisher	
cspot	Ceska spolecnost pro ortopedii a traumatologii				obo:nlm#publisher	
dadl	Danish Medical Association				obo:nlm#publisher	
datapage	Datapage				obo:nlm#publisher	
datatrace	Data Trace Publishing Company				obo:nlm#publisher	
dclab	Data Conversion Labs				obo:nlm#publisher	
ddsczech	DDS on behalf of Universitas Carolina				obo:nlm#publisher	
dearzte	Deutsches Aerzteblatt International				obo:nlm#publisher	
debarber	Dennis Barber Ltd.				obo:nlm#publisher	
degruyter	De Gruyter				obo:nlm#publisher	
derm	Arthur C Huntley MD, California Digital Library				obo:nlm#publisher	
dismed	Discovery Medicine				obo:nlm#publisher	
djs	Dartmouth Journal Services				obo:nlm#publisher	
dustri	Dustri-Verlag Dr. Karl Feistle GmbH & Co. KG				obo:nlm#publisher	
eacts	Multimedia Manual for Cardio-Thoracic Surgery				obo:nlm#publisher	
ebmed	EB Medicine				obo:nlm#publisher	
ecri	ECRI				obo:nlm#publisher	
edpsci	EDP Sciences				obo:nlm#publisher	
edqm	European Directorate for the Quality of Medicines, Council of Europe				obo:nlm#publisher	
edralswr	EDRA LSWR SpA				obo:nlm#publisher	
edscientific	Editora Scientific				obo:nlm#publisher	
egyptai	Egyptian Association of Immunologists				obo:nlm#publisher	
elifesci	eLife Sciences Publications, Ltd				obo:nlm#publisher	
elsevier	Elsevier Science				obo:nlm#publisher	
embs	IEEE Engineering in Medicine and Biology Society				obo:nlm#publisher	
emerald	Emerald Group Publishing Limited				obo:nlm#publisher	
endoresctr	Endocrinology Research Centre				obo:nlm#publisher	
envscichn	Environmental Science (Huan Jing Ke Xue)				obo:nlm#publisher	
equinox	Equinox Publishing Ltd				obo:nlm#publisher	
ergon	Ergon				obo:nlm#publisher	
esmon	Esmon Publicidad				obo:nlm#publisher	
eurobs	European Observatory on Health Systems and Policies				obo:nlm#publisher	
europa	Europa Digital & Publishing				obo:nlm#publisher	
eurotext	John Libbey Eurotext				obo:nlm#publisher	
exerimm	International Society of Exercise and Immunology				obo:nlm#publisher	
fecolsog	Federacion Colombiana de Obstetricia y Ginecologia				obo:nlm#publisher	
fmes	Forum for Medical Ethics Society				obo:nlm#publisher	
fmmuch	SOUTHERN MEDICAL UNIVERSITY				obo:nlm#publisher	
fphuk	Faculty of Pharmacy University of Karachi				obo:nlm#publisher	
furevmed	Fundacion Revista Medicina (Buenos Aires)				obo:nlm#publisher	
fyxzz	Fayixue Zazhi				obo:nlm#publisher	
galenos	Aves Yayincilik				obo:nlm#publisher	
galenosyay	Galenos Yayinevi				obo:nlm#publisher	
genden	Academy of General Dentistry				obo:nlm#publisher	
gennet	GN1 Sistemas e Publicacoes, LTDA				obo:nlm#publisher	
geotar	GEOTAR Media Publishing Group				obo:nlm#publisher	
gffcc	Gulf Federation for Cancer Control				obo:nlm#publisher	
gmsante	Global Media Sante				obo:nlm#publisher	
graphimedic	Graphimedic, S.A. de C.V.				obo:nlm#publisher	
gstut	Gesellschaft Schweizer Tieraerztinnen und Tieraerzte				obo:nlm#publisher	
hastings	The Hastings Center				obo:nlm#publisher	
heidelbg	JMIR Publications				obo:nlm#publisher	
hellenpsych	Hellenic Psychiatric Association				obo:nlm#publisher	
herbj	Hereditas(Beijing)				obo:nlm#publisher	
highwire	HighWire				obo:nlm#publisher	
hkam	Hong Kong Academy of Medicine Press				obo:nlm#publisher	
hmp	HMP Communications, LLC				obo:nlm#publisher	
huaspsy	Neuropsychopharmacologia Hungarica				obo:nlm#publisher	
humssph	Hamadan University of Medical Sciences, School of Public Health				obo:nlm#publisher	
