subject_id	object_id	predicate_id	mapping_justification
nlm:0000201	issn:0567-8064	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0000211	issn:0001-656X	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0000212	issn:0001-6136	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0000213	issn:0365-1436	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0000216	issn:0001-6675	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0000220	issn:0365-5822	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0000221	issn:0001-6926	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0000256	issn:0065-3292	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0000261	issn:0065-3020	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0000262	issn:0065-2849	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0000266	issn:0065-2296	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0001027	issn:0004-8666	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0001027	issn:1479-828X	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0001061	issn:0004-959X	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0001061	issn:1446-5698	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0001063	issn:0067-1924	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0001130	issn:0743-3298	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0001470	issn:0569-6054	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0001663	issn:0569-9908	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0001703	issn:0570-0760	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0001730	issn:0365-0367	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0002045	issn:0365-0642	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0002217	issn:0003-8938	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0002256	issn:0003-9225	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0002266	issn:0003-9330	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0002442	issn:0004-0606	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0002702	issn:0524-0182	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0003044	issn:0513-3696	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0003102	issn:0365-9852	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0003163	issn:0005-9366	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0003163	issn:1439-0299	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0003340	issn:0006-324X	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0003340	issn:1943-6327	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0003341	issn:0097-0298	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0003341	issn:1943-6335	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0003403	issn:0547-6844	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0004041	issn:0007-0963	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0004041	issn:1365-2133	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0004047	issn:0007-1102	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0004047	issn:2044-8317	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0004275	issn:1040-3825	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0004333	issn:0007-487X	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0004334	issn:1051-7472	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
nlm:0004455	issn:0007-9995	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
