text	curie	name	predicate	source
Aortic aneurysm, familial abdominal	omim.ps:100070	Aortic aneurysm, familial abdominal	rdfs:label	omim.ps
Adams-Oliver syndrome	omim.ps:100300	Adams-Oliver syndrome	rdfs:label	omim.ps
Acrodysostosis	omim.ps:101800	Acrodysostosis	rdfs:label	omim.ps
Pituitary adenoma	omim.ps:102200	Pituitary adenoma	rdfs:label	omim.ps
Restless legs syndrome	omim.ps:102300	Restless legs syndrome	rdfs:label	omim.ps
Hyperaldosteronism	omim.ps:103900	Hyperaldosteronism	rdfs:label	omim.ps
Alternating hemiplegia of childhood	omim.ps:104290	Alternating hemiplegia of childhood	rdfs:label	omim.ps
Amelogenesis imperfecta	omim.ps:104500	Amelogenesis imperfecta	rdfs:label	omim.ps
Amyloidosis, hereditary systemic	omim.ps:105210	Amyloidosis, hereditary systemic	rdfs:label	omim.ps
Amyloidosis, primary localized cutaneous	omim.ps:105250	Amyloidosis, primary localized cutaneous	rdfs:label	omim.ps
Amyotrophic lateral sclerosis	omim.ps:105400	Amyotrophic lateral sclerosis	rdfs:label	omim.ps
Frontotemporal dementia and/or amyotrophic lateral sclerosis	omim.ps:105550	Frontotemporal dementia and/or amyotrophic lateral sclerosis	rdfs:label	omim.ps
Diamond-Blackfan anemia	omim.ps:105650	Diamond-Blackfan anemia	rdfs:label	omim.ps
Aneurysm, intracranial berry	omim.ps:105800	Aneurysm, intracranial berry	rdfs:label	omim.ps
Angioedema, Hereditary	omim.ps:106100	Angioedema, Hereditary	rdfs:label	omim.ps
Aniridia	omim.ps:106210	Aniridia	rdfs:label	omim.ps
Spondyloarthropathy, susceptibility to	omim.ps:106300	Spondyloarthropathy, susceptibility to	rdfs:label	omim.ps
Tooth agenesis, selective	omim.ps:106600	Tooth agenesis, selective	rdfs:label	omim.ps
Anterior segment dysgenesis	omim.ps:107250	Anterior segment dysgenesis	rdfs:label	omim.ps
Townes-Brocks syndrome	omim.ps:107480	Townes-Brocks syndrome	rdfs:label	omim.ps
Arrhythmogenic right ventricular dysplasia	omim.ps:107970	Arrhythmogenic right ventricular dysplasia	rdfs:label	omim.ps
Arthrogryposis, distal	omim.ps:108120	Arthrogryposis, distal	rdfs:label	omim.ps
Stickler syndrome	omim.ps:108300	Stickler syndrome	rdfs:label	omim.ps
Spastic ataxia	omim.ps:108600	Spastic ataxia	rdfs:label	omim.ps
Atelosteogenesis	omim.ps:108720	Atelosteogenesis	rdfs:label	omim.ps
Atrial septal defect	omim.ps:108800	Atrial septal defect	rdfs:label	omim.ps
Basal cell nevus syndrome	omim.ps:109400	Basal cell nevus syndrome	rdfs:label	omim.ps
Biliary cirrhosis, primary	omim.ps:109720	Biliary cirrhosis, primary	rdfs:label	omim.ps
Aortic valve disease	omim.ps:109730	Aortic valve disease	rdfs:label	omim.ps
Cole-Carpenter syndrome	omim.ps:112240	Cole-Carpenter syndrome	rdfs:label	omim.ps
Branchiootorenal syndrome	omim.ps:113650	Branchiootorenal syndrome	rdfs:label	omim.ps
Breasts and/or nipples, aplasia or hypoplasia of	omim.ps:113700	Breasts and/or nipples, aplasia or hypoplasia of	rdfs:label	omim.ps
Epidermolytic hyperkeratosis	omim.ps:113800	Epidermolytic hyperkeratosis	rdfs:label	omim.ps
Progressive familial heart block	omim.ps:113900	Progressive familial heart block	rdfs:label	omim.ps
Familial candidiasis	omim.ps:114580	Familial candidiasis	rdfs:label	omim.ps
Cardiofaciocutaneous syndrome	omim.ps:115150	Cardiofaciocutaneous syndrome	rdfs:label	omim.ps
Dilated cardiomyopathy	omim.ps:115200	Dilated cardiomyopathy	rdfs:label	omim.ps
Familial restrictive cardiomyopathy	omim.ps:115210	Familial restrictive cardiomyopathy	rdfs:label	omim.ps
Carpal tunnel syndrome	omim.ps:115430	Carpal tunnel syndrome	rdfs:label	omim.ps
Cataract	omim.ps:116200	Cataract	rdfs:label	omim.ps
Cerebral cavernous malformations	omim.ps:116860	Cerebral cavernous malformations	rdfs:label	omim.ps
Myopathy, congenital	omim.ps:117000	Myopathy, congenital	rdfs:label	omim.ps
Klippel-Feil syndrome	omim.ps:118100	Klippel-Feil syndrome	rdfs:label	omim.ps
Charcot-Marie-Tooth disease	omim.ps:118220	Charcot-Marie-Tooth disease	rdfs:label	omim.ps
Alagille syndrome	omim.ps:118450	Alagille syndrome	rdfs:label	omim.ps
Orofacial cleft	omim.ps:119530	Orofacial cleft	rdfs:label	omim.ps
Blepharocheilodontic syndrome	omim.ps:119580	Blepharocheilodontic syndrome	rdfs:label	omim.ps
Familial cold autoinflammatory syndrome	omim.ps:120100	Familial cold autoinflammatory syndrome	rdfs:label	omim.ps
Colorectal cancer, hereditary nonpolyposis	omim.ps:120435	Colorectal cancer, hereditary nonpolyposis	rdfs:label	omim.ps
Cone-rod dystrophy/Cone dystrophy	omim.ps:120970	Cone-rod dystrophy/Cone dystrophy	rdfs:label	omim.ps
Seizures, benign familial neonatal	omim.ps:121200	Seizures, benign familial neonatal	rdfs:label	omim.ps
Seizures, familial febrile	omim.ps:121210	Seizures, familial febrile	rdfs:label	omim.ps
Cornea plana	omim.ps:121400	Cornea plana	rdfs:label	omim.ps
Corneal dystrophy, posterior polymorphous	omim.ps:122000	Corneal dystrophy, posterior polymorphous	rdfs:label	omim.ps
Corneal dystrophy, Meesmann	omim.ps:122100	Corneal dystrophy, Meesmann	rdfs:label	omim.ps
Cornelia de Lange syndrome	omim.ps:122470	Cornelia de Lange syndrome	rdfs:label	omim.ps
Craniometaphyseal dysplasia	omim.ps:123000	Craniometaphyseal dysplasia	rdfs:label	omim.ps
Craniosynostosis	omim.ps:123100	Craniosynostosis	rdfs:label	omim.ps
Cutis laxa	omim.ps:123700	Cutis laxa	rdfs:label	omim.ps
Mitochondrial complex III deficiency, nuclear type	omim.ps:124000	Mitochondrial complex III deficiency, nuclear type	rdfs:label	omim.ps
Deafness, autosomal dominant	omim.ps:124900	Deafness, autosomal dominant	rdfs:label	omim.ps
Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	omim.ps:125310	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	rdfs:label	omim.ps
