identifier	name	definition	synonyms	alts	parents	species
100070	Aortic aneurysm, familial abdominal					
100300	Adams-Oliver syndrome					
101800	Acrodysostosis					
102200	Pituitary adenoma					
102300	Restless legs syndrome					
103900	Hyperaldosteronism					
104290	Alternating hemiplegia of childhood					
104500	Amelogenesis imperfecta					
105210	Amyloidosis, hereditary systemic					
105250	Amyloidosis, primary localized cutaneous					
105400	Amyotrophic lateral sclerosis					
105550	Frontotemporal dementia and/or amyotrophic lateral sclerosis					
105650	Diamond-Blackfan anemia					
105800	Aneurysm, intracranial berry					
106100	Angioedema, Hereditary					
106210	Aniridia					
106300	Spondyloarthropathy, susceptibility to					
106600	Tooth agenesis, selective					
107250	Anterior segment dysgenesis					
107480	Townes-Brocks syndrome					
107970	Arrhythmogenic right ventricular dysplasia					
108120	Arthrogryposis, distal					
108300	Stickler syndrome					
108600	Spastic ataxia					
108720	Atelosteogenesis					
108800	Atrial septal defect					
109400	Basal cell nevus syndrome					
109720	Biliary cirrhosis, primary					
109730	Aortic valve disease					
112240	Cole-Carpenter syndrome					
113650	Branchiootorenal syndrome					
113700	Breasts and/or nipples, aplasia or hypoplasia of					
113800	Epidermolytic hyperkeratosis					
113900	Progressive familial heart block					
114580	Familial candidiasis					
115150	Cardiofaciocutaneous syndrome					
115200	Dilated cardiomyopathy					
115210	Familial restrictive cardiomyopathy					
115430	Carpal tunnel syndrome					
116200	Cataract					
116860	Cerebral cavernous malformations					
117000	Myopathy, congenital					
118100	Klippel-Feil syndrome					
118220	Charcot-Marie-Tooth disease					
118450	Alagille syndrome					
119530	Orofacial cleft					
119580	Blepharocheilodontic syndrome					
120100	Familial cold autoinflammatory syndrome					
120435	Colorectal cancer, hereditary nonpolyposis					
120970	Cone-rod dystrophy/Cone dystrophy					
121200	Seizures, benign familial neonatal					
121210	Seizures, familial febrile					
121400	Cornea plana					
122000	Corneal dystrophy, posterior polymorphous					
122100	Corneal dystrophy, Meesmann					
122470	Cornelia de Lange syndrome					
123000	Craniometaphyseal dysplasia					
123100	Craniosynostosis					
123700	Cutis laxa					
124000	Mitochondrial complex III deficiency, nuclear type					
124900	Deafness, autosomal dominant					
125310	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy					
126200	Multiple sclerosis, susceptibility to					
126800	Duane retraction syndrome					
127000	Kenny-Caffey syndrome					
127500	Dyschromatosis universalis hereditaria					
127550	Dyskeratosis congenita					
128100	Dystonia					
128200	Episodic kinesigenic dyskinesia					
130000	Ehlers-Danlos syndrome					
131100	Multiple endocrine neoplasia					
131760	Epidermolysis Bullosa Simplex					
132100	Photoparoxysmal response					
132400	Epiphyseal dysplasia, multiple					
133100	Erythrocytosis, familial					
133200	Erythrokeratodermia variabilis et progressiva					
133700	Exostoses, Multiple					
133780	Exudative vitreoretinopathy					
134600	Fanconi renotubular syndrome					
135150	Birt-Hogg-Dube syndrome					
135300	Gingival fibromatosis					
135500	Zimmermann-Laband syndrome					
135700	Fibrosis of extraocular muscles, congenital					
135900	Coffin-Siris syndrome					
136500	Focal facial dermal dysplasia					
136520	Foveal hypoplasia					
136550	Macular dystrophy, retinal					
136760	Frontonasal dysplasia					
136800	Corneal dystrophy, Fuchs endothelial					
137800	Glioma					
137950	Glomerulopathy with fibronectin deposits					
138800	Goiter, multinodular					
141200	Hematuria, benign familial					
141500	Migraine, familial hemiplegic					
142340	Diaphragmatic hernia					
142623	Hirschsprung disease					
142690	Acne inversa					
142700	Developmental dysplasia of the hip					
143880	Hypercalcemia, infantile					
143890	Hypercholesterolemia, familial					
144200	Palmoplantar keratoderma, epidermolytic					
145000	Hyperparathyroidism					
145260	Pseudohypoaldosteronism, type II					
145420	Teebi hypertelorism syndrome					
145600	Malignant hyperthermia					
145980	Hypocalciuric hypercalcemia					
146200	Hypoparathyroidism, familial					
146590	Ichthyosis hystrix					
147060	Hyper-IgE recurrent infection syndrome					
147920	Kabuki syndrome					
147950	Hypogonadotropic hypogonadism with or without anosmia					
148210	Keratitis-ichthyosis-deafness syndrome					
148300	Keratoconus					
149400	Hyperekplexia					
149730	Lacrimoauriculodentodigital syndrome					
151100	LEOPARD syndrome					
151623	Li-Fraumeni syndrome					
151660	Lipodystrophy, familial partial					
153100	Lymphatic malformation					
153600	Macroglobulinemia, Waldenstrom					
153840	Macular dystrophy, vitelliform					
154500	Treacher Collins syndrome					
155600	Melanoma, cutaneous malignant					
156200	Intellectual developmental disorder, autosomal dominant					
156610	Skin creases, congenital symmetric circumferential					
157300	Migraine with or without aura, susceptibility to					
157600	Mirror movements					
157640	Progressive external ophthalmoplegia with mtDNA deletions					
157700	Mitral valve prolapse, myxomatous					
158350	Cowden disease					
158600	Spinal muscular atrophy, lower extremity-predominant					
158810	Bethlem myopathy					
158900	Facioscapulohumeral muscular dystrophy					
160120	Episodic ataxia					
160150	Myopathy, centronuclear					
160500	Myopathy, distal					
160565	Myopathy, tubular aggregate					
160700	Myopia					
160900	Myotonic dystrophy					
161050	Nail disorder, nonsyndromic congenital					
161400	Narcolepsy					
161800	Nemaline myopathy					
161950	IgA nephropathy					
162000	Tubulointerstitial kidney disease					
162091	Schwannomatosis					
162400	Hereditary sensory and autonomic neuropathy					
163950	Noonan syndrome					
164210	Craniofacial Microsomia					
164280	Feingold syndrome					
164300	Oculopharyngeal muscular dystrophy					
164310	Oculopharyngodistal myopathy					
164400	Spinocerebellar ataxia					
165500	Optic atrophy					
166200	Osteogenesis imperfecta					
166780	Otofaciocervical syndrome					
166800	Otosclerosis					
167030	Nephrolithiasis, calcium oxalate					
167200	Pachyonychia congenita					
167250	Paget disease of bone					
167320	Inclusion body myopathy/Paget disease/frontotemporal dementia					
167870	Panic disorder					
168000	Pheochromocytoma/paraganglioma syndrome					
168500	Parietal foramina					
168600	Parkinson disease					
169150	Macular dystrophy, patterned					
173900	Polycystic kidney disease					
174050	Polycystic liver disease					
174200	Polydactyly, postaxial					
174400	Polydactyly, preaxial					
175100	Familial adenomatous polyposis					
175780	Brain small vessel disease					
175800	Porokeratosis					
176400	Precocious puberty, central					
176670	Progeria					
177000	Protoporphyria, erythropoietic					
177200	Liddle syndrome					
177735	Pseudohypoaldosteronism, type I					
177900	Psoriasis					
178110	Contractures, pterygia, and variable skeletal fusions syndrome					
178600	Pulmonary hypertension, primary					
179010	Pyloric stenosis, infantile hypertrophic					
179800	Distal renal tubular acidosis					
179850	Reticulate pigment disorders					
180500	Axenfeld-Rieger syndrome					
180849	Rubinstein-Taybi syndrome					
180860	Silver-Russell syndrome					
182250	Singleton-Merten syndrome					
182960	Neuronopathy, distal hereditary motor, autosomal dominant					
183600	Split-hand/foot malformation					
184255	Spondylometaphyseal dysplasia					
184260	Odontochondrodysplasia					
184450	Stuttering, familial persistent					
184840	Otospondylomegaepiphyseal dysplasia					
185800	Proximal symphalangism					
186500	Multiple synostoses syndrome					
187300	Telangiectasia, hereditary hemorrhagic					
187950	Thrombocythemia					
188050	Thrombophilia					
188550	Thyroid cancer, nonmedullary					
188580	Thyrotoxic periodic paralysis					
189800	Preeclampsia/eclampsia					
190300	Tremor, hereditary essential					
190350	Trichorhinophalangeal syndrome					
190440	Trigonocephaly, isolated					
191100	Tuberous sclerosis					
191830	Renal hypodysplasia/aplasia					
192500	Long QT syndrome					
192600	Cardiomyopathy, familial hypertrophic					
193000	Vesicoureteral reflux					
193100	Hypophosphatemic rickets					
193500	Waardenburg syndrome					
193670	WHIM syndrome					
193900	White sponge nevus					
194070	Wilms tumor					
200600	Achondrogenesis					
201000	Carpenter syndrome					
202200	Glucocorticoid deficiency					
202700	Neutropenia, severe congenital					
203100	Oculocutaneous albinism					
203300	Hermansky-Pudlak syndrome					
203650	Alopecia-intellectual disability syndrome					
203655	Alopecia, isolated					
204000	Leber congenital amaurosis					
206100	Anemia, hypochromic microcytic, with iron overload					
206500	Anencephaly					
208000	Generalized arterial calcification of infancy					
208085	Arthrogryposis, renal dysfunction, and cholestasis					
208150	Fetal akinesia deformation sequence					
208500	Short-rib thoracic dysplasia					
208540	Renal-hepatic-pancreatic dysplasia					
209880	Central hypoventilation syndrome, congenital					
209900	Bardet-Biedl syndrome					
209920	MHC class II deficiency					
210200	Methylcrotonylglycinuria					
210250	Sitosterolemia					
210600	Seckel syndrome					
210900	Microcephaly, growth restriction and increased sister chromatid exchange					
211400	Bronchiectasis					
211530	Brown-Vialetto-Van Laere syndrome					
211600	Cholestasis, progressive familial intrahepatic					
212065	Congenital disorders of glycosylation, type I					
212066	Congenital disorders of glycosylation, type II					
212093	Cardiac Valvular Defect					
212720	Martsolf syndrome					
212750	Celiac disease					
213200	Spinocerebellar ataxia, autosomal recessive					
213300	Joubert syndrome					
213600	Basal ganglia calcification, idiopathic					
213980	Craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development syndrome					
214100	Peroxisome biogenesis disorder					
214150	Cerebrooculofacioskeletal syndrome					
214450	Griscelli syndrome					
214700	Diarrhea, congenital					
215100	Rhizomelic chondrodysplasia punctata					
215500	Choroidal dystrophy, central areolar					
215700	Citrullinemia					
218330	Cranioectodermal dysplasia					
219000	Fraser syndrome					
219080	ACTH-independent macronodular adrenal hyperplasia					
220110	Mitochondrial complex IV deficiency, nuclear-type					
220150	Hypouricemia, renal					
220210	Ritscher-Schinzel syndrome					
220290	Deafness, autosomal recessive					
220400	Jervell and Lange-Nielsen syndrome					
221770	Polycystic lipomembranous osteodysplasia with sclerosing leukoencephaly					
221820	Leukoencephalopathy, hereditary diffuse, with spheroids					
221900	Persistent hyperplastic primary vitreous					
222470	Trichohepatoenteric syndrome					
223360	Orthostatic hypotension					
224050	Cerebellar ataxia, mental retardation, and dysequilibrium					
224120	Anemia, congenital dyserythropoietic					
224690	Meier-Gorlin syndrome					
225750	Aicardi-Goutieres syndrome					
226400	Epidermodysplasia verruciformis, susceptibility to					
226650	Epidermolysis bullosa, junctional					
227220	Skin/hair/eye pigmentation, variation in					
227650	Fanconi anemia					
228520	Fibrochondrogenesis					
228550	Infantile myofibromatosis					
229200	Brittle cornea syndrome					
230400	Galactosemia					
231050	Geleophysic dysplasia					
231090	Hydatidiform mole, recurrent					
231200	Bleeding disorder, platelet-type					
232200	Glycogen storage disease					
233300	Ovarian dysgenesis					
233400	Perrault syndrome					
234200	Neurodegeneration with brain iron accumulation					
235200	Hemochromatosis					
235400	Hemolytic uremic syndrome					
235510	Hennekam lymphangiectasia-lymphedema syndrome					
236100	Holoprosencephaly					
236270	Homocystinuria-megaloblastic anemia					
236600	Hydrocephalus, congenital					
236670	Muscular dystrophy-dystroglycanopathy, type A					
236680	Hydrolethalus syndrome					
236730	Urofacial syndrome					
237450	Hyperbilirubinemia					
239300	Hyperphosphatasia with mental retardation syndrome					
241550	Hypoplastic left heart syndrome					
242300	Ichthyosis, congenital, autosomal recessive					
242860	Immunodeficiency-centromeric instability-facial anomalies					
243150	Gastrointestinal defect and immunodeficiency syndrome					
243180	Visceral neuropathy, familial					
243300	Cholestasis, benign recurrent intrahepatic					
243310	Baraitser-Winter syndrome					
244400	Primary ciliary dyskinesia					
245480	Specific granule deficiency					
245590	Growth hormone insensitivity syndrome with immune dysregulation					
248370	Mandibuloacral dysplasia with lipodystrophy					
248600	Maple syrup urine disease					
249000	Meckel syndrome					
249210	Megacystis-microcolon-intestinal hypoperistalsis syndrome					
249270	Thiamine-responsive dysfunction syndrome					
249500	Intellectual developmental disorder, autosomal recessive					
250950	3-Methylglutaconic aciduria					
251000	Methylmalonic aciduria					
251200	Microcephaly, primary					
251270	Microcephaly and chorioretinopathy					
251280	Diencephalic-mesencephalic junction dysplasia syndrome					
251290	Pseudo-TORCH syndrome					
251300	Galloway-Mowat syndrome					
251450	Desbuquois dysplasia					
251600	Microphthalmia, isolated					
252010	Mitochondrial complex I deficiency, nuclear type					
252011	Mitochondrial complex II deficiency, nuclear type					
252150	Molybdenum cofactor deficiency					
252270	Monosomy 7 myelodysplasia and leukemia syndrome					
252350	Moyamoya disease					
253310	Lethal congenital contracture syndrome					
253600	Muscular dystrophy, limb-girdle, autosomal recessive					
254090	Ullrich congenital muscular dystrophy					
254130	Miyoshi muscular dystrophy					
254770	Epilepsy, myoclonic juvenile					
254780	Myoclonic epilepsy of Lafora					
254800	Epilepsy, progressive myoclonic					
254940	Carey-Fineman-Ziter syndrome					
256040	Proteosome-associated autoinflammatory syndrome					
256100	Nephronophthisis					
256300	Nephrotic syndrome					
256450	Hyperinsulinemia hypoglycemia					
256520	Neu-Laxova syndrome					
256550	Mucolipidosis					
256730	Ceroid lipofuscinoses					
256850	Giant axonal neuropathy					
257300	Mosaic variegated aneuploidy syndrome					
257920	3MC syndrome					
258150	Spermatogenic failure					
258315	Omodysplasia					
259100	Hypertropic osteoarthropathy, primary					
259450	Bruck syndrome					
259700	Osteopetrosis, autosomal recessive					
259900	Hyperoxaluria, primary					
260370	Pancreatic agenesis					
260400	Schwachman-Diamond syndrome					
261100	Imerslund-Grasbeck syndrome					
262400	Isolated growth hormone deficiency					
265120	Surfactant metabolism dysfunction, pulmonary					
265450	Pulmonary venoocclusive disease					
266600	Inflammatory bowel disease					
266900	Senior-Loken syndrome					
267700	Hemophagocytic lymphohistiocytosis, familial					
267750	Knobloch syndrome					
268000	Retinitis pigmentosa					
268310	Robinow syndrome					
268400	Rothmund-Thomson syndrome					
269500	Sclerosteosis					
270300	Peeling skin syndrome					
271640	Spondyloepimetaphyseal dysplasia with joint laxity					
271930	Striatonigral degeneration					
272430	Cold-induced sweating syndrome					
