text	curie	name	predicate	source
EGF	pfam.clan:CL0001	EGF	rdfs:label	pfam.clan
SAM	pfam.clan:CL0003	SAM	rdfs:label	pfam.clan
Concanavalin	pfam.clan:CL0004	Concanavalin	rdfs:label	pfam.clan
Kazal	pfam.clan:CL0005	Kazal	rdfs:label	pfam.clan
KH	pfam.clan:CL0007	KH	rdfs:label	pfam.clan
SH3	pfam.clan:CL0010	SH3	rdfs:label	pfam.clan
Histone	pfam.clan:CL0012	Histone	rdfs:label	pfam.clan
Beta-lactamase	pfam.clan:CL0013	Beta-lactamase	rdfs:label	pfam.clan
Glutaminase_I	pfam.clan:CL0014	Glutaminase_I	rdfs:label	pfam.clan
MFS	pfam.clan:CL0015	MFS	rdfs:label	pfam.clan
PKinase	pfam.clan:CL0016	PKinase	rdfs:label	pfam.clan
bZIP	pfam.clan:CL0018	bZIP	rdfs:label	pfam.clan
TPR	pfam.clan:CL0020	TPR	rdfs:label	pfam.clan
OB	pfam.clan:CL0021	OB	rdfs:label	pfam.clan
LRR	pfam.clan:CL0022	LRR	rdfs:label	pfam.clan
P-loop_NTPase	pfam.clan:CL0023	P-loop_NTPase	rdfs:label	pfam.clan
His_Kinase_A	pfam.clan:CL0025	His_Kinase_A	rdfs:label	pfam.clan
CU_oxidase	pfam.clan:CL0026	CU_oxidase	rdfs:label	pfam.clan
RdRP	pfam.clan:CL0027	RdRP	rdfs:label	pfam.clan
AB_hydrolase	pfam.clan:CL0028	AB_hydrolase	rdfs:label	pfam.clan
Cupin	pfam.clan:CL0029	Cupin	rdfs:label	pfam.clan
Ion_channel	pfam.clan:CL0030	Ion_channel	rdfs:label	pfam.clan
Phosphatase	pfam.clan:CL0031	Phosphatase	rdfs:label	pfam.clan
Dim_A_B_barrel	pfam.clan:CL0032	Dim_A_B_barrel	rdfs:label	pfam.clan
POZ	pfam.clan:CL0033	POZ	rdfs:label	pfam.clan
TIM_barrel	pfam.clan:CL0036	TIM_barrel	rdfs:label	pfam.clan
Lysozyme	pfam.clan:CL0037	Lysozyme	rdfs:label	pfam.clan
HUP	pfam.clan:CL0039	HUP	rdfs:label	pfam.clan
tRNA_synt_II	pfam.clan:CL0040	tRNA_synt_II	rdfs:label	pfam.clan
Death	pfam.clan:CL0041	Death	rdfs:label	pfam.clan
Flavoprotein	pfam.clan:CL0042	Flavoprotein	rdfs:label	pfam.clan
Chelatase	pfam.clan:CL0043	Chelatase	rdfs:label	pfam.clan
Ferritin	pfam.clan:CL0044	Ferritin	rdfs:label	pfam.clan
Thiolase	pfam.clan:CL0046	Thiolase	rdfs:label	pfam.clan
CuAO_N2_N3	pfam.clan:CL0047	CuAO_N2_N3	rdfs:label	pfam.clan
LolA_LolB	pfam.clan:CL0048	LolA_LolB	rdfs:label	pfam.clan
HotDog	pfam.clan:CL0050	HotDog	rdfs:label	pfam.clan
