identifier	name	definition	synonyms	alts	parents	species
CL0001	EGF					
CL0003	SAM					
CL0004	Concanavalin					
CL0005	Kazal					
CL0007	KH					
CL0010	SH3					
CL0012	Histone					
CL0013	Beta-lactamase					
CL0014	Glutaminase_I					
CL0015	MFS					
CL0016	PKinase					
CL0018	bZIP					
CL0020	TPR					
CL0021	OB					
CL0022	LRR					
CL0023	P-loop_NTPase					
CL0025	His_Kinase_A					
CL0026	CU_oxidase					
CL0027	RdRP					
CL0028	AB_hydrolase					
CL0029	Cupin					
CL0030	Ion_channel					
CL0031	Phosphatase					
CL0032	Dim_A_B_barrel					
CL0033	POZ					
CL0036	TIM_barrel					
CL0037	Lysozyme					
CL0039	HUP					
CL0040	tRNA_synt_II					
CL0041	Death					
CL0042	Flavoprotein					
CL0043	Chelatase					
CL0044	Ferritin					
CL0045	Rubredoxin					
CL0046	Thiolase					
CL0047	CuAO_N2_N3					
CL0048	LolA_LolB					
CL0050	HotDog					
CL0051	NTF2					
CL0052	NTN					
CL0053	4H_Cytokine					
CL0054	Knottin_1					
CL0055	Nucleoplasmin					
CL0056	C_Lectin					
CL0057	Met_repress					
CL0059	6_Hairpin					
CL0060	DNA_clamp					
CL0061	PLP_aminotran					
CL0062	APC					
CL0063	NADP_Rossmann					
CL0064	CPA_AT					
CL0065	Cyclin					
CL0066	Trefoil					
CL0067	SIS					
CL0068	RIIa					
CL0069	GFP					
CL0070	ACT					
CL0071	His_phosphatase					
CL0072	Ubiquitin					
CL0073	P53-like					
CL0074	Matrix					
CL0075	Defensin					
CL0077	FAD_PCMH					
CL0079	Cystine-knot					
CL0080	Beta-tent					
CL0081	MBD-like					
CL0082	MIF					
CL0083	Omega_toxin					
CL0084	ADP-ribosyl					
CL0087	Acyl-CoA_dh					
CL0088	Alk_phosphatase					
CL0089	GlnB-like					
CL0090	Globin					
CL0091	NAD_Ferredoxin					
CL0092	ADF					
CL0093	Peptidase_CD					
CL0094	Peptidase_ME					
CL0095	Peptidase_ML					
CL0096	Pept_Inhib_IE					
CL0097	TypeIII_Chap					
CL0098	SPOUT					
CL0099	ALDH-like					
CL0100	C1q_TNF					
CL0101	PELOTA					
CL0103	Gal_mutarotase					
CL0104	Glyoxalase					
CL0105	Hybrid					
CL0106	6PGD_C					
CL0108	Actin_ATPase					
CL0109	CDA					
CL0110	GT-A					
CL0111	GT-C					
CL0112	Yip1					
CL0113	GT-B					
CL0114	HMG-box					
CL0115	Steroid_dh					
CL0116	Calycin					
CL0117	uPAR_Ly6_toxin					
CL0118	Ribokinase					
CL0122	UTRA					
CL0123	HTH					
CL0124	Peptidase_PA					
CL0125	Peptidase_CA					
CL0126	Peptidase_MA					
CL0127	ClpP_crotonase					
CL0128	vWA-like					
CL0129	Peptidase_AA					
CL0130	Peptidase_AD					
CL0131	DoxD-like					
CL0132	AbrB					
CL0133	AT14A-like					
CL0135	Arrestin_N-like					
CL0136	Plasmid-antitox					
CL0137	HAD					
CL0139	GADPH_aa-bio_dh					
CL0140	Viral_NABP					
CL0141	MtN3-like					
CL0142	Membrane_trans					
CL0143	B_Fructosidase					
CL0144	Periplas_BP					
CL0145	Golgi-transport					
CL0146	Herpes_glyco					
CL0147	Traffic					
CL0148	Viral_Gag					
CL0149	CoA-acyltrans					
CL0153	dUTPase					
CL0154	C2					
CL0155	CBM_14_19					
CL0156	Nucleocapsid					
CL0157	Kleisin					
CL0158	GH_CE					
CL0159	E-set					
CL0161	GAF					
CL0163	Calcineurin					
CL0164	CUB					
CL0165	Cache					
CL0166	PRD					
CL0167	Zn_Beta_Ribbon					
CL0168	PAN					
CL0169	Rep					
CL0170	Peptidase_MD					
CL0171	Phospoesterase					
CL0172	Thioredoxin					
CL0173	STIR					
CL0174	TetR_C					
CL0175	TRASH					
CL0176	Chemosens_recp					
CL0177	PBP					
CL0178	PUA					
CL0179	ATP-grasp					
CL0181	ABC-2					
CL0182	IT					
CL0183	PAS_Fold					
CL0184	DMT					
CL0186	Beta_propeller					
CL0187	LysM					
CL0188	CH					
CL0190	HSP20					
CL0191	POTRA					
CL0192	GPCR_A					
CL0193	MBB					
CL0194	DNA_pol_B-like					
CL0195	DBL					
CL0196	DSRM					
CL0197	GME					
CL0198	HHH					
CL0199	DPBB					
CL0200	Prefoldin					
CL0201	Peptidase_SH					
CL0202	GBD					
CL0203	CBD					
CL0204	Adhesin					
CL0205	Di-copper					
CL0207	Rhomboid-like					
CL0208	UBC					
CL0209	Bet_v_1_like					
CL0210	HNOX-like					
CL0212	SNARE					
CL0213	ShK-like					
CL0214	UBA					
CL0217	Rotavirus_VP7					
CL0219	RNase_H					
CL0220	EF_hand					
CL0221	RRM					
CL0222	MviN_MATE					
CL0223	MACRO					
CL0224	DHQS					
CL0225	FtsL					
CL0226	M6PR					
CL0227	Enolase_N					
CL0228	Acyltransferase					
CL0229	RING					
CL0230	HO					
CL0231	MazG					
CL0232	NifU					
CL0233	SufE_NifU					
CL0234	CTPT					
CL0235	PspA					
CL0236	PDDEXK					
CL0237	HD_PDEase					
CL0238	PP2C					
CL0239	Insulin					
CL0240	PFK					
CL0241	ABC_membrane					
CL0242	DNA_primase_lrg					
CL0243	AEP					
CL0244	PGBD					
CL0245	EDD					
CL0247	2H					
