identifier	name	definition	synonyms	alts	parents	species
PF00001	7tm_1	7 transmembrane receptor (rhodopsin family)			pfam.clan:CL0192	
PF00002	7tm_2	7 transmembrane receptor (Secretin family)			pfam.clan:CL0192	
PF00003	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR			pfam.clan:CL0192	
PF00004	AAA	ATPase family associated with various cellular activities (AAA)			pfam.clan:CL0023	
PF00005	ABC_tran	ABC transporter			pfam.clan:CL0023	
PF00006	ATP-synt_ab	ATP synthase alpha/beta family, nucleotide-binding domain			pfam.clan:CL0023	
PF00007	Cys_knot	Cystine-knot domain			pfam.clan:CL0079	
PF00008	EGF	EGF-like domain			pfam.clan:CL0001	
PF00009	GTP_EFTU	Elongation factor Tu GTP binding domain			pfam.clan:CL0023	
PF00010	HLH	Helix-loop-helix DNA-binding domain			pfam.clan:CL0827	
PF00011	HSP20	Hsp20/alpha crystallin family			pfam.clan:CL0190	
PF00012	HSP70	Hsp70 protein			pfam.clan:CL0108	
PF00013	KH_1	KH domain			pfam.clan:CL0007	
PF00014	Kunitz_BPTI	Kunitz/Bovine pancreatic trypsin inhibitor domain				
PF00015	MCPsignal	Methyl-accepting chemotaxis protein (MCP) signalling domain				
PF00016	RuBisCO_large	Ribulose bisphosphate carboxylase large chain, catalytic domain			pfam.clan:CL0036	
PF00017	SH2	SH2 domain			pfam.clan:CL0541	
PF00018	SH3_1	SH3 domain			pfam.clan:CL0010	
PF00019	TGF_beta	Transforming growth factor beta like domain			pfam.clan:CL0079	
PF00020	TNFR_c6	TNFR/NGFR cysteine-rich region			pfam.clan:CL0607	
PF00021	UPAR_LY6	u-PAR/Ly-6 domain			pfam.clan:CL0117	
PF00022	Actin	Actin			pfam.clan:CL0108	
PF00023	Ank	Ankyrin repeat			pfam.clan:CL0465	
PF00024	PAN_1	PAN domain			pfam.clan:CL0168	
PF00025	Arf	ADP-ribosylation factor family			pfam.clan:CL0023	
PF00026	Asp	Eukaryotic aspartyl protease			pfam.clan:CL0129	
PF00027	cNMP_binding	Cyclic nucleotide-binding domain			pfam.clan:CL0029	
PF00028	Cadherin	Cadherin domain			pfam.clan:CL0159	
