text	curie	name	predicate	source
7tm_1	pfam:PF00001	7tm_1	rdfs:label	pfam
7tm_2	pfam:PF00002	7tm_2	rdfs:label	pfam
7tm_3	pfam:PF00003	7tm_3	rdfs:label	pfam
AAA	pfam:PF00004	AAA	rdfs:label	pfam
ABC_tran	pfam:PF00005	ABC_tran	rdfs:label	pfam
ATP-synt_ab	pfam:PF00006	ATP-synt_ab	rdfs:label	pfam
Cys_knot	pfam:PF00007	Cys_knot	rdfs:label	pfam
EGF	pfam:PF00008	EGF	rdfs:label	pfam
GTP_EFTU	pfam:PF00009	GTP_EFTU	rdfs:label	pfam
HLH	pfam:PF00010	HLH	rdfs:label	pfam
HSP20	pfam:PF00011	HSP20	rdfs:label	pfam
HSP70	pfam:PF00012	HSP70	rdfs:label	pfam
KH_1	pfam:PF00013	KH_1	rdfs:label	pfam
Kunitz_BPTI	pfam:PF00014	Kunitz_BPTI	rdfs:label	pfam
MCPsignal	pfam:PF00015	MCPsignal	rdfs:label	pfam
RuBisCO_large	pfam:PF00016	RuBisCO_large	rdfs:label	pfam
SH2	pfam:PF00017	SH2	rdfs:label	pfam
SH3_1	pfam:PF00018	SH3_1	rdfs:label	pfam
TGF_beta	pfam:PF00019	TGF_beta	rdfs:label	pfam
TNFR_c6	pfam:PF00020	TNFR_c6	rdfs:label	pfam
UPAR_LY6	pfam:PF00021	UPAR_LY6	rdfs:label	pfam
Actin	pfam:PF00022	Actin	rdfs:label	pfam
Ank	pfam:PF00023	Ank	rdfs:label	pfam
PAN_1	pfam:PF00024	PAN_1	rdfs:label	pfam
Arf	pfam:PF00025	Arf	rdfs:label	pfam
Asp	pfam:PF00026	Asp	rdfs:label	pfam
cNMP_binding	pfam:PF00027	cNMP_binding	rdfs:label	pfam
Cadherin	pfam:PF00028	Cadherin	rdfs:label	pfam
Connexin	pfam:PF00029	Connexin	rdfs:label	pfam
Crystall	pfam:PF00030	Crystall	rdfs:label	pfam
Cystatin	pfam:PF00031	Cystatin	rdfs:label	pfam
Cytochrom_B_C	pfam:PF00032	Cytochrom_B_C	rdfs:label	pfam
Cytochrome_B	pfam:PF00033	Cytochrome_B	rdfs:label	pfam
Cytochrom_C	pfam:PF00034	Cytochrom_C	rdfs:label	pfam
dsrm	pfam:PF00035	dsrm	rdfs:label	pfam
EF-hand_1	pfam:PF00036	EF-hand_1	rdfs:label	pfam
Fer4	pfam:PF00037	Fer4	rdfs:label	pfam
Filament	pfam:PF00038	Filament	rdfs:label	pfam
fn1	pfam:PF00039	fn1	rdfs:label	pfam
fn2	pfam:PF00040	fn2	rdfs:label	pfam
fn3	pfam:PF00041	fn3	rdfs:label	pfam
Globin	pfam:PF00042	Globin	rdfs:label	pfam
GST_C	pfam:PF00043	GST_C	rdfs:label	pfam
Gp_dh_N	pfam:PF00044	Gp_dh_N	rdfs:label	pfam
Hemopexin	pfam:PF00045	Hemopexin	rdfs:label	pfam
Homeodomain	pfam:PF00046	Homeodomain	rdfs:label	pfam
ig	pfam:PF00047	ig	rdfs:label	pfam
IL8	pfam:PF00048	IL8	rdfs:label	pfam
Insulin	pfam:PF00049	Insulin	rdfs:label	pfam
Kazal_1	pfam:PF00050	Kazal_1	rdfs:label	pfam
Kringle	pfam:PF00051	Kringle	rdfs:label	pfam
Laminin_B	pfam:PF00052	Laminin_B	rdfs:label	pfam
EGF_laminin	pfam:PF00053	EGF_laminin	rdfs:label	pfam
Laminin_G_1	pfam:PF00054	Laminin_G_1	rdfs:label	pfam
Laminin_N	pfam:PF00055	Laminin_N	rdfs:label	pfam
Ldh_1_N	pfam:PF00056	Ldh_1_N	rdfs:label	pfam
Ldl_recept_a	pfam:PF00057	Ldl_recept_a	rdfs:label	pfam
Ldl_recept_b	pfam:PF00058	Ldl_recept_b	rdfs:label	pfam
Lectin_C	pfam:PF00059	Lectin_C	rdfs:label	pfam
Lig_chan	pfam:PF00060	Lig_chan	rdfs:label	pfam
Lipocalin	pfam:PF00061	Lipocalin	rdfs:label	pfam
Lys	pfam:PF00062	Lys	rdfs:label	pfam
Myosin_head	pfam:PF00063	Myosin_head	rdfs:label	pfam
Neur	pfam:PF00064	Neur	rdfs:label	pfam
Notch	pfam:PF00066	Notch	rdfs:label	pfam
p450	pfam:PF00067	p450	rdfs:label	pfam
Phospholip_A2_1	pfam:PF00068	Phospholip_A2_1	rdfs:label	pfam
Pkinase	pfam:PF00069	Pkinase	rdfs:label	pfam
Pyr_redox	pfam:PF00070	Pyr_redox	rdfs:label	pfam
Ras	pfam:PF00071	Ras	rdfs:label	pfam
Response_reg	pfam:PF00072	Response_reg	rdfs:label	pfam
Rhv	pfam:PF00073	Rhv	rdfs:label	pfam
RnaseA	pfam:PF00074	RnaseA	rdfs:label	pfam
RNase_H	pfam:PF00075	RNase_H	rdfs:label	pfam
RRM_1	pfam:PF00076	RRM_1	rdfs:label	pfam
RVP	pfam:PF00077	RVP	rdfs:label	pfam
RVT_1	pfam:PF00078	RVT_1	rdfs:label	pfam
Serpin	pfam:PF00079	Serpin	rdfs:label	pfam
Sod_Cu	pfam:PF00080	Sod_Cu	rdfs:label	pfam
