subject_id	object_id	predicate_id	mapping_justification
pharmgkb.disease:PA128406954	HP:0004324	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128406954	meddra:10063441	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128406954	mesh:D015430	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128406954	ndfrt:N0000011140	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128406954	snomedct:161831008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128406954	snomedct:262286000	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128406954	snomedct:8943002	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128406954	umls:C0043094	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128407009	meddra:10062207	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128407009	mesh:D009164	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128407009	MONDO:0020590	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128407009	ndfrt:N0000002071	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128407009	snomedct:186345003	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128407009	snomedct:88415009	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA128407009	umls:C0026918	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA131285571	HP:0012042	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA131285571	ndfrt:N0000181214	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA131285571	snomedct:407674008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA131285571	umls:C1319853	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA133888799	mesh:D016377	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850479	HP:0003614	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850479	meddra:10068233	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850479	MONDO:0011182	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850479	snomedct:237959005	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850479	umls:C0342739	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850491	meddra:10057677	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850491	mesh:D014180	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850491	snomedct:129406001	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850491	snomedct:263903005	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850491	snomedct:77465005	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850491	umls:C0040732	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850558	HP:0000608	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850558	meddra:10012148	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850558	mesh:D008268	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850558	MONDO:0003004	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850558	ndfrt:N0000001918	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850558	snomedct:422338006	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA134850558	umls:C0024437	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA136400566	meddra:10061986	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA136400566	mesh:D045169	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA136400566	MONDO:0005091	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA136400566	ndfrt:N0000010956	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA136400566	snomedct:398447004	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA136400566	umls:C1175175	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA142188754	meddra:10086632	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA142188754	MONDO:0015267	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA142188754	snomedct:702431004	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA142189041	MONDO:0100253	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA142189041	snomedct:48718006	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA142189041	umls:C0392475	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA142297362	meddra:10067380	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA142297362	MONDO:0009026	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA142297362	ndfrt:N0000181164	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA142297362	snomedct:309776008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA142297362	umls:C0587248	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA143414733	MONDO:0018921	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA144997875	mesh:C562793	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA144997875	MONDO:0009431	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA144997875	snomedct:726081005	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007152	mesh:C562924	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007152	MONDO:0008371	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007152	MONDO:0014234	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007155	mesh:C536028	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007155	MONDO:0023910	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007155	MONDO:8000008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007166	MONDO:0008518	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007166	snomedct:62628008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007166	umls:C0175700	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007176	meddra:10064063	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007176	MONDO:0008965	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007176	ndfrt:N0000182178	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007176	umls:C1535927	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007194	MONDO:0009115	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007194	snomedct:5388008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007194	umls:C0268179	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007197	meddra:10083099	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007197	mesh:C564710	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007197	MONDO:0011669	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007200	mesh:C564403	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145007200	MONDO:0018151	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145069467	mesh:D034381	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA145069467	MONDO:0005365	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA150481190	MONDO:0008919	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA150481190	snomedct:21764004	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA150481190	umls:C0342788	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA150527845	mesh:D044903	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA150527845	MONDO:0005803	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA150527845	ndfrt:N0000011154	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA150527845	snomedct:360337007	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA150527845	snomedct:360339005	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA150527845	umls:C1257959	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958338	HP:0003811	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958338	meddra:10011912	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958338	snomedct:6254007	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958338	umls:C0410916	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958383	meddra:10062427	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958383	mesh:D046152	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958383	MONDO:0011719	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958383	ndfrt:N0000011091	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958383	snomedct:420120006	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958383	umls:C0238198	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958647	meddra:10078208	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958647	mesh:D000088282	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958647	MONDO:0022308	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958647	snomedct:18842008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA151958647	umls:C0393570	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152068054	meddra:10053857	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152068054	MONDO:0012104	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152068054	snomedct:75659004	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152068054	umls:C0220989	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152132901	mesh:D061325	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152132901	MONDO:0003582	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152208657	MONDO:0015280	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152208657	snomedct:403770008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152208657	umls:C1275081	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152210107	HP:0002893	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152210107	meddra:10035079	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152210107	MONDO:0006373	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152210107	snomedct:128664001	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152210107	umls:C0032000	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238047	mesh:C537702	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238047	MONDO:0019190	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238055	mesh:C536456	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238055	MONDO:0010570	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238062	mesh:C537403	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238062	MONDO:0012589	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238062	snomedct:702344008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238063	mesh:C536990	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238063	MONDO:0009341	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238067	mesh:C536214	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238067	MONDO:0010091	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238425	MONDO:0017415	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238425	snomedct:205819008	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152238425	umls:C0265261	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152239578	MONDO:0011010	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152240221	mesh:C564315	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152240221	MONDO:0011928	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241270	mesh:D038261	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241270	MONDO:0008752	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241270	ndfrt:N0000010949	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241270	snomedct:81854007	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241270	umls:C0270726	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241932	mesh:C537923	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241932	MONDO:0002010	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241932	MONDO:0010590	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241952	HP:0000776	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241952	meddra:10010439	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241952	MONDO:0005711	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241952	snomedct:17190001	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241952	umls:C0235833	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241953	HP:0001298	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152241953	meddra:10014625	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152246679	MONDO:0010134	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152246679	snomedct:70348004	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152246679	umls:C0271829	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152249159	MONDO:0019012	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
pharmgkb.disease:PA152249159	snomedct:403767009	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
