text	curie	name	predicate	source
Weight increased	pharmgkb.disease:PA128406954	Weight gain	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Weight gain	pharmgkb.disease:PA128406954	Weight gain	rdfs:label	pharmgkb.disease
Buruli Ulcer	pharmgkb.disease:PA128407009	Mycobacterium Infections	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Infection due to mycobacteria	pharmgkb.disease:PA128407009	Mycobacterium Infections	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Mycobacterial disease NOS	pharmgkb.disease:PA128407009	Mycobacterium Infections	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Mycobacterial infections	pharmgkb.disease:PA128407009	Mycobacterium Infections	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Mycobacteriosis	pharmgkb.disease:PA128407009	Mycobacterium Infections	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Mycobacterium Infections	pharmgkb.disease:PA128407009	Mycobacterium Infections	rdfs:label	pharmgkb.disease
ASA-exacerbated respiratory disease	pharmgkb.disease:PA131285571	Aspirin-induced asthma	oboInOwl:hasRelatedSynonym	pharmgkb.disease
ASA-induced asthma	pharmgkb.disease:PA131285571	Aspirin-induced asthma	oboInOwl:hasRelatedSynonym	pharmgkb.disease
NERD	pharmgkb.disease:PA131285571	Aspirin-induced asthma	oboInOwl:hasRelatedSynonym	pharmgkb.disease
NSAID-exacerbated respiratory disease	pharmgkb.disease:PA131285571	Aspirin-induced asthma	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Aspirin-induced asthma	pharmgkb.disease:PA131285571	Aspirin-induced asthma	rdfs:label	pharmgkb.disease
Organ Transplantation	pharmgkb.disease:PA133888799	Organ Transplantation	rdfs:label	pharmgkb.disease
Fish odor syndrome	pharmgkb.disease:PA134850479	trimethylaminuria	oboInOwl:hasRelatedSynonym	pharmgkb.disease
trimethylaminuria	pharmgkb.disease:PA134850479	trimethylaminuria	rdfs:label	pharmgkb.disease
Grafting	pharmgkb.disease:PA134850491	Transplantation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
NOS	pharmgkb.disease:PA134850491	Transplantation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Transplant procedure	pharmgkb.disease:PA134850491	Transplantation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Transplantation - action	pharmgkb.disease:PA134850491	Transplantation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Tx - Transplant	pharmgkb.disease:PA134850491	Transplantation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Transplantation	pharmgkb.disease:PA134850491	Transplantation	rdfs:label	pharmgkb.disease
Age Related	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Age Related Maculopathies	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Age Related Maculopathy	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Age-Related	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Age-Related Macular Degeneration	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Age-Related Maculopathies	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Age-Related Maculopathy	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Degeneration	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Degenerations	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Degenerative disorder of macula	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Macular	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Macular Degeneration	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Macular Degenerations	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Macular Edema	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Macular edema	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Macular oedema	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Maculopathies	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Maculopathy	pharmgkb.disease:PA134850558	Macular Degeneration	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Macular Degeneration	pharmgkb.disease:PA134850558	Macular Degeneration	rdfs:label	pharmgkb.disease
SARS	pharmgkb.disease:PA136400566	Severe Acute Respiratory Syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
SARS-CoV infection	pharmgkb.disease:PA136400566	Severe Acute Respiratory Syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Severe Acute Respiratory Syndrome	pharmgkb.disease:PA136400566	Severe Acute Respiratory Syndrome	rdfs:label	pharmgkb.disease
Feingold Syndrome	pharmgkb.disease:PA142188754	Feingold Syndrome	rdfs:label	pharmgkb.disease
Hypomelia hypotrichosis facial hemangioma syndrome	pharmgkb.disease:PA142189041	Roberts-SC phocomelia syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hypomelia-hypotrichosis-facial haemangioma syndrome	pharmgkb.disease:PA142189041	Roberts-SC phocomelia syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Hypomelia-hypotrichosis-facial hemangioma syndrome	pharmgkb.disease:PA142189041	Roberts-SC phocomelia syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Pseudothalidomide syndrome	pharmgkb.disease:PA142189041	Roberts-SC phocomelia syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Robert's syndrome	pharmgkb.disease:PA142189041	Roberts-SC phocomelia syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Roberts Syndrome	pharmgkb.disease:PA142189041	Roberts-SC phocomelia syndrome	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Roberts-SC phocomelia syndrome	pharmgkb.disease:PA142189041	Roberts-SC phocomelia syndrome	rdfs:label	pharmgkb.disease
Costello Syndrome	pharmgkb.disease:PA142297362	Costello Syndrome	rdfs:label	pharmgkb.disease
