identifier	name	definition	synonyms	alts	parents	species
PA128406954	Weight gain		Weight increased			
PA128407009	Mycobacterium Infections		Buruli Ulcer|Infection due to mycobacteria|Mycobacterial disease NOS|Mycobacterial infections|Mycobacteriosis			
PA131285571	aspirin-induced asthma		ASA-exacerbated respiratory disease|ASA-induced asthma|NERD|NSAID-exacerbated respiratory disease			
PA133888799	Organ Transplantation					
PA134850479	trimethylaminuria		Fish odor syndrome			
PA134850491	Transplantation		Grafting|NOS|Transplant procedure|Transplantation - action|Tx - Transplant			
PA134850558	Macular Degeneration		Age Related|Age Related Maculopathies|Age Related Maculopathy|Age-Related|Age-Related Macular Degeneration|Age-Related Maculopathies|Age-Related Maculopathy|Degeneration|Degenerations|Degenerative disorder of macula|Macular|Macular Degeneration|Macular Degenerations|Macular Edema|Macular edema|Macular oedema|Maculopathies|Maculopathy			
PA135057241	Proarrhythmia					
PA136400566	Severe Acute Respiratory Syndrome		SARS|SARS-CoV infection			
PA142188754	Feingold Syndrome					
PA142189041	Roberts-SC phocomelia syndrome		Hypomelia hypotrichosis facial hemangioma syndrome|Hypomelia-hypotrichosis-facial haemangioma syndrome|Hypomelia-hypotrichosis-facial hemangioma syndrome|Pseudothalidomide syndrome|Robert's syndrome|Roberts Syndrome			
PA142297362	Costello Syndrome					
PA143414733	Meckel syndrome					
PA143488504	Vascular Resistance		Capillary Resistance|Systemic Vascular Resistance|Vascular resistance|function			
PA144997875	Hereditary Hypophosphatemic Rickets with Hypercalciuria					
PA145007152	Dowling-Degos Disease					
PA145007155	Martsolf Syndrome					
PA145007163	SRS-A		SRS-A of anaphylaxis|Silver-Russell Syndrome(SRS)			
PA145007166	Multiple synostosis syndrome		Multiple-Synostosis Syndrome			
PA145007176	CHARGE syndrome					
PA145007194	Congenital lactase deficiency		Congenital|Lactase Deficiency			
PA145007197	Hypotonia-Cystinuria Syndrome					
PA145007200	Coenzyme Q10 Deficiency					
PA145069467	Hearing Loss		Hearing Impairment			
PA150481190	Renal carnitine transport defect		Carnitine transporter deficiency|Carnitine uptake defect|Primary carnitine deficiency|Systemic carnitine deficiency|systemic carnitine deficiency			
PA150527845	Persistent Hyperinsulinemia Hypoglycemia of Infancy		Familial hyperinsulinaemia with pancreatic nesidioblastosis|Familial hyperinsulinemia with pancreatic nesidioblastosis|Hyperinsulinaemia due to nesidioblastosis|Hyperinsulinaemia due to pancreatic islet beta cell hyperplasia|Hyperinsulinemia due to nesidioblastosis|Hyperinsulinemia due to pancreatic islet beta cell hyperplasia|PHHI - Persistent hyperinsulinaemic hypoglycaemia of infancy|PHHI - Persistent hyperinsulinaemic hypoglycemia of infancy|PHHI - Persistent hyperinsulinemic hypoglycemia of infancy|Persistent hyperinsulinaemic hypoglycaemia of infancy|Persistent hyperinsulinaemic hypoglycemia of infancy|Persistent hyperinsulinemic hypoglycemia of infancy			
PA151958338	Neonatal death		Death|Neonatal			
PA151958383	Gastrointestinal Stromal Tumors		GIST - Gastrointestinal stromal tumor|Gastrointestinal stromal tumor|Gastrointestinal stromal tumors(GIST)			
PA151958647	Corticobasal degeneration disorder		Corticobasal degeneration(CBD)|Corticodentatonigral degeneration with neuronal achromasia			
PA152068054	Acquired partial lipodystrophy		Acquired Partial|Hollander-Simons syndrome|Lipodystrophy|Progressive partial lipodystrophy			
PA152132901	Hereditary Breast/Ovarian Cancer Syndrome					
