subject_id	object_id	predicate_id	mapping_justification
pharmgkb.drug:PA1000	atc:A10BA01	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA1000	bindingdb:50240908	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA1000	cas:834-28-6	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA1000	chemspider:7953	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA1000	drugbank:DB00914	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA1000	kegg.compound:C07673	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA1000	ndfrt:N0000171785	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA1000	pubchem.compound:8249	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA1000	pubchem.substance:151385	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA1000	pubchem.substance:46505230	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA1000	rxnorm:8129	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA1000	umls:C0031404	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10004	atc:L04AB04	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10004	cas:331731-18-1	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10004	drugbank:DB00051	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10004	genbank:J00228	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10004	ndc:0074-3799-02	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10004	ndfrt:N0000148789	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10004	rxnorm:327361	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10004	umls:C1122087	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10004	uniprot:P01857	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	atc:J05AF08	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	bindingdb:50038612	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	cas:142340-99-6	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	chemspider:54855	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	drugbank:DB00718	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	kegg.drug:D01655	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	mesh:C106812	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	ndc:61958-0501-1	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	ndfrt:N0000148776	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	pubchem.compound:60871	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	pubchem.substance:46507520	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	pubchem.substance:7848718	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	rxnorm:141400	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10005	umls:C0540694	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	atc:L01XD04	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	CHEBI:17549	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	chemspider:134	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	drugbank:DB00855	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	kegg.compound:C00430	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	ndc:67308-101-01	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	ndfrt:N0000176068	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	pubchem.compound:137	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	pubchem.substance:3719	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	pubchem.substance:46506856	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	rxnorm:683	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10015	umls:C0002563	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	atc:N05AX12	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	CHEBI:31236	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	chemspider:54790	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	drugbank:DB01238	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	iuphar.ligand:34	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	kegg.compound:C12564	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	kegg.drug:D01164	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	mesh:D000068180	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	ndc:59148-013-15	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	ndfrt:N0000148786	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	pubchem.compound:60795	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	pubchem.substance:46505745	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	pubchem.substance:582954	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	rxnorm:89013	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10026	umls:C0299792	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10032	atc:B01AE06	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10032	cas:128270-60-0	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10032	drugbank:DB00006	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10032	ndc:65293-001-01	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10032	ndfrt:N0000148708	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10032	pubchem.compound:16129704	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10032	pubchem.substance:214065	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10032	rxnorm:60819	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10032	umls:C0168273	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	atc:C02KX01	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	cas:147536-97-8	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	CHEBI:51450	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	chemspider:94651	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	drugbank:DB00559	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	kegg.drug:D01227	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	mesh:C086232	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	ndc:66215-101-06	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	ndfrt:N0000148726	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	pubchem.compound:104865	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	pubchem.substance:46507154	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	pubchem.substance:682323	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	rxnorm:75207	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10034	umls:C0252643	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	atc:N05BA08	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	cas:1812-30-2	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	chemspider:2347	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	drugbank:DB01558	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	kegg.drug:D01245	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	mesh:D001960	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	ndfrt:N0000166922	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	pubchem.compound:2441	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	pubchem.substance:10476910	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	pubchem.substance:46505694	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	rxnorm:1749	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10035	umls:C0006213	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10040	atc:L01FE01	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10040	cas:205923-56-4	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10040	drugbank:DB00002	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10040	genbank:J00228	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10040	mesh:D000068818	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10040	ndc:66733-948-23	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10040	ndfrt:N0000148833	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10040	pubchem.substance:472386399	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10040	rxnorm:318341	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10040	umls:C0995188	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10049	cas:427-51-0	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10049	CHEBI:50742	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10049	chemspider:4447594	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10049	drugbank:DB04839	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.drug:PA10049	ndfrt:N0000167456	skos:exactMatch	semapv:UnspecifiedMatching
