text	curie	name	predicate	source
Biological Intermediate	obo:pharmgkb.drug#biological-intermediate	Biological Intermediate	rdfs:label	obo
Biological Intermediate, Small Molecule	obo:pharmgkb.drug#biological-intermediate-small-molecule	Biological Intermediate, Small Molecule	rdfs:label	obo
Drug	obo:pharmgkb.drug#drug	Drug	rdfs:label	obo
Drug, Biological Intermediate	obo:pharmgkb.drug#drug-biological-intermediate	Drug, Biological Intermediate	rdfs:label	obo
Drug Class	obo:pharmgkb.drug#drug-class	Drug Class	rdfs:label	obo
Drug, Ion	obo:pharmgkb.drug#drug-ion	Drug, Ion	rdfs:label	obo
Drug, Metabolite	obo:pharmgkb.drug#drug-metabolite	Drug, Metabolite	rdfs:label	obo
Drug, Metabolite, Biological Intermediate	obo:pharmgkb.drug#drug-metabolite-biological-intermediate	Drug, Metabolite, Biological Intermediate	rdfs:label	obo
Drug, Small Molecule	obo:pharmgkb.drug#drug-small-molecule	Drug, Small Molecule	rdfs:label	obo
Ion	obo:pharmgkb.drug#ion	Ion	rdfs:label	obo
Ion, Biological Intermediate	obo:pharmgkb.drug#ion-biological-intermediate	Ion, Biological Intermediate	rdfs:label	obo
Metabolite	obo:pharmgkb.drug#metabolite	Metabolite	rdfs:label	obo
Metabolite, Biological Intermediate	obo:pharmgkb.drug#metabolite-biological-intermediate	Metabolite, Biological Intermediate	rdfs:label	obo
Metabolite, Ion	obo:pharmgkb.drug#metabolite-ion	Metabolite, Ion	rdfs:label	obo
Prodrug	obo:pharmgkb.drug#prodrug	Prodrug	rdfs:label	obo
Small Molecule	obo:pharmgkb.drug#small-molecule	Small Molecule	rdfs:label	obo
phenformin	pharmgkb.drug:PA1000	phenformin	rdfs:label	pharmgkb.drug
adalimumab	pharmgkb.drug:PA10004	adalimumab	rdfs:label	pharmgkb.drug
adefovir dipivoxil	pharmgkb.drug:PA10005	adefovir dipivoxil	rdfs:label	pharmgkb.drug
aminolevulinic acid	pharmgkb.drug:PA10015	aminolevulinic acid	rdfs:label	pharmgkb.drug
aripiprazole	pharmgkb.drug:PA10026	aripiprazole	rdfs:label	pharmgkb.drug
bivalirudin	pharmgkb.drug:PA10032	bivalirudin	rdfs:label	pharmgkb.drug
bosentan	pharmgkb.drug:PA10034	bosentan	rdfs:label	pharmgkb.drug
bromazepam	pharmgkb.drug:PA10035	bromazepam	rdfs:label	pharmgkb.drug
cetuximab	pharmgkb.drug:PA10040	cetuximab	rdfs:label	pharmgkb.drug
cyproterone	pharmgkb.drug:PA10049	cyproterone	rdfs:label	pharmgkb.drug
dexmethylphenidate	pharmgkb.drug:PA10054	dexmethylphenidate	rdfs:label	pharmgkb.drug
duloxetine	pharmgkb.drug:PA10066	duloxetine	rdfs:label	pharmgkb.drug
electrolytes	pharmgkb.drug:PA10068	electrolytes	rdfs:label	pharmgkb.drug
emtricitabine	pharmgkb.drug:PA10069	emtricitabine	rdfs:label	pharmgkb.drug
erythropoietin	pharmgkb.drug:PA10072	erythropoietin	rdfs:label	pharmgkb.drug
escitalopram	pharmgkb.drug:PA10074	escitalopram	rdfs:label	pharmgkb.drug
esomeprazole	pharmgkb.drug:PA10075	esomeprazole	rdfs:label	pharmgkb.drug
fenoterol	pharmgkb.drug:PA10079	fenoterol	rdfs:label	pharmgkb.drug
fosamprenavir	pharmgkb.drug:PA10084	fosamprenavir	rdfs:label	pharmgkb.drug
gemifloxacin	pharmgkb.drug:PA10088	gemifloxacin	rdfs:label	pharmgkb.drug
l-glutamine	pharmgkb.drug:PA10090	l-glutamine	rdfs:label	pharmgkb.drug
iobenguane (131i)	pharmgkb.drug:PA10116	iobenguane (131i)	rdfs:label	pharmgkb.drug
melarsoprol	pharmgkb.drug:PA10136	melarsoprol	rdfs:label	pharmgkb.drug
miglustat	pharmgkb.drug:PA10140	miglustat	rdfs:label	pharmgkb.drug
pipotiazine	pharmgkb.drug:PA10158	pipotiazine	rdfs:label	pharmgkb.drug
pirenzepine	pharmgkb.drug:PA10159	pirenzepine	rdfs:label	pharmgkb.drug
podophyllum	pharmgkb.drug:PA10162	podophyllum	rdfs:label	pharmgkb.drug
rasburicase	pharmgkb.drug:PA10176	rasburicase	rdfs:label	pharmgkb.drug
technetium (99mtc) mertiatide	pharmgkb.drug:PA10196	technetium (99mtc) mertiatide	rdfs:label	pharmgkb.drug
telithromycin	pharmgkb.drug:PA10202	telithromycin	rdfs:label	pharmgkb.drug
tenofovir	pharmgkb.drug:PA10204	tenofovir	rdfs:label	pharmgkb.drug
thioacetazone and isoniazid	pharmgkb.drug:PA10209	thioacetazone and isoniazid	rdfs:label	pharmgkb.drug
thyrotropin	pharmgkb.drug:PA10211	thyrotropin	rdfs:label	pharmgkb.drug
valdecoxib	pharmgkb.drug:PA10226	valdecoxib	rdfs:label	pharmgkb.drug
valganciclovir	pharmgkb.drug:PA10227	valganciclovir	rdfs:label	pharmgkb.drug
vardenafil	pharmgkb.drug:PA10229	vardenafil	rdfs:label	pharmgkb.drug
vigabatrin	pharmgkb.drug:PA10231	vigabatrin	rdfs:label	pharmgkb.drug
vindesine	pharmgkb.drug:PA10232	vindesine	rdfs:label	pharmgkb.drug
voriconazole	pharmgkb.drug:PA10233	voriconazole	rdfs:label	pharmgkb.drug
zoledronate	pharmgkb.drug:PA10235	zoledronate	rdfs:label	pharmgkb.drug
zopiclone	pharmgkb.drug:PA10236	zopiclone	rdfs:label	pharmgkb.drug
pancreozymin (cholecystokinin)	pharmgkb.drug:PA10238	pancreozymin (cholecystokinin)	rdfs:label	pharmgkb.drug
clodronate	pharmgkb.drug:PA10239	clodronate	rdfs:label	pharmgkb.drug
haemophilus b conjugate vaccine (prp-d-diphtheria toxoid conjugate)	pharmgkb.drug:PA10240	haemophilus b conjugate vaccine (prp-d-diphtheria toxoid conjugate)	rdfs:label	pharmgkb.drug
nitrazepam	pharmgkb.drug:PA10242	nitrazepam	rdfs:label	pharmgkb.drug
almotriptan	pharmgkb.drug:PA10246	almotriptan	rdfs:label	pharmgkb.drug
aminobenzoic acid	pharmgkb.drug:PA10247	aminobenzoic acid	rdfs:label	pharmgkb.drug
atazanavir	pharmgkb.drug:PA10251	atazanavir	rdfs:label	pharmgkb.drug
bortezomib	pharmgkb.drug:PA10252	bortezomib	rdfs:label	pharmgkb.drug
buserelin	pharmgkb.drug:PA10253	buserelin	rdfs:label	pharmgkb.drug
flupenthixol	pharmgkb.drug:PA10268	flupenthixol	rdfs:label	pharmgkb.drug
ibandronate	pharmgkb.drug:PA10270	ibandronate	rdfs:label	pharmgkb.drug
oxprenolol	pharmgkb.drug:PA10284	oxprenolol	rdfs:label	pharmgkb.drug
suramin	pharmgkb.drug:PA10292	suramin	rdfs:label	pharmgkb.drug
lanthanum carbonate	pharmgkb.drug:PA10305	lanthanum carbonate	rdfs:label	pharmgkb.drug
alpha-1-proteinase inhibitor	pharmgkb.drug:PA10308	alpha-1-proteinase inhibitor	rdfs:label	pharmgkb.drug
amsacrine	pharmgkb.drug:PA10309	amsacrine	rdfs:label	pharmgkb.drug
dornase alfa	pharmgkb.drug:PA10318	dornase alfa	rdfs:label	pharmgkb.drug
l-tryptophan	pharmgkb.drug:PA10323	l-tryptophan	rdfs:label	pharmgkb.drug
tadalafil	pharmgkb.drug:PA10333	tadalafil	rdfs:label	pharmgkb.drug
technetium (99mtc) sulfur colloid	pharmgkb.drug:PA10335	technetium (99mtc) sulfur colloid	rdfs:label	pharmgkb.drug
hemophilus influenzae b vaccines	pharmgkb.drug:PA10339	hemophilus influenzae b vaccines	rdfs:label	pharmgkb.drug
acamprosate	pharmgkb.drug:PA10344	acamprosate	rdfs:label	pharmgkb.drug
palonosetron	pharmgkb.drug:PA10352	palonosetron	rdfs:label	pharmgkb.drug
memantine	pharmgkb.drug:PA10364	memantine	rdfs:label	pharmgkb.drug
protamine	pharmgkb.drug:PA10366	protamine	rdfs:label	pharmgkb.drug
rabies immunoglobulin	pharmgkb.drug:PA10367	rabies immunoglobulin	rdfs:label	pharmgkb.drug
calcium phosphate	pharmgkb.drug:PA10373	calcium phosphate	rdfs:label	pharmgkb.drug
androgens and estrogens	pharmgkb.drug:PA10381	androgens and estrogens	rdfs:label	pharmgkb.drug
antiinflammatory and antirheumatic products, non-steroids	pharmgkb.drug:PA10384	antiinflammatory and antirheumatic products, non-steroids	rdfs:label	pharmgkb.drug
hydantoin derivatives	pharmgkb.drug:PA10387	hydantoin derivatives	rdfs:label	pharmgkb.drug
non-selective monoamine reuptake inhibitors	pharmgkb.drug:PA10389	non-selective monoamine reuptake inhibitors	rdfs:label	pharmgkb.drug
sulfonamides, urea derivatives	pharmgkb.drug:PA10390	sulfonamides, urea derivatives	rdfs:label	pharmgkb.drug
antiglaucoma preparations and miotics	pharmgkb.drug:PA10393	antiglaucoma preparations and miotics	rdfs:label	pharmgkb.drug
benzodiazepine derivatives	pharmgkb.drug:PA10402	benzodiazepine derivatives	rdfs:label	pharmgkb.drug
adrenergics, inhalants	pharmgkb.drug:PA10405	adrenergics, inhalants	rdfs:label	pharmgkb.drug
Calcium channel blockers	pharmgkb.drug:PA10407	Calcium channel blockers	rdfs:label	pharmgkb.drug
carbonic anhydrase inhibitors	pharmgkb.drug:PA10410	carbonic anhydrase inhibitors	rdfs:label	pharmgkb.drug
colony stimulating factors	pharmgkb.drug:PA10420	colony stimulating factors	rdfs:label	pharmgkb.drug
thiazide derivatives	pharmgkb.drug:PA10432	thiazide derivatives	rdfs:label	pharmgkb.drug
kaolin	pharmgkb.drug:PA10457	kaolin	rdfs:label	pharmgkb.drug
organic nitrates	pharmgkb.drug:PA10472	organic nitrates	rdfs:label	pharmgkb.drug
phenothiazines with aliphatic side-chain	pharmgkb.drug:PA10478	phenothiazines with aliphatic side-chain	rdfs:label	pharmgkb.drug
phosphates	pharmgkb.drug:PA10479	phosphates	rdfs:label	pharmgkb.drug
pyrethrins and piperonyl butoxide	pharmgkb.drug:PA10481	pyrethrins and piperonyl butoxide	rdfs:label	pharmgkb.drug
selenium supplements	pharmgkb.drug:PA10489	selenium supplements	rdfs:label	pharmgkb.drug
combinations of sulfonamides and trimethoprim, incl. derivatives	pharmgkb.drug:PA10492	combinations of sulfonamides and trimethoprim, incl. derivatives	rdfs:label	pharmgkb.drug
thioxanthene derivatives	pharmgkb.drug:PA10499	thioxanthene derivatives	rdfs:label	pharmgkb.drug
thyroid hormones	pharmgkb.drug:PA10500	thyroid hormones	rdfs:label	pharmgkb.drug
vitamin b-complex, plain	pharmgkb.drug:PA10505	vitamin b-complex, plain	rdfs:label	pharmgkb.drug
sulfamethoxazole / trimethoprim	pharmgkb.drug:PA10715	sulfamethoxazole / trimethoprim	rdfs:label	pharmgkb.drug
androgens for topical use	pharmgkb.drug:PA10733	androgens for topical use	rdfs:label	pharmgkb.drug
sulfonamides, plain	pharmgkb.drug:PA10741	sulfonamides, plain	rdfs:label	pharmgkb.drug
sulfonamides	pharmgkb.drug:PA10772	sulfonamides	rdfs:label	pharmgkb.drug
anakinra	pharmgkb.drug:PA10799	anakinra	rdfs:label	pharmgkb.drug
imatinib	pharmgkb.drug:PA10804	imatinib	rdfs:label	pharmgkb.drug
pemetrexed	pharmgkb.drug:PA10810	pemetrexed	rdfs:label	pharmgkb.drug
tinidazole	pharmgkb.drug:PA10813	tinidazole	rdfs:label	pharmgkb.drug
nadroparin	pharmgkb.drug:PA10815	nadroparin	rdfs:label	pharmgkb.drug
ezetimibe	pharmgkb.drug:PA10816	ezetimibe	rdfs:label	pharmgkb.drug
gamma hydroxybutyric acid	pharmgkb.drug:PA10819	gamma hydroxybutyric acid	rdfs:label	pharmgkb.drug
barbiturates, plain	pharmgkb.drug:PA10827	barbiturates, plain	rdfs:label	pharmgkb.drug
corticosteroids	pharmgkb.drug:PA10832	corticosteroids	rdfs:label	pharmgkb.drug
clobazam	pharmgkb.drug:PA10888	clobazam	rdfs:label	pharmgkb.drug
gliclazide	pharmgkb.drug:PA10892	gliclazide	rdfs:label	pharmgkb.drug
qt-prolonging drugs	pharmgkb.drug:PA1102	qt-prolonging drugs	rdfs:label	pharmgkb.drug
troleandomycin	pharmgkb.drug:PA127840611	troleandomycin	rdfs:label	pharmgkb.drug
fluorouracil	pharmgkb.drug:PA128406956	fluorouracil	rdfs:label	pharmgkb.drug
phencyclidine	pharmgkb.drug:PA128406980	phencyclidine	rdfs:label	pharmgkb.drug
pesticides	pharmgkb.drug:PA128406983	pesticides	rdfs:label	pharmgkb.drug
NG-monomethyl-l-arginine	pharmgkb.drug:PA129945760	NG-monomethyl-l-arginine	rdfs:label	pharmgkb.drug
perhexiline	pharmgkb.drug:PA130150436	perhexiline	rdfs:label	pharmgkb.drug
uridine	pharmgkb.drug:PA130230921	uridine	rdfs:label	pharmgkb.drug
6-o-phosphoryl inosine monophosphate	pharmgkb.drug:PA130230922	6-o-phosphoryl inosine monophosphate	rdfs:label	pharmgkb.drug
sulfaphenazole	pharmgkb.drug:PA130231310	sulfaphenazole	rdfs:label	pharmgkb.drug
bevacizumab	pharmgkb.drug:PA130232992	bevacizumab	rdfs:label	pharmgkb.drug
tegaserod	pharmgkb.drug:PA130413154	tegaserod	rdfs:label	pharmgkb.drug
orbofiban	pharmgkb.drug:PA130619705	orbofiban	rdfs:label	pharmgkb.drug
granulocyte colony-stimulating factor	pharmgkb.drug:PA130620649	granulocyte colony-stimulating factor	rdfs:label	pharmgkb.drug
anthracyclines and related substances	pharmgkb.drug:PA130620651	anthracyclines and related substances	rdfs:label	pharmgkb.drug
ketanserin	pharmgkb.drug:PA131053734	ketanserin	rdfs:label	pharmgkb.drug
oxaliplatin	pharmgkb.drug:PA131285527	oxaliplatin	rdfs:label	pharmgkb.drug
gefitinib	pharmgkb.drug:PA131301952	gefitinib	rdfs:label	pharmgkb.drug
drotrecogin alfa	pharmgkb.drug:PA131548935	drotrecogin alfa	rdfs:label	pharmgkb.drug
echinacea	pharmgkb.drug:PA131550706	echinacea	rdfs:label	pharmgkb.drug
raltitrexed	pharmgkb.drug:PA131625240	raltitrexed	rdfs:label	pharmgkb.drug
3,4-methylenedioxymethamphetamine	pharmgkb.drug:PA131887008	3,4-methylenedioxymethamphetamine	rdfs:label	pharmgkb.drug
semaxanib	pharmgkb.drug:PA131887911	semaxanib	rdfs:label	pharmgkb.drug
canfosfamide	pharmgkb.drug:PA131889722	canfosfamide	rdfs:label	pharmgkb.drug
cannabinoids	pharmgkb.drug:PA131890620	cannabinoids	rdfs:label	pharmgkb.drug
