identifier	name	definition	synonyms	alts	parents	species
PA1000	phenformin				obo:pharmgkb.drug#drug	
PA10004	adalimumab				obo:pharmgkb.drug#drug	
PA10005	adefovir dipivoxil				obo:pharmgkb.drug#prodrug	
PA10015	aminolevulinic acid				obo:pharmgkb.drug#drug	
PA10026	aripiprazole				obo:pharmgkb.drug#drug	
PA10032	bivalirudin				obo:pharmgkb.drug#drug	
PA10034	bosentan				obo:pharmgkb.drug#drug	
PA10035	bromazepam				obo:pharmgkb.drug#drug	
PA10040	cetuximab				obo:pharmgkb.drug#drug	
PA10049	cyproterone				obo:pharmgkb.drug#drug	
PA10054	dexmethylphenidate				obo:pharmgkb.drug#drug	
PA10066	duloxetine				obo:pharmgkb.drug#drug	
PA10068	electrolytes				obo:pharmgkb.drug#drug	
PA10069	emtricitabine				obo:pharmgkb.drug#drug	
PA10072	erythropoietin				obo:pharmgkb.drug#drug	
PA10074	escitalopram				obo:pharmgkb.drug#drug	
PA10075	esomeprazole				obo:pharmgkb.drug#drug	
PA10079	fenoterol				obo:pharmgkb.drug#drug	
PA10084	fosamprenavir				obo:pharmgkb.drug#drug	
PA10088	gemifloxacin				obo:pharmgkb.drug#drug	
PA10090	l-glutamine				obo:pharmgkb.drug#drug	
PA10116	iobenguane (131i)				obo:pharmgkb.drug#drug	
PA10136	melarsoprol				obo:pharmgkb.drug#drug	
PA10140	miglustat				obo:pharmgkb.drug#drug	
PA10158	pipotiazine				obo:pharmgkb.drug#drug	
PA10159	pirenzepine				obo:pharmgkb.drug#drug	
PA10162	podophyllum				obo:pharmgkb.drug#drug	
PA10176	rasburicase				obo:pharmgkb.drug#drug	
PA10196	technetium (99mtc) mertiatide				obo:pharmgkb.drug#drug	
PA10202	telithromycin				obo:pharmgkb.drug#drug	
PA10204	tenofovir				obo:pharmgkb.drug#prodrug	
PA10209	thioacetazone and isoniazid				obo:pharmgkb.drug#drug	
PA10211	thyrotropin				obo:pharmgkb.drug#drug-class	
PA10226	valdecoxib				obo:pharmgkb.drug#drug	
PA10227	valganciclovir				obo:pharmgkb.drug#drug	
PA10229	vardenafil				obo:pharmgkb.drug#drug	
PA10231	vigabatrin				obo:pharmgkb.drug#drug	
PA10232	vindesine				obo:pharmgkb.drug#drug	
PA10233	voriconazole				obo:pharmgkb.drug#drug	
PA10235	zoledronate				obo:pharmgkb.drug#drug	
PA10236	zopiclone				obo:pharmgkb.drug#drug	
PA10238	pancreozymin (cholecystokinin)				obo:pharmgkb.drug#drug	
PA10239	clodronate				obo:pharmgkb.drug#drug	
PA10240	haemophilus b conjugate vaccine (prp-d-diphtheria toxoid conjugate)				obo:pharmgkb.drug#drug	
PA10242	nitrazepam				obo:pharmgkb.drug#drug	
PA10246	almotriptan				obo:pharmgkb.drug#drug	
PA10247	aminobenzoic acid				obo:pharmgkb.drug#drug	
PA10251	atazanavir				obo:pharmgkb.drug#drug	
PA10252	bortezomib				obo:pharmgkb.drug#drug	
PA10253	buserelin				obo:pharmgkb.drug#drug	
PA10268	flupenthixol				obo:pharmgkb.drug#drug	
PA10270	ibandronate				obo:pharmgkb.drug#drug	
PA10284	oxprenolol				obo:pharmgkb.drug#drug	
PA10292	suramin				obo:pharmgkb.drug#drug	
PA10305	lanthanum carbonate				obo:pharmgkb.drug#drug	
PA10308	alpha-1-proteinase inhibitor				obo:pharmgkb.drug#drug	
PA10309	amsacrine				obo:pharmgkb.drug#drug	
PA10318	dornase alfa				obo:pharmgkb.drug#drug	
PA10323	l-tryptophan				obo:pharmgkb.drug#drug-biological-intermediate	
PA10333	tadalafil				obo:pharmgkb.drug#drug	
PA10335	technetium (99mtc) sulfur colloid				obo:pharmgkb.drug#drug	
PA10339	hemophilus influenzae b vaccines				obo:pharmgkb.drug#drug-class	
PA10344	acamprosate				obo:pharmgkb.drug#drug	
PA10352	palonosetron				obo:pharmgkb.drug#drug	
PA10364	memantine				obo:pharmgkb.drug#drug	
PA10366	protamine				obo:pharmgkb.drug#drug	
PA10367	rabies immunoglobulin				obo:pharmgkb.drug#drug	
PA10373	calcium phosphate				obo:pharmgkb.drug#drug	
PA10381	androgens and estrogens				obo:pharmgkb.drug#drug-class	
PA10384	antiinflammatory and antirheumatic products, non-steroids				obo:pharmgkb.drug#drug-class	
PA10387	hydantoin derivatives				obo:pharmgkb.drug#drug-class	
PA10389	non-selective monoamine reuptake inhibitors				obo:pharmgkb.drug#drug-class	
PA10390	sulfonamides, urea derivatives				obo:pharmgkb.drug#drug-class	
PA10393	antiglaucoma preparations and miotics				obo:pharmgkb.drug#drug-class	
PA10402	benzodiazepine derivatives				obo:pharmgkb.drug#drug-class	
PA10405	adrenergics, inhalants				obo:pharmgkb.drug#drug-class	
PA10407	Calcium channel blockers				obo:pharmgkb.drug#drug-class	
PA10410	carbonic anhydrase inhibitors				obo:pharmgkb.drug#drug-class	
PA10420	colony stimulating factors				obo:pharmgkb.drug#drug-class	
PA10432	thiazide derivatives				obo:pharmgkb.drug#drug-class	
PA10457	kaolin				obo:pharmgkb.drug#drug	
PA10472	organic nitrates				obo:pharmgkb.drug#drug-class	
PA10478	phenothiazines with aliphatic side-chain				obo:pharmgkb.drug#drug-class	
PA10479	phosphates				obo:pharmgkb.drug#drug	
PA10481	pyrethrins and piperonyl butoxide				obo:pharmgkb.drug#drug	
PA10489	selenium supplements				obo:pharmgkb.drug#drug	
PA10492	combinations of sulfonamides and trimethoprim, incl. derivatives				obo:pharmgkb.drug#drug-class	
PA10499	thioxanthene derivatives				obo:pharmgkb.drug#drug-class	
PA10500	thyroid hormones				obo:pharmgkb.drug#drug-class	
PA10505	vitamin b-complex, plain				obo:pharmgkb.drug#drug-class	
PA10715	sulfamethoxazole / trimethoprim				obo:pharmgkb.drug#drug	
PA10733	androgens for topical use				obo:pharmgkb.drug#drug-class	
PA10741	sulfonamides, plain				obo:pharmgkb.drug#drug-class	
PA10772	sulfonamides				obo:pharmgkb.drug#drug-class	
PA10799	anakinra				obo:pharmgkb.drug#drug	
PA10804	imatinib				obo:pharmgkb.drug#drug	
PA10810	pemetrexed				obo:pharmgkb.drug#drug	
PA10813	tinidazole				obo:pharmgkb.drug#drug	
PA10815	nadroparin				obo:pharmgkb.drug#drug	
PA10816	ezetimibe				obo:pharmgkb.drug#drug	
PA10819	gamma hydroxybutyric acid				obo:pharmgkb.drug#drug	
PA10827	barbiturates, plain				obo:pharmgkb.drug#drug-class	
PA10832	corticosteroids				obo:pharmgkb.drug#drug-class	
PA10888	clobazam				obo:pharmgkb.drug#drug	
PA10892	gliclazide				obo:pharmgkb.drug#drug	
PA1102	qt-prolonging drugs				obo:pharmgkb.drug#drug-class	
PA127840611	troleandomycin				obo:pharmgkb.drug#drug	
PA128406956	fluorouracil				obo:pharmgkb.drug#drug	
PA128406980	phencyclidine				obo:pharmgkb.drug#drug	
PA128406983	pesticides				obo:pharmgkb.drug#drug-class	
PA129945760	NG-monomethyl-l-arginine				obo:pharmgkb.drug#drug	
PA130150436	perhexiline				obo:pharmgkb.drug#drug	
PA130230921	uridine				obo:pharmgkb.drug#drug	
PA130230922	6-o-phosphoryl inosine monophosphate				obo:pharmgkb.drug#drug	
PA130231310	sulfaphenazole				obo:pharmgkb.drug#drug	
PA130232992	bevacizumab				obo:pharmgkb.drug#drug	
PA130413154	tegaserod				obo:pharmgkb.drug#drug	
