identifier	name	definition	synonyms	alts	parents	species
PA100	cell division cycle 25C		CDC25|CDC25 homolog C (S. pombe)|CDC25C|M-phase inducer phosphatase 3|PPP1R60|protein phosphatase 1|regulatory subunit 60			
PA101	cyclin dependent kinase 2		CDK2|cyclin-dependent kinase 2			
PA102	cyclin dependent kinase 4		CDK4|PSK-J3|cyclin-dependent kinase 4			
PA103	cyclin dependent kinase 6		CDK6|PLSTIRE|cyclin-dependent kinase 6			
PA104	cyclin dependent kinase inhibitor 1A		CAP20|CDKN1|CDKN1A|CIP1|Cdk-interacting protein 1|Cip1)|P21|SDI1|WAF1|cyclin-dependent kinase inhibitor 1A (p21|p21CIP1|p21Cip1/Waf1			
PA105	cyclin dependent kinase inhibitor 1B		CDKN1B|KIP1|Kip1)|P27KIP1|cyclin-dependent kinase inhibitor 1B (p27			
PA106	cyclin dependent kinase inhibitor 2A		ARF|CAI2|CDK4I|CDKN2|CDKN2A|CDKN2A/ARF Intron 2 lncRNA|CMM2|INK4|INK4a|MLM|MTS1|P16-INK4A|cyclin-dependent kinase 4 inhibitor A|cyclin-dependent kinase inhibitor 2A|inhibitor of cdk4 A|multiple tumour suppressor 1|p14|p14 alternate open reading frame|p14ARF|p16|p16INK4a|p19|p19 alternate open reading frame|p19Arf			
PA107	carboxylesterase 1		CEH|CES1|CES1A1|CES1A2|CES2|HMSE|HMSE1|SES1|human monocyte/macrophage serine esterase 1			
PA108	cholesteryl ester transfer protein		BPI fold containing family F|BPIFF|CETP|cholesteryl ester transfer protein|plasma			
PA109	CF transmembrane conductance regulator		ABC35|ABCC7|ATP-binding cassette sub-family C|CF|CFTR|CFTR/MRP|MRP7|TNR-CFTR|cystic fibrosis transmembrane conductance regulator|cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C|dJ760C5.1|member 7|member 7)			
PA110	checkpoint kinase 1		CHEK1|CHK1			
PA111	cholinergic receptor muscarinic 2		CHRM2|acetylcholine receptor|cholinergic receptor|muscarinic 2|muscarinic 2			
PA112	cholinergic receptor muscarinic 3		CHRM3|acetylcholine receptor|cholinergic receptor|m3AChR|muscarinic 3|muscarinic 3			
PA113	cholinergic receptor nicotinic alpha 3 subunit		CHRNA3|acetylcholine receptor|alpha 3 (neuronal)|alpha 3 (neuronal)|cholinergic receptor|nicotinic|nicotinic			
PA114	cholinergic receptor nicotinic alpha 7 subunit		CHRNA7|acetylcholine receptor|alpha 7 (neuronal)|alpha 7 (neuronal)|cholinergic receptor|nicotinic|nicotinic			
PA115	cholinergic receptor nicotinic beta 2 subunit		CHRNB2|acetylcholine receptor|beta 2 (neuronal)|beta 2 (neuronal)|cholinergic receptor|nicotinic|nicotinic			
PA116	ATP binding cassette subfamily C member 2		ABCC2|ATP-binding cassette|CMOAT|DJS|MRP2|cMRP|member 2|sub-family C (CFTR/MRP)			
PA117	catechol-O-methyltransferase		COMT			
PA118	solute carrier family 31 member 1		COPT1|CTR1|SLC31A1|copper transport 1 homolog (S. cerevisiae)|hCTR1|member 1|member 1|solute carrier family 31 (copper transporter)|solute carrier family 31 (copper transporters)			
PA119	corticotropin releasing hormone		CRF|CRH|CRH1|corticoliberin|corticotropin-releasing factor			
PA120	C-reactive protein		C-reactive protein|CRP|PTX1|pentraxin 1|pentraxin-related			
PA121	cytochrome P450 family 2 subfamily A member 6		CPA6|CYP2A|CYP2A3|CYP2A6|cytochrome P450|family 2|polypeptide 6|subfamily A			
PA122	cytochrome P450 family 3 subfamily A member 7		CP37|CYP3A7|P450-HFLA|cytochrome P450|family 3|polypeptide 7|subfamily A			
PA123	cytochrome P450 family 2 subfamily B member 6		CPB6|CYP2B|CYP2B6|CYPIIB6|cytochrome P450|family 2|polypeptide 6|subfamily B			
PA124	cytochrome P450 family 2 subfamily C member 19		CPCJ|CYP2C|CYP2C19|P450IIC19|cytochrome P450|family 2|polypeptide 19|subfamily C			
PA125	cytochrome P450 family 2 subfamily C member 8		CPC8|CYP2C8|cytochrome P450|family 2|polypeptide 8|subfamily C			
PA126	cytochrome P450 family 2 subfamily C member 9		CYP2C10|CYP2C9|P450IIC9|cytochrome P450|family 2|polypeptide 9|subfamily C			
PA127	cytochrome P450 family 2 subfamily C member 18		CPCI|CYP2C|CYP2C17|CYP2C18|P450IIC17|cytochrome P450|family 2|polypeptide 18|subfamily C			
PA128	cytochrome P450 family 2 subfamily D member 6		CPD6|CYP2D|CYP2D6|CYP2D7AP|CYP2D7BP|CYP2D7P2|CYP2D8P2|CYP2DL1|P450-DB1|P450C2D|cytochrome P450|family 2|polypeptide 6|subfamily D			
PA128394534	fascin actin-bundling protein 1		FLJ38511|FSCN1|SNL|Singed|actin bundling protein|actin-bundling protein (Strongylocentrotus purpuratus)|drosophila|fascin homolog 1|homolog-like|p55			
PA128394535	peroxidasin		D2S448|D2S448E|KIAA0230|MG50|PRG2|PXDN|PXN|peroxidasin homolog (Drosophila)			
PA128394537	tumor suppressor candidate 3		MGC13453|MRT22|MRT7|MagT2|Magnesium uptake/transporter TUSC3|N33|OST3A|SLC58A2|TUSC3|oligosaccharyltransferase 3 homolog A (S. cerevisiae)			
PA128394538	GTP binding protein 6 (putative)		FLJ20977|GTPBP6|PGPL|pseudoautosomal GTP binding protein-like			
PA128394540	L antigen family member 3		CVG5|DNA segment on chromosome X (unique) 9879 expressed sequence|DXS9879E|DXS9951E|ESO3|ITBA2|L antigen family|LAGE3|Pcc1|member 3			
PA128394541	ribonuclease T2		FLJ10907|RNASE6PL|RNASET2|bA514O12.3			
PA128394542	suppressor of cytokine signaling 2		CIS2|Cish2|SOCS-2|SOCS2|SSI-2|SSI2|STAT-induced STAT inhibitor-2|STATI2			
PA128394543	huntingtin interacting protein 1 related		FLJ14000|HIP12|HIP1R|HIP3|ILWEQ|KIAA0655			
