text	curie	name	predicate	source
Statin Pathway Generalized Pharmacokinetics	pharmgkb.pathways:PA145011108	Statin Pathway Generalized Pharmacokinetics	rdfs:label	pharmgkb.pathways
Rosuvastatin Pathway Pharmacokinetics	pharmgkb.pathways:PA145011112	Rosuvastatin Pathway Pharmacokinetics	rdfs:label	pharmgkb.pathways
Warfarin Pathway Pharmacokinetics	pharmgkb.pathways:PA145011113	Warfarin Pathway Pharmacokinetics	rdfs:label	pharmgkb.pathways
Phenytoin Pathway Pharmacokinetics	pharmgkb.pathways:PA145011115	Phenytoin Pathway Pharmacokinetics	rdfs:label	pharmgkb.pathways
Aromatase Inhibitor Pathway Multiple Tissues Pharmacodynamics	pharmgkb.pathways:PA145011117	Aromatase Inhibitor Pathway Multiple Tissues Pharmacodynamics	rdfs:label	pharmgkb.pathways
Tamoxifen Pathway Pharmacokinetics	pharmgkb.pathways:PA145011119	Tamoxifen Pathway Pharmacokinetics	rdfs:label	pharmgkb.pathways
Aromatase Inhibitor Pathway Breast Cell Pharmacodynamics	pharmgkb.pathways:PA145011120	Aromatase Inhibitor Pathway Breast Cell Pharmacodynamics	rdfs:label	pharmgkb.pathways
Codeine and Morphine Pathway Pharmacokinetics	pharmgkb.pathways:PA146123006	Codeine and Morphine Pathway Pharmacokinetics	rdfs:label	pharmgkb.pathways
Platinum Pathway Pharmacokinetics Pharmacodynamics	pharmgkb.pathways:PA150642262	Platinum Pathway Pharmacokinetics Pharmacodynamics	rdfs:label	pharmgkb.pathways
Fluoropyrimidine Pathway Pharmacokinetics	pharmgkb.pathways:PA150653776	Fluoropyrimidine Pathway Pharmacokinetics	rdfs:label	pharmgkb.pathways
Vinka Alkaloid Pathway Pharmacokinetics	pharmgkb.pathways:PA150981002	Vinka Alkaloid Pathway Pharmacokinetics	rdfs:label	pharmgkb.pathways
Celecoxib Pathway Pharmacodynamics	pharmgkb.pathways:PA152241951	Celecoxib Pathway Pharmacodynamics	rdfs:label	pharmgkb.pathways
