identifier	name	definition	synonyms	alts	parents	species
PA145011108	Statin Pathway Generalized Pharmacokinetics					
PA145011112	Rosuvastatin Pathway Pharmacokinetics					
PA145011113	Warfarin Pathway Pharmacokinetics					
PA145011115	Phenytoin Pathway Pharmacokinetics					
PA145011117	Aromatase Inhibitor Pathway Multiple Tissues Pharmacodynamics					
PA145011119	Tamoxifen Pathway Pharmacokinetics					
PA145011120	Aromatase Inhibitor Pathway Breast Cell Pharmacodynamics					
PA146123006	Codeine and Morphine Pathway Pharmacokinetics					
PA150642262	Platinum Pathway Pharmacokinetics Pharmacodynamics					
PA150653776	Fluoropyrimidine Pathway Pharmacokinetics					
PA150981002	Vinka Alkaloid Pathway Pharmacokinetics					
PA152241951	Celecoxib Pathway Pharmacodynamics					
PA152325160	Gefitinib Pathway Pharmacokinetics					
PA152530845	Proton Pump Inhibitor Pathway Pharmacodynamics					
PA152530846	Omeprazole and Esomeprazole Pathway Pharmacokinetics					
PA153627758	Anti diabetic Drug Potassium Channel Inhibitors Pathway Pharmacodynamics					
PA153627759	Anti diabetic Drug Repaglinide Pathway Pharmacokinetics					
PA154423659	Anti diabetic Drug Nateglinide Pathway Pharmacokinetics					
PA154423660	Bisphosphonate Pathway Pharmacodynamics					
PA154424674	Clopidogrel Pathway Pharmacokinetics					
PA154426155	Taxane Pathway Pharmacokinetics					
PA154426903	Erlotinib Pathway Pharmacokinetics					
PA154444041	Platelet Aggregation Inhibitor Pathway Pharmacodynamics					
PA155028030	Tenofovir Adefovir Pathway Pharmacokinetics					
PA161749006	Selective Serotonin Reuptake Inhibitor Pathway Pharmacodynamics					
PA161749012	Fluoxetine Pathway Pharmacokinetics					
PA162355620	Nicotine Pathway Chromaffin Cell Pharmacodynamics					
PA162355621	Nicotine Pathway Dopaminergic Neuron Pharmacodynamics					
PA162356267	EGFR Inhibitor Pathway Pharmacodynamics					
PA162359940	Imipramine Desipramine Pathway Pharmacokinetics					
PA164713427	Imatinib Pathway Pharmacokinetics Pharmacodynamics					
PA164713428	Losartan Pathway Pharmacokinetics					
PA164713429	Citalopram and Escitalopram Pathway Pharmacokinetics					
PA165110622	Agents Acting on the Renin Angiotensin System Pathway Pharmacodynamics					
PA165111375	Benzodiazepine Pathway Pharmacokinetics					
PA165111376	Benzodiazepine Pathway Pharmacodynamics					
PA165292177	Doxorubicin Pathway Pharmacokinetics					
PA165374494	Busulfan Pathway Pharmacodynamics					
PA165378192	Artemisinin and Derivatives Pathway Pharmacokinetics					
PA165815256	Amodiaquine Pathway Pharmacokinetics					
PA165816270	Methotrexate Pathway Brain Cell Pharmacokinetics					
PA165816349	Methotrexate Pathway Pharmacokinetics					
PA165816736	Celecoxib Pathway Pharmacokinetics					
PA165816969	Rosiglitazone Pathway Pharmacokinetics					
PA165817070	Carbamazepine Pathway Pharmacokinetics					
PA165859361	Zidovudine Pathway Pharmacokinetics Pharmacodynamics					
PA165860384	Lamivudine Pathway Pharmacokinetics Pharmacodynamics					
PA165884757	Caffeine Pathway Pharmacokinetics					
PA165946349	Tramadol Pharmacokinetics					
PA165947317	Leukotriene modifiers pathway Pharmacodynamics					
PA165948259	Metformin Pathway Pharmacokinetics					
PA165948566	Metformin Pathway Pharmacodynamics					
PA165950411	Nevirapine Pathway Pharmacokinetics					
PA165959313	Valproic Acid Pathway Pharmacodynamics					
PA165959537	Sorafenib Pharmacokinetics					
PA165959584	Sorafenib Pharmacodynamics					
PA165960076	Clomipramine Pathway Pharmacokinetics					
PA165964265	Valproic Acid Pathway Pharmacokinetics					
PA165964832	Mycophenolic acid Pathway Pharmacokinetics Pharmacodynamics					
PA165971634	Pentose Phosphate Pathway Erythrocyte Pharmacodynamics					
PA165980050	Vemurafenib Pathway Pharmacodynamics					
PA165980399	Oxidative Stress Regulatory Pathway Erythrocyte					
PA165980774	Uric Acid Lowering Drugs Pathway Pharmacodynamics					
PA165980834	Methylene Blue Pathway Pharmacodynamics					
PA165981686	Doxepin Pathway Pharmacokinetics					
PA165984799	Diuretics Pathway Pharmacodynamics					
PA165985892	Tacrolimus Cyclosporine Pathway Pharmacodynamics					
PA165986114	Tacrolimus Cyclosporine Pathway Pharmacokinetics					
PA165986279	Acetaminophen Pathway therapeutic doses Pharmacokinetics					
PA166014758	Venlafaxine Pathway Pharmacokinetics					
PA166041114	Ibuprofen Pathway Pharmacokinetics					
PA166104634	Abacavir Pathway Pharmacokinetics Pharmacodynamics					
PA166114721	Uricosurics Pathway Pharmacodynamics					
PA166115250	Gemtuzumab ozogamicin Pathway Pharmacokinetics Pharmacodynamics					
PA166117881	Acetaminophen Pathway toxic doses Pharmacokinetics					
PA166121347	Paroxetine Pathway Pharmacokinetics					
PA166121942	Ibuprofen Pathway Pharmacodynamics					
PA166122732	Succinylcholine Pathway Pharmacokinetics Pharmacodynamics					
PA166123135	Efavirenz Pathway Pharmacokinetics					
PA166126086	Peginterferon alpha 2a Peginterferon alpha 2b Pathway Hepatocyte Pharmacodynamics					
PA166160640	Voriconazole Pathway Pharmacokinetics					
PA166160731	Macrolide Antibiotic Pathway Pharmacokinetics Pharmacodynamics					
PA166160830	Atomoxetine Pathway Pharmacokinetics					
PA166163407	Pazopanib Pathway Pharmacokinetics					
PA166163647	Amitriptyline and Nortriptyline Pathway Pharmacokinetics					
PA166163705	Diclofenac Pathway Pharmacokinetics					
PA166163828	Haloperidol Pathway Pharmacokinetics					
PA166165056	Olanzapine Pathway Pharmacokinetics					
PA166165076	Verapamil Pathway Pharmacokinetics					
PA166170503	Atazanavir Pathway Pharmacokinetics Pharmacodynamics					
PA166170742	Antipsychotics Pathway Metabolic Side Effects Pharmacodynamics					
PA166178009	Crizotinib Pathway Pharmacokinetics Pharmacodynamics					
PA166178011	Bosutinib Pathway Pharmacokinetics Pharmacodynamics					
PA166178200	Ponatinib Pathway Pharmacokinetics Pharmacodynamics					
PA166178331	Nilotinib Pathway Pharmacokinetics Pharmacodynamics					
PA166178361	Sunitinib Pathway Pharmacokinetics Pharmacodynamics					
PA166179270	Carvedilol Pathway Pharmacokinetics					
PA166179273	Metoprolol Pathway Pharmacokinetics					
PA166181140	Methylphenidate Pathway Pharmacodynamics					
PA166182313	Lidocaine Pathway Pharmacokinetics					
PA166182962	Candesartan Pathway Pharmacokinetics					
PA166183426	Propranolol Pathway Pharmacokinetics					
PA166210762	Meperidine Pathway Pharmacokinetics					
PA166211461	Allopurinol Pathway Pharmacokinetics					
PA166225521	Pantoprazole Pathway Pharmacokinetics					
PA166227081	Cannabidiol Pathway Pharmacokinetics					
PA166227341	Rabeprazole Pathway Pharmacokinetics					
PA166228061	Pimozide Pathway Pharmacokinetics					
PA166232741	Sevoflurane Pathway Pharmacokinetics					
PA166232761	Enflurane Pathway Pharmacokinetics					
PA166232762	Desflurane Pathway Pharmacokinetics					
PA166233701	Halothane Pathway Pharmacokinetics					
PA166234781	Methoxyflurane Pathway Pharmacokinetics					
PA166241421	Lansoprazole Pathway Pharmacokinetics					
PA166245161	Trimipramine Pathway Pharmacokinetics					
PA166245301	Flurbiprofen Pathway Pharmacokinetics					
PA166245321	Lornoxicam Pathway Pharmacokinetics					
PA166245481	Meloxicam Pathway Pharmacokinetics					
PA166246121	Oxcarbazepine Pathway Pharmacokinetics					
PA166246181	Siponimod Pathway Pharmacokinetics Pharmacodynamics					
PA166246241	Piroxicam Pathway Pharmacokinetics					
PA166246261	Isoflurane Pathway Pharmacokinetics					
PA166246401	Aripiprazole Pathway Pharmacokinetics					
PA166246961	Phenprocoumon Pathway Pharmacokinetics					
PA166247041	Acenocoumarol Pathway Pharmacokinetics					
PA166248901	Heparin induced Thrombocytopenia Pathway Adverse Drug Reaction					
PA2001	Irinotecan Pathway Pharmacokinetics					
PA2011	Nicotine Pathway Pharmacokinetics					
PA2023	ACE Inhibitor Pathway Pharmacodynamics					
PA2024	Beta agonist Beta blocker Pathway Pharmacodynamics					
PA2025	Etoposide Pathway Pharmacokinetics Pharmacodynamics					
PA2026	Glucocorticoid Pathway HPA Axis Pharmacodynamics					
PA2029	Irinotecan Pathway Pharmacodynamics					
PA2030	Sympathetic Nerve Pathway Pre and Post Ganglionic Junction					
PA2031	Statin Pathway Pharmacodynamics					
PA2032	VEGF Signaling Pathway					
PA2033	Antiarrhythmic Pathway Pharmacodynamics					
PA2034	Cyclophosphamide Pathway Pharmacokinetics					
PA2036	Gemcitabine Pathway Pharmacokinetics Pharmacodynamics					
PA2037	Ifosfamide Pathway Pharmacokinetics					
PA2038	Ifosfamide Pathway Pharmacodynamics					
PA2040	Thiopurine Pathway Pharmacokinetics Pharmacodynamics					
PA2042	Sympathetic Nerve Pathway Neuroeffector Junction					
