text	curie	name	predicate	source
EPHB forward signaling	pid.pathway:01c81f4a-6192-11e5-8ac5-06603eb7f303	EPHB forward signaling	rdfs:label	pid.pathway
Rapid glucocorticoid signaling	pid.pathway:01db03fd-6195-11e5-8ac5-06603eb7f303	Rapid glucocorticoid signaling	rdfs:label	pid.pathway
Ras signaling in the CD4 TCR pathway	pid.pathway:03079d1e-6195-11e5-8ac5-06603eb7f303	Ras signaling in the CD4 TCR pathway	rdfs:label	pid.pathway
Syndecan-3-mediated signaling events	pid.pathway:052075b8-6196-11e5-8ac5-06603eb7f303	Syndecan-3-mediated signaling events	rdfs:label	pid.pathway
Reelin signaling pathway	pid.pathway:054f432f-6195-11e5-8ac5-06603eb7f303	Reelin signaling pathway	rdfs:label	pid.pathway
Glypican 2 network	pid.pathway:0723edcd-6193-11e5-8ac5-06603eb7f303	Glypican 2 network	rdfs:label	pid.pathway
Insulin Pathway	pid.pathway:073b9f25-6194-11e5-8ac5-06603eb7f303	Insulin Pathway	rdfs:label	pid.pathway
Syndecan-4-mediated signaling events	pid.pathway:076bc549-6196-11e5-8ac5-06603eb7f303	Syndecan-4-mediated signaling events	rdfs:label	pid.pathway
Glypican 3 network	pid.pathway:07762c7e-6193-11e5-8ac5-06603eb7f303	Glypican 3 network	rdfs:label	pid.pathway
Regulation of Androgen receptor activity	pid.pathway:094a8cb0-6195-11e5-8ac5-06603eb7f303	Regulation of Androgen receptor activity	rdfs:label	pid.pathway
GMCSF-mediated signaling events	pid.pathway:095aa3ef-6193-11e5-8ac5-06603eb7f303	GMCSF-mediated signaling events	rdfs:label	pid.pathway
TCR signaling in nave CD4 T cells	pid.pathway:0c2862fa-6196-11e5-8ac5-06603eb7f303	TCR signaling in nave CD4 T cells	rdfs:label	pid.pathway
Regulation of CDC42 activity	pid.pathway:0ffe6681-6195-11e5-8ac5-06603eb7f303	Regulation of CDC42 activity	rdfs:label	pid.pathway
Regulation of cytoplasmic and nuclear SMAD23 signaling	pid.pathway:13312fe2-6195-11e5-8ac5-06603eb7f303	Regulation of cytoplasmic and nuclear SMAD23 signaling	rdfs:label	pid.pathway
Ephrin A reverse signaling	pid.pathway:134e5bdb-6192-11e5-8ac5-06603eb7f303	Ephrin A reverse signaling	rdfs:label	pid.pathway
Insulin-mediated glucose transport	pid.pathway:145e3376-6194-11e5-8ac5-06603eb7f303	Insulin-mediated glucose transport	rdfs:label	pid.pathway
Ephrin B reverse signaling	pid.pathway:149a63dc-6192-11e5-8ac5-06603eb7f303	Ephrin B reverse signaling	rdfs:label	pid.pathway
Hedgehog signaling events mediated by Gli proteins	pid.pathway:153b6970-6193-11e5-8ac5-06603eb7f303	Hedgehog signaling events mediated by Gli proteins	rdfs:label	pid.pathway
Regulation of nuclear beta catenin signaling and target gene transcription	pid.pathway:1590a3b3-6195-11e5-8ac5-06603eb7f303	Regulation of nuclear beta catenin signaling and target gene transcription	rdfs:label	pid.pathway
TCR signaling in nave CD8 T cells	pid.pathway:15a017bb-6196-11e5-8ac5-06603eb7f303	TCR signaling in nave CD8 T cells	rdfs:label	pid.pathway
Integrin family cell surface interactions	pid.pathway:1ca2bf67-6194-11e5-8ac5-06603eb7f303	Integrin family cell surface interactions	rdfs:label	pid.pathway
TGF-beta receptor signaling	pid.pathway:1f188fcc-6196-11e5-8ac5-06603eb7f303	TGF-beta receptor signaling	rdfs:label	pid.pathway
HIF-1-alpha transcription factor network	pid.pathway:20ef2b81-6193-11e5-8ac5-06603eb7f303	HIF-1-alpha transcription factor network	rdfs:label	pid.pathway
EPO signaling pathway	pid.pathway:20fe3c0e-6192-11e5-8ac5-06603eb7f303	EPO signaling pathway	rdfs:label	pid.pathway
Integrin-linked kinase signaling	pid.pathway:21738158-6194-11e5-8ac5-06603eb7f303	Integrin-linked kinase signaling	rdfs:label	pid.pathway
Regulation of nuclear SMAD23 signaling	pid.pathway:246aac04-6195-11e5-8ac5-06603eb7f303	Regulation of nuclear SMAD23 signaling	rdfs:label	pid.pathway
Thromboxane A2 receptor signaling	pid.pathway:27d5800d-6196-11e5-8ac5-06603eb7f303	Thromboxane A2 receptor signaling	rdfs:label	pid.pathway
