identifier	name	definition	synonyms	alts	parents	species
01c81f4a-6192-11e5-8ac5-06603eb7f303	EPHB forward signaling					
01db03fd-6195-11e5-8ac5-06603eb7f303	Rapid glucocorticoid signaling					
03079d1e-6195-11e5-8ac5-06603eb7f303	Ras signaling in the CD4 TCR pathway					
052075b8-6196-11e5-8ac5-06603eb7f303	Syndecan-3-mediated signaling events					
054f432f-6195-11e5-8ac5-06603eb7f303	Reelin signaling pathway					
0723edcd-6193-11e5-8ac5-06603eb7f303	Glypican 2 network					
073b9f25-6194-11e5-8ac5-06603eb7f303	Insulin Pathway					
076bc549-6196-11e5-8ac5-06603eb7f303	Syndecan-4-mediated signaling events					
07762c7e-6193-11e5-8ac5-06603eb7f303	Glypican 3 network					
094a8cb0-6195-11e5-8ac5-06603eb7f303	Regulation of Androgen receptor activity					
095aa3ef-6193-11e5-8ac5-06603eb7f303	GMCSF-mediated signaling events					
0c2862fa-6196-11e5-8ac5-06603eb7f303	TCR signaling in nave CD4 T cells					
0ffe6681-6195-11e5-8ac5-06603eb7f303	Regulation of CDC42 activity					
13312fe2-6195-11e5-8ac5-06603eb7f303	Regulation of cytoplasmic and nuclear SMAD23 signaling					
134e5bdb-6192-11e5-8ac5-06603eb7f303	Ephrin A reverse signaling					
145e3376-6194-11e5-8ac5-06603eb7f303	Insulin-mediated glucose transport					
149a63dc-6192-11e5-8ac5-06603eb7f303	Ephrin B reverse signaling					
153b6970-6193-11e5-8ac5-06603eb7f303	Hedgehog signaling events mediated by Gli proteins					
1590a3b3-6195-11e5-8ac5-06603eb7f303	Regulation of nuclear beta catenin signaling and target gene transcription					
15a017bb-6196-11e5-8ac5-06603eb7f303	TCR signaling in nave CD8 T cells					
1ca2bf67-6194-11e5-8ac5-06603eb7f303	Integrin family cell surface interactions					
1f188fcc-6196-11e5-8ac5-06603eb7f303	TGF-beta receptor signaling					
20ef2b81-6193-11e5-8ac5-06603eb7f303	HIF-1-alpha transcription factor network					
20fe3c0e-6192-11e5-8ac5-06603eb7f303	EPO signaling pathway					
21738158-6194-11e5-8ac5-06603eb7f303	Integrin-linked kinase signaling					
246aac04-6195-11e5-8ac5-06603eb7f303	Regulation of nuclear SMAD23 signaling					
27d5800d-6196-11e5-8ac5-06603eb7f303	Thromboxane A2 receptor signaling					
2c26d51f-6192-11e5-8ac5-06603eb7f303	ErbB receptor signaling network					
2ddeac89-6194-11e5-8ac5-06603eb7f303	Integrins in angiogenesis					
3062ca15-6195-11e5-8ac5-06603eb7f303	Regulation of p38-alpha and p38-beta					
30d60550-6192-11e5-8ac5-06603eb7f303	ErbB1 downstream signaling					
316be05e-6196-11e5-8ac5-06603eb7f303	TNF receptor signaling pathway 					
34df8664-78c3-11e8-a4bf-0ac135e8bacf	a4b7 Integrin signaling					
351aacd6-6195-11e5-8ac5-06603eb7f303	Regulation of RAC1 activity					
36ac0907-78c3-11e8-a4bf-0ac135e8bacf	a6b1 and a6b4 Integrin signaling					
37358832-6193-11e5-8ac5-06603eb7f303	HIF-2-alpha transcription factor network					
38610c0a-78c3-11e8-a4bf-0ac135e8bacf	ALK1 signaling events					
397d91c7-6195-11e5-8ac5-06603eb7f303	Regulation of Ras family activation					
39c9278d-78c3-11e8-a4bf-0ac135e8bacf	ALK2 signaling events					
3a79fddf-6196-11e5-8ac5-06603eb7f303	TRAIL signaling pathway					
3aa9aafa-6194-11e5-8ac5-06603eb7f303	Internalization of ErbB1					
3b850860-78c3-11e8-a4bf-0ac135e8bacf	Alpha-synuclein signaling					
3d357783-78c3-11e8-a4bf-0ac135e8bacf	Alpha4 beta1 integrin signaling events					
3e861366-78c3-11e8-a4bf-0ac135e8bacf	Alpha6 beta4 integrin-ligand interactions					
400ebdab-6194-11e5-8ac5-06603eb7f303	JNK signaling in the CD4 TCR pathway					
40323cc9-78c3-11e8-a4bf-0ac135e8bacf	Alpha9 beta1 integrin signaling events					
4037def0-6196-11e5-8ac5-06603eb7f303	Trk receptor signaling mediated by PI3K and PLC-gamma					
407a3468-6195-11e5-8ac5-06603eb7f303	Regulation of retinoblastoma protein					
4199e31c-78c3-11e8-a4bf-0ac135e8bacf	Alternative NF-kappaB pathway					
41a75463-6193-11e5-8ac5-06603eb7f303	HIV-1 Nef Negative effector of Fas and TNF-alpha					
41fc83ec-6194-11e5-8ac5-06603eb7f303	Lissencephaly gene (LIS1) in neuronal migration and development					
