identifier	name	definition	synonyms	alts	parents	species
SPAC1002.01	mrx11	mitochondrial expression network (MIOREX) component Mrx11	SPAC1610.05		so:0001217	ncbitaxon:4896
SPAC1002.02	pom34	nucleoporin Pom34	mug31		so:0001217	ncbitaxon:4896
SPAC1002.03c	gls2	glucosidase II alpha subunit Gls2			so:0001217	ncbitaxon:4896
SPAC1002.04c	taf11	transcription factor TFIID complex subunit Taf11			so:0001217	ncbitaxon:4896
SPAC1002.05c	jmj2	histone demethylase Jmj2	kdm5		so:0001217	ncbitaxon:4896
SPAC1002.06c	bqt2	bouquet formation protein Bqt2	mug18|rec23		so:0001217	ncbitaxon:4896
SPAC1002.07c		D-amino acid N-acetyltransferase	ats1		so:0001217	ncbitaxon:4896
SPAC1002.08c	mtf1	mitochondrial RNA polymerase specificity factor, predicted rRNA methyltransferase Mtf1			so:0001217	ncbitaxon:4896
SPAC1002.09c	dld1	mitochondrial dihydrolipoamide dehydrogenase (e3 component of oxoglutarate dehydrogenase complex) Dld1	dldh		so:0001217	ncbitaxon:4896
SPAC1002.10c	sgt1	snRNP binding protein Sgt1			so:0001217	ncbitaxon:4896
SPAC1002.11	gaa1	GPI-anchor transamidase complex subunit Gaa1			so:0001217	ncbitaxon:4896
SPAC1002.12c	ssd1	succinate-semialdehyde dehydrogenase [NAD(P)+] Ssd1			so:0001217	ncbitaxon:4896
SPAC1002.13c	psu1	cell wall beta-glucosidase Psu1			so:0001217	ncbitaxon:4896
SPAC1002.14	itt1	ubiquitin-protein ligase E3 involved in cytoplasmic translational termination			so:0001217	ncbitaxon:4896
SPAC1002.15c	med6	mediator complex subunit Med6	pmc5		so:0001217	ncbitaxon:4896
SPAC1002.16c	tna1	plasma membrane carboxylic acid transmembrane transporter Tna1			so:0001217	ncbitaxon:4896
SPAC1002.17c	urg2	uracil phosphoribosyltransferase			so:0001217	ncbitaxon:4896
SPAC1002.18	urg3	DUF1688 family fungal conserved protein, implicated in uracil or riboflavin metabolism			so:0001217	ncbitaxon:4896
SPAC1002.19	urg1	GTP cyclohydrolase II Urg1			so:0001217	ncbitaxon:4896
SPAC1002.20		dubious			so:0001217	ncbitaxon:4896
SPAC1006.01	psp3	vacuolar serine protease Psp3			so:0001217	ncbitaxon:4896
SPAC1006.02	asa1	TTT co-chaperone complex, WD repeat subunit Asa1			so:0001217	ncbitaxon:4896
SPAC1006.03c	red1	MTREC (exosome adaptor) complex subunit Red1	iss3		so:0001217	ncbitaxon:4896
SPAC1006.04c	mcp3	Schizosaccharomyces specific protein Mcp3	mug7		so:0001217	ncbitaxon:4896
SPAC1006.05c	och1	Golgi alpha-1,6-mannosyltransferase Och1			so:0001217	ncbitaxon:4896
SPAC1006.06	rgf2	RhoGEF for Rho1 Rgf2			so:0001217	ncbitaxon:4896
SPAC1006.07	tif1	translation initiation factor eIF4A tif1			so:0001217	ncbitaxon:4896
SPAC1006.08	etd1	Spg1-binding protein Etd1			so:0001217	ncbitaxon:4896
SPAC1006.09	win1	MAP kinase kinase kinase Win1	SPAC1250.06c|SPAPJ730.01		so:0001217	ncbitaxon:4896
SPAC1039.01		plasma membrane amino acid transmembrane transporter family, related to 7-keto 8-aminopelargonic acid transporter			so:0001217	ncbitaxon:4896
SPAC1039.02	efn2	extracellular 5'-nucleotidase, human NT5E family Efn2			so:0001217	ncbitaxon:4896
SPAC1039.03		esterase/lipase, implicated in cellular detoxification			so:0001217	ncbitaxon:4896
SPAC1039.04		plasma membrane carboxylic acid transmembrane transporter			so:0001217	ncbitaxon:4896
SPAC1039.05c	klf1	DNA-binding transcription factor, zf-fungal binuclear cluster type Klf1			so:0001217	ncbitaxon:4896
SPAC1039.06		D-serine ammonia-lyase activity			so:0001217	ncbitaxon:4896
SPAC1039.07c		aminotransferase class-III, possible transaminase, unknown specificity, implicated in amino acid or cofactor metabolism			so:0001217	ncbitaxon:4896
SPAC1039.08		serine O-acetyltransferase			so:0001217	ncbitaxon:4896
SPAC1039.09	isp5	plasma membrane amino acid transmembrane transporter Isp5			so:0001217	ncbitaxon:4896
SPAC1039.10	mmf2	mitochondrial matrix protein, YjgF family protein Mmf2, reactive intermediate imine deaminase A homolog	SPAC922.01|hpm1		so:0001217	ncbitaxon:4896
SPAC1039.11c	gto1	alpha-glucosidase	SPAC922.02c		so:0001217	ncbitaxon:4896
SPAC105.01c	kha1	plasma membrane potassium ion/proton antiporter Kha1			so:0001217	ncbitaxon:4896
SPAC105.02c	ank1	ankyrin repeat protein Ank1			so:0001217	ncbitaxon:4896
SPAC105.03c	dal81	DNA-binding transcription factor			so:0001217	ncbitaxon:4896
SPAC1071.01c	pta1	mRNA cleavage and polyadenylation specificity factor complex, symplekin scaffold subunit Pta1	SPAC4H3.15c		so:0001217	ncbitaxon:4896
SPAC1071.02	mms19	CIA machinery iron sulphur cluster to apoprotein adaptor Mms19			so:0001217	ncbitaxon:4896
SPAC1071.03c	sil1	nucleotide exchange factor for the ER lumenal Hsp70 chaperone, Sil1			so:0001217	ncbitaxon:4896
SPAC1071.04c	spc2	signal peptidase subunit Spc2			so:0001217	ncbitaxon:4896
SPAC1071.05	hpm1	ribosome methytransferase involved in ribosome assembly Hpm1			so:0001217	ncbitaxon:4896
SPAC1071.06	arp9	SWI/SNF and RSC complex subunit Arp9			so:0001217	ncbitaxon:4896
SPAC1071.07c	rps1502	40S ribosomal protein S15	rps15|rps15-2		so:0001217	ncbitaxon:4896
SPAC1071.08	rpp203	60S acidic ribosomal protein A2	rla6|rpa2|rpp2-3		so:0001217	ncbitaxon:4896
SPAC1071.09c	djc9	histones H3-H4 binding DNAJ domain protein, DNAJC9 family, Djc9			so:0001217	ncbitaxon:4896
SPAC1071.10c	pma1	plasma membrane P-type proton exporting ATPase, P3-type Pma1			so:0001217	ncbitaxon:4896
SPAC1071.11	coq12	NAD reductase Coq12			so:0001217	ncbitaxon:4896
SPAC1071.12c	stp1	protein tyrosine phosphatase Stp1, unknown biological role	SPAC926.01c		so:0001217	ncbitaxon:4896
SPAC1071.13		Schizosaccharomyces pombe specific protein, predicted KOW-SH3 superfamily member			so:0001217	ncbitaxon:4896
SPAC1093.01	ppr5	mitochondrial PPR repeat protein Ppr5	SPAC12B10.18		so:0001217	ncbitaxon:4896
SPAC1093.02	pdx3	pyridoxamine 5'-phosphate oxidase Pdx3			so:0001217	ncbitaxon:4896
SPAC1093.03	fig4	inositol polyphosphate phosphatase Fig4			so:0001217	ncbitaxon:4896
SPAC1093.04c	cca1	CTP 3'-tRNA nucleotidyltransferase Cca1			so:0001217	ncbitaxon:4896
SPAC1093.05	hca4	ATP-dependent RNA helicase Hca4			so:0001217	ncbitaxon:4896
SPAC1093.06c	dhc1	dynein heavy chain, minus-end directed microtubule motor Dhc1	SPAC30C2.01c		so:0001217	ncbitaxon:4896
SPAC1093.07		dubious			so:0001217	ncbitaxon:4896
SPAC10F6.01c	sir1	sulfite reductase beta subunit Sir1	SPAC4C5.05c		so:0001217	ncbitaxon:4896
SPAC10F6.02c	prp22	ATP-dependent RNA helicase, spliceosomal Prp22			so:0001217	ncbitaxon:4896
SPAC10F6.03c	cts1	CTP synthase Cts1			so:0001217	ncbitaxon:4896
SPAC10F6.04	ats1	RCC domain protein Ats1			so:0001217	ncbitaxon:4896
SPAC10F6.05c	ubc6	ubiquitin conjugating enzyme E2 Ubc6			so:0001217	ncbitaxon:4896
SPAC10F6.06	vip1	RNA-binding protein Vip1			so:0001217	ncbitaxon:4896
SPAC10F6.07c	mug94	Schizosaccharomyces pombe specific protein Mug94			so:0001217	ncbitaxon:4896
SPAC10F6.08c	nht1	Ino80 complex HMG box subunit Nht1	hap1|nhp10|nht10		so:0001217	ncbitaxon:4896
SPAC10F6.09c	psm3	mitotic/meiotic cohesin complex ATPase subunit Psm3/Smc3	smc3		so:0001217	ncbitaxon:4896
SPAC10F6.10	rio1	protein kinase, RIO family Rio1			so:0001217	ncbitaxon:4896
SPAC10F6.11c	atg17	autophagy associated protein kinase activator Atg17			so:0001217	ncbitaxon:4896
SPAC10F6.12c	mam4	protein-S isoprenylcysteine O-methyltransferase Mam4			so:0001217	ncbitaxon:4896
SPAC10F6.13c	caa1	cytoplasmic aspartate aminotransferase Caa1	aat2		so:0001217	ncbitaxon:4896
