text	curie	name	predicate	source
SPAC1610.05	pombase:SPAC1002.01	mrx11	oboInOwl:hasRelatedSynonym	pombase
mrx11	pombase:SPAC1002.01	mrx11	rdfs:label	pombase
mug31	pombase:SPAC1002.02	pom34	oboInOwl:hasRelatedSynonym	pombase
pom34	pombase:SPAC1002.02	pom34	rdfs:label	pombase
gls2	pombase:SPAC1002.03c	gls2	rdfs:label	pombase
taf11	pombase:SPAC1002.04c	taf11	rdfs:label	pombase
kdm5	pombase:SPAC1002.05c	jmj2	oboInOwl:hasRelatedSynonym	pombase
jmj2	pombase:SPAC1002.05c	jmj2	rdfs:label	pombase
mug18	pombase:SPAC1002.06c	bqt2	oboInOwl:hasRelatedSynonym	pombase
rec23	pombase:SPAC1002.06c	bqt2	oboInOwl:hasRelatedSynonym	pombase
bqt2	pombase:SPAC1002.06c	bqt2	rdfs:label	pombase
ats1	pombase:SPAC1002.07c		oboInOwl:hasRelatedSynonym	pombase
mtf1	pombase:SPAC1002.08c	mtf1	rdfs:label	pombase
dldh	pombase:SPAC1002.09c	dld1	oboInOwl:hasRelatedSynonym	pombase
dld1	pombase:SPAC1002.09c	dld1	rdfs:label	pombase
sgt1	pombase:SPAC1002.10c	sgt1	rdfs:label	pombase
gaa1	pombase:SPAC1002.11	gaa1	rdfs:label	pombase
ssd1	pombase:SPAC1002.12c	ssd1	rdfs:label	pombase
psu1	pombase:SPAC1002.13c	psu1	rdfs:label	pombase
itt1	pombase:SPAC1002.14	itt1	rdfs:label	pombase
pmc5	pombase:SPAC1002.15c	med6	oboInOwl:hasRelatedSynonym	pombase
med6	pombase:SPAC1002.15c	med6	rdfs:label	pombase
tna1	pombase:SPAC1002.16c	tna1	rdfs:label	pombase
urg2	pombase:SPAC1002.17c	urg2	rdfs:label	pombase
urg3	pombase:SPAC1002.18	urg3	rdfs:label	pombase
urg1	pombase:SPAC1002.19	urg1	rdfs:label	pombase
psp3	pombase:SPAC1006.01	psp3	rdfs:label	pombase
asa1	pombase:SPAC1006.02	asa1	rdfs:label	pombase
iss3	pombase:SPAC1006.03c	red1	oboInOwl:hasRelatedSynonym	pombase
red1	pombase:SPAC1006.03c	red1	rdfs:label	pombase
mug7	pombase:SPAC1006.04c	mcp3	oboInOwl:hasRelatedSynonym	pombase
mcp3	pombase:SPAC1006.04c	mcp3	rdfs:label	pombase
och1	pombase:SPAC1006.05c	och1	rdfs:label	pombase
rgf2	pombase:SPAC1006.06	rgf2	rdfs:label	pombase
tif1	pombase:SPAC1006.07	tif1	rdfs:label	pombase
etd1	pombase:SPAC1006.08	etd1	rdfs:label	pombase
SPAC1250.06c	pombase:SPAC1006.09	win1	oboInOwl:hasRelatedSynonym	pombase
SPAPJ730.01	pombase:SPAC1006.09	win1	oboInOwl:hasRelatedSynonym	pombase
win1	pombase:SPAC1006.09	win1	rdfs:label	pombase
efn2	pombase:SPAC1039.02	efn2	rdfs:label	pombase
klf1	pombase:SPAC1039.05c	klf1	rdfs:label	pombase
isp5	pombase:SPAC1039.09	isp5	rdfs:label	pombase
hpm1	pombase:SPAC1039.10	mmf2	oboInOwl:hasRelatedSynonym	pombase
SPAC922.01	pombase:SPAC1039.10	mmf2	oboInOwl:hasRelatedSynonym	pombase
mmf2	pombase:SPAC1039.10	mmf2	rdfs:label	pombase
SPAC922.02c	pombase:SPAC1039.11c	gto1	oboInOwl:hasRelatedSynonym	pombase
gto1	pombase:SPAC1039.11c	gto1	rdfs:label	pombase
kha1	pombase:SPAC105.01c	kha1	rdfs:label	pombase
ank1	pombase:SPAC105.02c	ank1	rdfs:label	pombase
dal81	pombase:SPAC105.03c	dal81	rdfs:label	pombase
SPAC4H3.15c	pombase:SPAC1071.01c	pta1	oboInOwl:hasRelatedSynonym	pombase
pta1	pombase:SPAC1071.01c	pta1	rdfs:label	pombase
mms19	pombase:SPAC1071.02	mms19	rdfs:label	pombase
sil1	pombase:SPAC1071.03c	sil1	rdfs:label	pombase
spc2	pombase:SPAC1071.04c	spc2	rdfs:label	pombase
hpm1	pombase:SPAC1071.05	hpm1	rdfs:label	pombase
arp9	pombase:SPAC1071.06	arp9	rdfs:label	pombase
rps15-2	pombase:SPAC1071.07c	rps1502	oboInOwl:hasRelatedSynonym	pombase
rps15	pombase:SPAC1071.07c	rps1502	oboInOwl:hasRelatedSynonym	pombase
rps1502	pombase:SPAC1071.07c	rps1502	rdfs:label	pombase
rpp2-3	pombase:SPAC1071.08	rpp203	oboInOwl:hasRelatedSynonym	pombase
rla6	pombase:SPAC1071.08	rpp203	oboInOwl:hasRelatedSynonym	pombase
rpa2	pombase:SPAC1071.08	rpp203	oboInOwl:hasRelatedSynonym	pombase
rpp203	pombase:SPAC1071.08	rpp203	rdfs:label	pombase
djc9	pombase:SPAC1071.09c	djc9	rdfs:label	pombase
pma1	pombase:SPAC1071.10c	pma1	rdfs:label	pombase
coq12	pombase:SPAC1071.11	coq12	rdfs:label	pombase
SPAC926.01c	pombase:SPAC1071.12c	stp1	oboInOwl:hasRelatedSynonym	pombase
stp1	pombase:SPAC1071.12c	stp1	rdfs:label	pombase
SPAC12B10.18	pombase:SPAC1093.01	ppr5	oboInOwl:hasRelatedSynonym	pombase
ppr5	pombase:SPAC1093.01	ppr5	rdfs:label	pombase
pdx3	pombase:SPAC1093.02	pdx3	rdfs:label	pombase
fig4	pombase:SPAC1093.03	fig4	rdfs:label	pombase
cca1	pombase:SPAC1093.04c	cca1	rdfs:label	pombase
hca4	pombase:SPAC1093.05	hca4	rdfs:label	pombase
SPAC30C2.01c	pombase:SPAC1093.06c	dhc1	oboInOwl:hasRelatedSynonym	pombase
dhc1	pombase:SPAC1093.06c	dhc1	rdfs:label	pombase
SPAC4C5.05c	pombase:SPAC10F6.01c	sir1	oboInOwl:hasRelatedSynonym	pombase
sir1	pombase:SPAC10F6.01c	sir1	rdfs:label	pombase
prp22	pombase:SPAC10F6.02c	prp22	rdfs:label	pombase
cts1	pombase:SPAC10F6.03c	cts1	rdfs:label	pombase
ats1	pombase:SPAC10F6.04	ats1	rdfs:label	pombase
ubc6	pombase:SPAC10F6.05c	ubc6	rdfs:label	pombase
vip1	pombase:SPAC10F6.06	vip1	rdfs:label	pombase
mug94	pombase:SPAC10F6.07c	mug94	rdfs:label	pombase
hap1	pombase:SPAC10F6.08c	nht1	oboInOwl:hasRelatedSynonym	pombase
nhp10	pombase:SPAC10F6.08c	nht1	oboInOwl:hasRelatedSynonym	pombase
nht10	pombase:SPAC10F6.08c	nht1	oboInOwl:hasRelatedSynonym	pombase
nht1	pombase:SPAC10F6.08c	nht1	rdfs:label	pombase
smc3	pombase:SPAC10F6.09c	psm3	oboInOwl:hasRelatedSynonym	pombase
psm3	pombase:SPAC10F6.09c	psm3	rdfs:label	pombase
rio1	pombase:SPAC10F6.10	rio1	rdfs:label	pombase
atg17	pombase:SPAC10F6.11c	atg17	rdfs:label	pombase
mam4	pombase:SPAC10F6.12c	mam4	rdfs:label	pombase
aat2	pombase:SPAC10F6.13c	caa1	oboInOwl:hasRelatedSynonym	pombase
caa1	pombase:SPAC10F6.13c	caa1	rdfs:label	pombase
mug134	pombase:SPAC10F6.16	igo1	oboInOwl:hasRelatedSynonym	pombase
igo1	pombase:SPAC10F6.16	igo1	rdfs:label	pombase
SPAC56E4.01c	pombase:SPAC10F6.17c	ptc5	oboInOwl:hasRelatedSynonym	pombase
ptc5	pombase:SPAC10F6.17c	ptc5	rdfs:label	pombase
SPAC140.05	pombase:SPAC110.01	ppk1	oboInOwl:hasRelatedSynonym	pombase
ppk1	pombase:SPAC110.01	ppk1	rdfs:label	pombase
pds5	pombase:SPAC110.02	pds5	rdfs:label	pombase
cdc42	pombase:SPAC110.03	cdc42	rdfs:label	pombase
ssp1	pombase:SPAC110.04c	pss1	oboInOwl:hasRelatedSynonym	pombase
SPAP14E8.01c	pombase:SPAC110.04c	pss1	oboInOwl:hasRelatedSynonym	pombase
pss1	pombase:SPAC110.04c	pss1	rdfs:label	pombase
SPAC110.05	pombase:SPAC110.06		oboInOwl:hasRelatedSynonym	pombase
SPAC17G6.18	pombase:SPAC1142.01	rqc1	oboInOwl:hasRelatedSynonym	pombase
rqc1	pombase:SPAC1142.01	rqc1	rdfs:label	pombase
SPAC17G6.19c	pombase:SPAC1142.02c	sgt2	oboInOwl:hasRelatedSynonym	pombase
sgt2	pombase:SPAC1142.02c	sgt2	rdfs:label	pombase
SPAC17G6.20c	pombase:SPAC1142.03c	swi2	oboInOwl:hasRelatedSynonym	pombase
swi2	pombase:SPAC1142.03c	swi2	rdfs:label	pombase
noc2	pombase:SPAC1142.04	noc201	oboInOwl:hasRelatedSynonym	pombase
noc201	pombase:SPAC1142.04	noc201	rdfs:label	pombase
ctr5	pombase:SPAC1142.05	ctr5	rdfs:label	pombase
get3	pombase:SPAC1142.06	get3	rdfs:label	pombase
snf7	pombase:SPAC1142.07c	vps32	oboInOwl:hasRelatedSynonym	pombase
vps32	pombase:SPAC1142.07c	vps32	rdfs:label	pombase
SPAC8C9.01	pombase:SPAC1142.08	fhl1	oboInOwl:hasRelatedSynonym	pombase
fhl1	pombase:SPAC1142.08	fhl1	rdfs:label	pombase
SPAC8C9.02	pombase:SPAC1142.09		oboInOwl:hasRelatedSynonym	pombase
mfs2	pombase:SPAC11D3.05	mfs2	rdfs:label	pombase
toe4	pombase:SPAC11D3.07c	toe4	rdfs:label	pombase
agm1	pombase:SPAC11D3.09	agm1	rdfs:label	pombase
