identifier	name	definition	synonyms	alts	parents	species
R-BTA-1059683	Interleukin-6 signaling				reactome:R-BTA-6783589	
R-BTA-109581	Apoptosis				reactome:R-BTA-5357801	
R-BTA-109582	Hemostasis					
R-BTA-109606	Intrinsic Pathway for Apoptosis				reactome:R-BTA-109581	
R-BTA-109703	PKB-mediated events				reactome:R-BTA-109704	
R-BTA-109704	PI3K Cascade				reactome:R-BTA-112399	
R-BTA-110056	MAPK3 (ERK1) activation				reactome:R-BTA-112409	
R-BTA-110312	Translesion synthesis by REV1				reactome:R-BTA-110313	
R-BTA-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template				reactome:R-BTA-73893	
R-BTA-110314	Recognition of DNA damage by PCNA-containing replication complex				reactome:R-BTA-73893	
R-BTA-110320	Translesion Synthesis by POLH				reactome:R-BTA-110313	
R-BTA-110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine				reactome:R-BTA-73928	
R-BTA-110329	Cleavage of the damaged pyrimidine 				reactome:R-BTA-73928	
R-BTA-110330	Recognition and association of DNA glycosylase with site containing an affected purine				reactome:R-BTA-73927	
R-BTA-110331	Cleavage of the damaged purine				reactome:R-BTA-73927	
R-BTA-110357	Displacement of DNA glycosylase by APEX1				reactome:R-BTA-73933	
R-BTA-110362	POLB-Dependent Long Patch Base Excision Repair				reactome:R-BTA-110373	
R-BTA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway				reactome:R-BTA-73933	
R-BTA-110381	Resolution of AP sites via the single-nucleotide replacement pathway				reactome:R-BTA-73933	
R-BTA-111367	SLBP independent Processing of Histone Pre-mRNAs				reactome:R-BTA-75067	
R-BTA-111446	Activation of BIM and translocation to mitochondria 				reactome:R-BTA-114452	
R-BTA-111447	Activation of BAD and translocation to mitochondria 				reactome:R-BTA-114452	
R-BTA-111448	Activation of NOXA and translocation to mitochondria				reactome:R-BTA-114452	
R-BTA-111452	Activation and oligomerization of BAK protein				reactome:R-BTA-109606	
R-BTA-111453	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members				reactome:R-BTA-109606	
R-BTA-111457	Release of apoptotic factors from the mitochondria				reactome:R-BTA-111471	
R-BTA-111458	Formation of apoptosome				reactome:R-BTA-111461	
R-BTA-111459	Activation of caspases through apoptosome-mediated cleavage				reactome:R-BTA-111461	
R-BTA-111461	Cytochrome c-mediated apoptotic response				reactome:R-BTA-111471	
R-BTA-111463	SMAC (DIABLO) binds to IAPs 				reactome:R-BTA-111469	
R-BTA-111464	SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 				reactome:R-BTA-111469	
R-BTA-111465	Apoptotic cleavage of cellular proteins				reactome:R-BTA-75153	
R-BTA-111469	SMAC, XIAP-regulated apoptotic response				reactome:R-BTA-111471	
R-BTA-111471	Apoptotic factor-mediated response				reactome:R-BTA-109606	
R-BTA-111885	Opioid Signalling				reactome:R-BTA-418594	
R-BTA-111931	PKA-mediated phosphorylation of CREB				reactome:R-BTA-111933	
R-BTA-111932	CaMK IV-mediated phosphorylation of CREB				reactome:R-BTA-111933	
R-BTA-111933	Calmodulin induced events				reactome:R-BTA-111997	
R-BTA-111957	Cam-PDE 1 activation				reactome:R-BTA-111933	
R-BTA-111995	phospho-PLA2 pathway				reactome:R-BTA-111996	
R-BTA-111996	Ca-dependent events				reactome:R-BTA-112043	
R-BTA-111997	CaM pathway				reactome:R-BTA-111996|reactome:R-BTA-1489509	
R-BTA-112040	G-protein mediated events				reactome:R-BTA-111885	
R-BTA-112043	PLC beta mediated events				reactome:R-BTA-112040	
R-BTA-112303	Electric Transmission Across Gap Junctions				reactome:R-BTA-112307	
R-BTA-112307	Transmission across Electrical Synapses 				reactome:R-BTA-112316	
R-BTA-112308	Presynaptic depolarization and calcium channel opening				reactome:R-BTA-112315	
R-BTA-112310	Neurotransmitter release cycle				reactome:R-BTA-112315	
R-BTA-112311	Neurotransmitter clearance				reactome:R-BTA-112315	
R-BTA-112313	Neurotransmitter uptake and metabolism In glial cells				reactome:R-BTA-112315	
R-BTA-112314	Neurotransmitter receptors and postsynaptic signal transmission				reactome:R-BTA-112315	
R-BTA-112315	Transmission across Chemical Synapses				reactome:R-BTA-112316	
R-BTA-112316	Neuronal System					
R-BTA-112382	Formation of RNA Pol II elongation complex 				reactome:R-BTA-75955	
R-BTA-112399	IRS-mediated signalling				reactome:R-BTA-2428928|reactome:R-BTA-74751	
R-BTA-112409	RAF-independent MAPK1/3 activation				reactome:R-BTA-5684996	
R-BTA-112411	MAPK1 (ERK2) activation				reactome:R-BTA-112409	
R-BTA-112412	SOS-mediated signalling				reactome:R-BTA-112399	
R-BTA-113418	Formation of the Early Elongation Complex				reactome:R-BTA-75955	
R-BTA-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1				reactome:R-BTA-113510	
R-BTA-113510	E2F mediated regulation of DNA replication				reactome:R-BTA-69206	
R-BTA-114294	Activation, translocation and oligomerization of BAX				reactome:R-BTA-109606	
R-BTA-114452	Activation of BH3-only proteins				reactome:R-BTA-109606	
R-BTA-114508	Effects of PIP2 hydrolysis				reactome:R-BTA-416476|reactome:R-BTA-76002	
R-BTA-114516	Disinhibition of SNARE formation				reactome:R-BTA-76005	
R-BTA-114604	GPVI-mediated activation cascade				reactome:R-BTA-76002	
R-BTA-114608	Platelet degranulation 				reactome:R-BTA-76005	
R-BTA-1168372	Downstream signaling events of B Cell Receptor (BCR)				reactome:R-BTA-983705	
R-BTA-1169091	Activation of NF-kappaB in B cells				reactome:R-BTA-1168372	
R-BTA-1169092	Activation of RAS in B cells				reactome:R-BTA-1168372	
R-BTA-1169408	ISG15 antiviral mechanism				reactome:R-BTA-1169410	
R-BTA-1169410	Antiviral mechanism by IFN-stimulated genes				reactome:R-BTA-913531	
R-BTA-1181150	Signaling by NODAL				reactome:R-BTA-1266738	
R-BTA-1187000	Fertilization				reactome:R-BTA-1474165	
R-BTA-1222556	ROS and RNS production in phagocytes				reactome:R-BTA-168249	
R-BTA-1227986	Signaling by ERBB2				reactome:R-BTA-9006934	
