text	curie	name	predicate	source
Interleukin-6 signaling	reactome:R-BTA-1059683	Interleukin-6 signaling	rdfs:label	reactome
Apoptosis	reactome:R-BTA-109581	Apoptosis	rdfs:label	reactome
Hemostasis	reactome:R-BTA-109582	Hemostasis	rdfs:label	reactome
Intrinsic Pathway for Apoptosis	reactome:R-BTA-109606	Intrinsic Pathway for Apoptosis	rdfs:label	reactome
PKB-mediated events	reactome:R-BTA-109703	PKB-mediated events	rdfs:label	reactome
PI3K Cascade	reactome:R-BTA-109704	PI3K Cascade	rdfs:label	reactome
MAPK3 (ERK1) activation	reactome:R-BTA-110056	MAPK3 (ERK1) activation	rdfs:label	reactome
Translesion synthesis by REV1	reactome:R-BTA-110312	Translesion synthesis by REV1	rdfs:label	reactome
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	reactome:R-BTA-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	rdfs:label	reactome
Recognition of DNA damage by PCNA-containing replication complex	reactome:R-BTA-110314	Recognition of DNA damage by PCNA-containing replication complex	rdfs:label	reactome
Translesion Synthesis by POLH	reactome:R-BTA-110320	Translesion Synthesis by POLH	rdfs:label	reactome
Recognition and association of DNA glycosylase with site containing an affected pyrimidine	reactome:R-BTA-110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	rdfs:label	reactome
Cleavage of the damaged pyrimidine 	reactome:R-BTA-110329	Cleavage of the damaged pyrimidine 	rdfs:label	reactome
Recognition and association of DNA glycosylase with site containing an affected purine	reactome:R-BTA-110330	Recognition and association of DNA glycosylase with site containing an affected purine	rdfs:label	reactome
Cleavage of the damaged purine	reactome:R-BTA-110331	Cleavage of the damaged purine	rdfs:label	reactome
Displacement of DNA glycosylase by APEX1	reactome:R-BTA-110357	Displacement of DNA glycosylase by APEX1	rdfs:label	reactome
POLB-Dependent Long Patch Base Excision Repair	reactome:R-BTA-110362	POLB-Dependent Long Patch Base Excision Repair	rdfs:label	reactome
Resolution of AP sites via the multiple-nucleotide patch replacement pathway	reactome:R-BTA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	rdfs:label	reactome
Resolution of AP sites via the single-nucleotide replacement pathway	reactome:R-BTA-110381	Resolution of AP sites via the single-nucleotide replacement pathway	rdfs:label	reactome
SLBP independent Processing of Histone Pre-mRNAs	reactome:R-BTA-111367	SLBP independent Processing of Histone Pre-mRNAs	rdfs:label	reactome
Activation of BIM and translocation to mitochondria 	reactome:R-BTA-111446	Activation of BIM and translocation to mitochondria 	rdfs:label	reactome
Activation of BAD and translocation to mitochondria 	reactome:R-BTA-111447	Activation of BAD and translocation to mitochondria 	rdfs:label	reactome
Activation of NOXA and translocation to mitochondria	reactome:R-BTA-111448	Activation of NOXA and translocation to mitochondria	rdfs:label	reactome
Activation and oligomerization of BAK protein	reactome:R-BTA-111452	Activation and oligomerization of BAK protein	rdfs:label	reactome
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	reactome:R-BTA-111453	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	rdfs:label	reactome
Release of apoptotic factors from the mitochondria	reactome:R-BTA-111457	Release of apoptotic factors from the mitochondria	rdfs:label	reactome
Formation of apoptosome	reactome:R-BTA-111458	Formation of apoptosome	rdfs:label	reactome
Activation of caspases through apoptosome-mediated cleavage	reactome:R-BTA-111459	Activation of caspases through apoptosome-mediated cleavage	rdfs:label	reactome
Cytochrome c-mediated apoptotic response	reactome:R-BTA-111461	Cytochrome c-mediated apoptotic response	rdfs:label	reactome
SMAC (DIABLO) binds to IAPs 	reactome:R-BTA-111463	SMAC (DIABLO) binds to IAPs 	rdfs:label	reactome
SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 	reactome:R-BTA-111464	SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 	rdfs:label	reactome
Apoptotic cleavage of cellular proteins	reactome:R-BTA-111465	Apoptotic cleavage of cellular proteins	rdfs:label	reactome
SMAC, XIAP-regulated apoptotic response	reactome:R-BTA-111469	SMAC, XIAP-regulated apoptotic response	rdfs:label	reactome
