identifier	name	definition	synonyms	alts	parents	species
10000	H2O + pentanamide = NH4(+) + pentanoate					
10001					rhea:10000	
10002					rhea:10000	
10003					rhea:10000	
10004	benzyl isothiocyanate = benzyl thiocyanate					
10005					rhea:10004	
10006					rhea:10004	
10007					rhea:10004	
10008	[protein]-dithiol + a hydroperoxide = [protein]-disulfide + an alcohol + H2O					
10009					rhea:10008	
10010					rhea:10008	
10011					rhea:10008	
10012	(R)-6-hydroxynicotine + H2O + O2 = 6-hydroxypseudooxynicotine + H2O2					
10013					rhea:10012	
10014					rhea:10012	
10015					rhea:10012	
10016	H2O + O-sinapoylcholine = (E)-sinapate + choline + H(+)					
10017					rhea:10016	
10018					rhea:10016	
10019					rhea:10016	
10020	H2O + L-saccharopine + NADP(+) = (S)-2-amino-6-oxohexanoate + H(+) + L-glutamate + NADPH					
10021					rhea:10020	
10022					rhea:10020	
10023					rhea:10020	
10024	L-lysyl-[histone] + S-adenosyl-L-methionine = H(+) + N(6)-methyl-L-lysyl-[histone] + S-adenosyl-L-homocysteine				rhea:51736	
10025					rhea:10024|rhea:51737	
10026					rhea:10024|rhea:51738	
10027					rhea:10024|rhea:51739	
10028	D-glutamate + H2O + O2 = 2-oxoglutarate + H2O2 + NH4(+)				rhea:21816	
10029					rhea:10028|rhea:21817	
10030					rhea:10028|rhea:21818	
10031					rhea:10028|rhea:21819	
10032	[protein]-C-terminal-L-glutamine + H2O = [protein]-C-terminal-L-glutamate + NH4(+)					
10033					rhea:10032	
10034					rhea:10032	
10035					rhea:10032	
10036	4-hydroxy-3-methoxy-benzenemethanol + O2 = H2O2 + vanillin					
10037					rhea:10036	
10038					rhea:10036	
10039					rhea:10036	
10040	adenosine 3',5'-bisphosphate + H2O = AMP + phosphate				rhea:43532	
10041					rhea:10040|rhea:43533	
10042					rhea:10040|rhea:43534	
10043					rhea:10040|rhea:43535	
10044	cyclohexanol + NAD(+) = cyclohexanone + H(+) + NADH				rhea:10740	
10045					rhea:10044|rhea:10741	
10046					rhea:10044|rhea:10742	
10047					rhea:10044|rhea:10743	
10048	methanethiol + O-acetyl-L-homoserine = acetate + H(+) + L-methionine					
10049					rhea:10048	
10050					rhea:10048	
10051					rhea:10048	
10052	(R)-2-hydroxy-4-methylpentanoate + NAD(+) = 4-methyl-2-oxopentanoate + H(+) + NADH				rhea:35643	
10053					rhea:10052|rhea:35644	
10054					rhea:10052|rhea:35645	
10055					rhea:10052|rhea:35646	
10056	(3S)-3-aminobutanoyl-CoA = (2E)-butenoyl-CoA + NH4(+)					
10057					rhea:10056	
10058					rhea:10056	
10059					rhea:10056	
10060	acetyl-CoA + D-tryptophan = CoA + H(+) + N-acetyl-D-tryptophan				rhea:20704	
10061					rhea:10060|rhea:20705	
10062					rhea:10060|rhea:20706	
10063					rhea:10060|rhea:20707	
10064	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + D-alanine + H2O = (6S)-5,6,7,8-tetrahydrofolate + 2-methylserine					
10065					rhea:10064	
10066					rhea:10064	
10067					rhea:10064	
10068	4-O-[(D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate + n UDP-alpha-D-glucose = 4-O-[(2-beta-D-glucosyl-D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate + n H(+) + n UDP					
10069					rhea:10068	
10070					rhea:10068	
10071					rhea:10068	
10072	N,N-dimethylglycine + S-adenosyl-L-methionine = glycine betaine + H(+) + S-adenosyl-L-homocysteine					
10073					rhea:10072	
10074					rhea:10072	
10075					rhea:10072	
10076	H2O + lactose = beta-D-galactose + D-glucose					
10077					rhea:10076	
10078					rhea:10076	
10079					rhea:10076	
10080	dihydrophloroglucinol + NADP(+) = 1,3,5-trihydroxybenzene + NADPH					
10081					rhea:10080	
10082					rhea:10080	
10083					rhea:10080	
10084	3,4-dihydroxybenzoate + O2 = 3-carboxy-cis,cis-muconate + 2 H(+)					
10085					rhea:10084	
10086					rhea:10084	
10087					rhea:10084	
10088	sucrose + UDP-alpha-D-galactose = 6(F)-alpha-D-galactosylsucrose + H(+) + UDP					
10089					rhea:10088	
10090					rhea:10088	
10091					rhea:10088	
10092	a 2'-deoxyribonucleoside 3'-phosphate + H2O = a 2'-deoxyribonucleoside + phosphate				rhea:15017	
10093					rhea:10092|rhea:15018	
10094					rhea:10092|rhea:15019	
10095					rhea:10092|rhea:15020	
10096	a fatty acyl-[ACP] + S-adenosyl-L-methionine = an N-acyl-L-homoserine lactone + H(+) + holo-[ACP] + S-methyl-5'-thioadenosine					
10097					rhea:10096	
10098					rhea:10096	
10099					rhea:10096	
10100	a sterol ester + H2O = a fatty acid + a sterol + H(+)					
10101					rhea:10100	
10102					rhea:10100	
10103					rhea:10100	
10104	2-oxoglutarate + gibberellin A20 + O2 = CO2 + gibberellin A1 + succinate					
10105					rhea:10104	
10106					rhea:10104	
10107					rhea:10104	
10108	(7S)-salutaridinol + NADP(+) = H(+) + NADPH + salutaridine					
10109					rhea:10108	
10110					rhea:10108	
10111					rhea:10108	
10112	L-homocysteine + L-serine = H2O + L,L-cystathionine					
10113					rhea:10112	
10114					rhea:10112	
10115					rhea:10112	
10116	6-phospho-D-gluconate + NADP(+) = CO2 + D-ribulose 5-phosphate + NADPH					
10117					rhea:10116	
10118					rhea:10116	
10119					rhea:10116	
10120	adenosine in double-stranded RNA + H(+) + H2O = inosine in double-stranded RNA + NH4(+)					
10121					rhea:10120	
10122					rhea:10120	
10123					rhea:10120	
10124	H(+) + NADPH + O2 + phenylacetone = benzyl acetate + H2O + NADP(+)					
10125					rhea:10124	
10126					rhea:10124	
10127					rhea:10124	
10128	all-trans-violaxanthin = all-trans-neoxanthin					
10129					rhea:10128	
10130					rhea:10128	
10131					rhea:10128	
10132	ATP + benzoate + CoA = AMP + benzoyl-CoA + diphosphate				rhea:24336	
10133					rhea:10132|rhea:24337	
10134					rhea:10132|rhea:24338	
10135					rhea:10132|rhea:24339	
10136	2 glyoxylate + H(+) = 2-hydroxy-3-oxopropanoate + CO2				rhea:11628	
10137					rhea:10136|rhea:11629	
10138					rhea:10136|rhea:11630	
10139					rhea:10136|rhea:11631	
10140	NADP(+) + prostaglandin F2alpha = H(+) + NADPH + prostaglandin D2				rhea:19257	
10141					rhea:10140|rhea:19258	
10142					rhea:10140|rhea:19259	
10143					rhea:10140|rhea:19260	
10144	a ribonucleoside 3'-phosphate + H2O = a ribonucleoside + phosphate				rhea:15017	
10145					rhea:10144|rhea:15018	
10146					rhea:10144|rhea:15019	
10147					rhea:10144|rhea:15020	
10148	blasticidin S + H(+) + H2O = deaminohydroxyblasticidin S + NH4(+)					
10149					rhea:10148	
10150					rhea:10148	
10151					rhea:10148	
10152	ATP + hydrogencarbonate + NH4(+) = ADP + carbamoyl phosphate + H(+) + H2O					
10153					rhea:10152	
10154					rhea:10152	
10155					rhea:10152	
10156	dihydrochelirubine + O2 + reduced [NADPH--hemoprotein reductase] = 12-hydroxydihydrochelirubine + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]					
10157					rhea:10156	
10158					rhea:10156	
10159					rhea:10156	
10160	L-iditol + NAD(+) = H(+) + keto-L-sorbose + NADH				rhea:10740	
10161					rhea:10160|rhea:10741	
10162					rhea:10160|rhea:10742	
10163					rhea:10160|rhea:10743	
10164	(2R)-2-phosphoglycerate = H2O + phosphoenolpyruvate					
10165					rhea:10164	
10166					rhea:10164	
10167					rhea:10164	
10168	15,16-dihydrobiliverdin + oxidized 2[4Fe-4S]-[ferredoxin] = biliverdin IXalpha + 2 H(+) + reduced 2[4Fe-4S]-[ferredoxin]					
10169					rhea:10168	
10170					rhea:10168	
10171					rhea:10168	
10172	(3R)-hydroxybutanoate dimer + H2O = 2 (R)-3-hydroxybutanoate + H(+)					
10173					rhea:10172	
10174					rhea:10172	
10175					rhea:10172	
10176	(2S,3R)-2-hydroxy-3-(indol-3-yl)butanoate + NAD(+) = (R)-3-(indol-3-yl)-2-oxobutanoate + H(+) + NADH				rhea:34555	
10177					rhea:10176|rhea:34556	
10178					rhea:10176|rhea:34557	
10179					rhea:10176|rhea:34558	
10180	(6S)-10-formyltetrahydrofolate + H2O + NADP(+) = (6S)-5,6,7,8-tetrahydrofolate + CO2 + H(+) + NADPH					
10181					rhea:10180	
10182					rhea:10180	
10183					rhea:10180	
10184	(4,5-dihydro-5-oxofuran-2-yl)-acetate + H2O = 3-oxoadipate + H(+)					
10185					rhea:10184	
10186					rhea:10184	
10187					rhea:10184	
10188	acetoacetyl-CoA + acetyl-CoA + H2O = (3S)-hydroxy-3-methylglutaryl-CoA + CoA + H(+)					
10189					rhea:10188	
10190					rhea:10188	
10191					rhea:10188	
10192	ATP + H2O + sulfate(out) = ADP + H(+) + phosphate + sulfate(in)					
10193					rhea:10192	
10194					rhea:10192	
10195					rhea:10192	
10196	(1R,6R)-6-hydroxy-2-succinyl-cyclohexa-2,4-diene-1-carboxylate = 2-succinylbenzoate + H2O					
10197					rhea:10196	
10198					rhea:10196	
10199					rhea:10196	
10200	butanoate + NAD(+) = (2E)-2-butenoate + H(+) + NADH					
10201					rhea:10200	
10202					rhea:10200	
10203					rhea:10200	
10204	dimethylamine + H(+) + H2O + oxidized [electron-transfer flavoprotein] = formaldehyde + methylamine + reduced [electron-transfer flavoprotein]					
10205					rhea:10204	
10206					rhea:10204	
10207					rhea:10204	
10208	an N-terminal L-alpha-aminoacyl-[protein] + L-arginyl-tRNA(Arg) = H(+) + N-terminal L-arginyl-L-amino acid-[protein] + tRNA(Arg)					
10209					rhea:10208	
10210					rhea:10208	
10211					rhea:10208	
10212	2-oxoglutarate + 5-aminopentanoate = 5-oxopentanoate + L-glutamate					
10213					rhea:10212	
10214					rhea:10212	
10215					rhea:10212	
10216	[DNA-directed RNA polymerase] + ATP = ADP + H(+) + phospho-[DNA-directed RNA polymerase]					
10217					rhea:10216	
10218					rhea:10216	
10219					rhea:10216	
10220	ATP + L-tyrosine + tRNA(Tyr) = AMP + diphosphate + H(+) + L-tyrosyl-tRNA(Tyr)					
10221					rhea:10220	
10222					rhea:10220	
10223					rhea:10220	
10224	ATP + pyridoxal = ADP + H(+) + pyridoxal 5'-phosphate					
10225					rhea:10224	
10226					rhea:10224	
10227					rhea:10224	
10228	citrate = cis-aconitate + H2O					
10229					rhea:10228	
10230					rhea:10228	
10231					rhea:10228	
10232	5,6-dihydrouridine 5'-monophosphate + diphosphate = 5,6-dihydrouracil + 5-phospho-alpha-D-ribose 1-diphosphate					
10233					rhea:10232	
10234					rhea:10232	
10235					rhea:10232	
10236	trans-2-coumarate + UDP-alpha-D-glucose = H(+) + trans-beta-D-glucosyl-2-hydroxycinnamate + UDP					
10237					rhea:10236	
10238					rhea:10236	
10239					rhea:10236	
10240	a 2,3-saturated acyl-[ACP] + NAD(+) = a (2E)-enoyl-[ACP] + H(+) + NADH					
10241					rhea:10240	
10242					rhea:10240	
10243					rhea:10240	
10244	4-fumarylacetoacetate + H2O = acetoacetate + fumarate + H(+)					
10245					rhea:10244	
10246					rhea:10244	
10247					rhea:10244	
10248	dUTP + H2O = diphosphate + dUMP + H(+)				rhea:44644	
10249					rhea:10248|rhea:44645	
10250					rhea:10248|rhea:44646	
10251					rhea:10248|rhea:44647	
10252	H(+) + hydrogen sulfide + O-phospho-L-serine = L-cysteine + phosphate					
10253					rhea:10252	
10254					rhea:10252	
10255					rhea:10252	
10256	[(1->4)-6-phospho-alpha-D-glucosyl](n) + n ATP + n H2O = [(1->4)-3,6-bisphospho-alpha-D-glucosyl](n) + n AMP + 2n H(+) + n phosphate					
10257					rhea:10256	
10258					rhea:10256	
10259					rhea:10256	
10260	ATP + H2O + Mg(2+)(out) = ADP + H(+) + Mg(2+)(in) + phosphate					
10261					rhea:10260	
10262					rhea:10260	
10263					rhea:10260	
10264	alpha-D-glucose = beta-D-glucose					
10265					rhea:10264	
10266					rhea:10264	
10267					rhea:10264	
