subject_id	object_id	predicate_id	mapping_justification
rhea:10001	metacyc.compound:PENTANAMIDASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10003	kegg.reaction:R02938	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10004	metacyc.compound:THIOCYANATE-ISOMERASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10007	kegg.reaction:R04010	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10013	metacyc.compound:R-6-HYDROXYNICOTINE-OXIDASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10015	kegg.reaction:R07170	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10017	metacyc.compound:SINAPINE-ESTERASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10019	kegg.reaction:R02381	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10022	metacyc.compound:RXN3O-127	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10023	kegg.reaction:R02315	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10027	kegg.reaction:R03938	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10029	metacyc.compound:D-GLUTAMATE-OXIDASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10031	kegg.reaction:R00279	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10033	metacyc.compound:PEPTIDYL-GLUTAMINASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10035	kegg.reaction:R04341	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10037	metacyc.compound:1.1.3.38-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10039	kegg.reaction:R02877	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10041	ecocyc:325-BISPHOSPHATE-NUCLEOTIDASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10041	metacyc.compound:325-BISPHOSPHATE-NUCLEOTIDASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10041	reactome:R-HSA-176606.3	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10041	reactome:R-HSA-8953499.3	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10043	kegg.reaction:R00188	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10045	metacyc.compound:CYCLOHEXANOL-DEHYDROGENASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10047	kegg.reaction:R02229	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10049	metacyc.compound:O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10051	kegg.reaction:R00651	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10054	metacyc.compound:RXN-16245	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10059	kegg.reaction:R03030	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10059	metacyc.compound:4.3.1.14-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10060	metacyc.compound:D-TRYPTOPHAN-N-ACETYLTRANSFERASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10063	kegg.reaction:R02481	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10064	metacyc.compound:D-ALANINE-HYDROXYMETHYLTRANSFERASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10067	kegg.reaction:R01225	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10069	metacyc.compound:RXN-18017	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10071	kegg.reaction:R12036	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10073	metacyc.compound:RXN-9680	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10075	kegg.reaction:R07244	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10077	metacyc.compound:BETAGALACTOSID-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10079	kegg.reaction:R01100	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10083	kegg.reaction:R05308	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10083	metacyc.compound:R5-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10085	metacyc.compound:PROTOCATECHUATE-34-DIOXYGENASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10087	kegg.reaction:R01631	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10091	kegg.reaction:R00809	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10091	metacyc.compound:2.4.1.167-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10093	ecocyc:DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10093	metacyc.compound:DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10095	kegg.reaction:R02751	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10097	metacyc.compound:2.3.1.184-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10099	kegg.reaction:R08940	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10101	metacyc.compound:STEROL-ESTERASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10103	kegg.reaction:R02115	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10105	metacyc.compound:RXN1F-170	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10107	kegg.reaction:R03009	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10111	kegg.reaction:R04697	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10111	metacyc.compound:1.1.1.248-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10113	reactome:R-HSA-1614524.4	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10115	kegg.reaction:R01290	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10115	metacyc.compound:CYSTATHIONINE-BETA-SYNTHASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10117	ecocyc:RXN-9952	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10117	metacyc.compound:6PGLUCONDEHYDROG-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10117	metacyc.compound:RXN-9952	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10117	reactome:R-HSA-71299.4	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10119	kegg.reaction:R01528	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10121	ecocyc:AMINOCYL-TRNA-HYDROLASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10121	metacyc.compound:AMINOCYL-TRNA-HYDROLASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10123	metacyc.compound:RXN-13992	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10125	metacyc.compound:1.14.13.92-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10127	kegg.reaction:R07201	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10129	metacyc.compound:RXN1F-155	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10131	kegg.reaction:R06948	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10133	metacyc.compound:BENZOATE--COA-LIGASE-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10133	reactome:R-HSA-159443.3	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10135	kegg.reaction:R01422	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10137	ecocyc:GLYOCARBOLIG-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10137	macie:M0298	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10137	metacyc.compound:GLYOCARBOLIG-RXN	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
rhea:10139	kegg.reaction:R00013	oboInOwl:hasDbXref	sempav:UnspecifiedMatching
