subject_id	object_id	predicate_id	mapping_justification
obo:ror#funder	EFO:0001736	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
obo:ror#healthcare	GSSO:004615	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
obo:ror#healthcare	ICO:0000048	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:000025p04	funderregistry:501100016204	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:000025p04	funderregistry:501100017170	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:00002d369	grid:grid.484899.0	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:00003ef66	wikidata:Q30315038	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:00003g016	grid:grid.502382.e	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:000050t83	grid:grid.471421.5	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:000050t83	isni:0000000417586597	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:000050t83	wikidata:Q11660325	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:00005jn19	grid:grid.509120.f	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:00005jn19	isni:0000000460667763	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:00005jn19	wikidata:Q5570747	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:000063q30	grid:grid.464092.d	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:000063q30	isni:0000000403830608	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:000063q30	wikidata:Q30262448	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:00008m859	grid:grid.497895.e	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:0000c1w11	grid:grid.511890.4	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:0000c1w11	wikidata:Q1998125	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:0000fr117	grid:grid.506460.1	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:0000fr117	isni:0000000446796788	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:0000fr117	wikidata:Q15825109	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:0000h6r91	grid:grid.474396.b	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:0000m8h16	grid:grid.451830.b	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:0000n5x09	grid:grid.463886.7	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:0000n5x09	isni:0000000403736662	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
ror:0000p0n60	funderregistry:100004724	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
