text	curie	name	predicate	source
TFC3	sgd:S000000001	YAL001C	oboInOwl:hasRelatedSynonym	sgd
FUN24	sgd:S000000001	YAL001C	oboInOwl:hasRelatedSynonym	sgd
TSV115	sgd:S000000001	YAL001C	oboInOwl:hasRelatedSynonym	sgd
tau 138	sgd:S000000001	YAL001C	oboInOwl:hasRelatedSynonym	sgd
transcription factor TFIIIC subunit TFC3	sgd:S000000001	YAL001C	oboInOwl:hasRelatedSynonym	sgd
YAL001C	sgd:S000000001	YAL001C	rdfs:label	sgd
VPS8	sgd:S000000002	YAL002W	oboInOwl:hasRelatedSynonym	sgd
CORVET complex membrane-binding subunit VPS8	sgd:S000000002	YAL002W	oboInOwl:hasRelatedSynonym	sgd
FUN15	sgd:S000000002	YAL002W	oboInOwl:hasRelatedSynonym	sgd
VPL8	sgd:S000000002	YAL002W	oboInOwl:hasRelatedSynonym	sgd
VPT8	sgd:S000000002	YAL002W	oboInOwl:hasRelatedSynonym	sgd
YAL002W	sgd:S000000002	YAL002W	rdfs:label	sgd
EFB1	sgd:S000000003	YAL003W	oboInOwl:hasRelatedSynonym	sgd
EF-1beta	sgd:S000000003	YAL003W	oboInOwl:hasRelatedSynonym	sgd
TEF5	sgd:S000000003	YAL003W	oboInOwl:hasRelatedSynonym	sgd
eEF1Balpha	sgd:S000000003	YAL003W	oboInOwl:hasRelatedSynonym	sgd
translation elongation factor 1 subunit beta	sgd:S000000003	YAL003W	oboInOwl:hasRelatedSynonym	sgd
YAL003W	sgd:S000000003	YAL003W	rdfs:label	sgd
SSA1	sgd:S000000004	YAL005C	oboInOwl:hasRelatedSynonym	sgd
Hsp70 family ATPase SSA1	sgd:S000000004	YAL005C	oboInOwl:hasRelatedSynonym	sgd
YG100	sgd:S000000004	YAL005C	oboInOwl:hasRelatedSynonym	sgd
YAL005C	sgd:S000000004	YAL005C	rdfs:label	sgd
ERP2	sgd:S000000005	YAL007C	oboInOwl:hasRelatedSynonym	sgd
YAL007C	sgd:S000000005	YAL007C	rdfs:label	sgd
FUN14	sgd:S000000006	YAL008W	oboInOwl:hasRelatedSynonym	sgd
YAL008W	sgd:S000000006	YAL008W	rdfs:label	sgd
SPO7	sgd:S000000007	YAL009W	oboInOwl:hasRelatedSynonym	sgd
Nem1-Spo7 phosphatase regulatory subunit SPO7	sgd:S000000007	YAL009W	oboInOwl:hasRelatedSynonym	sgd
YAL009W	sgd:S000000007	YAL009W	rdfs:label	sgd
MDM10	sgd:S000000008	YAL010C	oboInOwl:hasRelatedSynonym	sgd
FUN37	sgd:S000000008	YAL010C	oboInOwl:hasRelatedSynonym	sgd
YAL010C	sgd:S000000008	YAL010C	rdfs:label	sgd
SWC3	sgd:S000000009	YAL011W	oboInOwl:hasRelatedSynonym	sgd
SWC1	sgd:S000000009	YAL011W	oboInOwl:hasRelatedSynonym	sgd
YAL011W	sgd:S000000009	YAL011W	rdfs:label	sgd
CYS3	sgd:S000000010	YAL012W	oboInOwl:hasRelatedSynonym	sgd
CYI1	sgd:S000000010	YAL012W	oboInOwl:hasRelatedSynonym	sgd
FUN35	sgd:S000000010	YAL012W	oboInOwl:hasRelatedSynonym	sgd
STR1	sgd:S000000010	YAL012W	oboInOwl:hasRelatedSynonym	sgd
cystathionine gamma-lyase CYS3	sgd:S000000010	YAL012W	oboInOwl:hasRelatedSynonym	sgd
YAL012W	sgd:S000000010	YAL012W	rdfs:label	sgd
DEP1	sgd:S000000011	YAL013W	oboInOwl:hasRelatedSynonym	sgd
FUN54	sgd:S000000011	YAL013W	oboInOwl:hasRelatedSynonym	sgd
Rpd3L histone deacetylase complex subunit DEP1	sgd:S000000011	YAL013W	oboInOwl:hasRelatedSynonym	sgd
YAL013W	sgd:S000000011	YAL013W	rdfs:label	sgd
SYN8	sgd:S000000012	YAL014C	oboInOwl:hasRelatedSynonym	sgd
SLT2	sgd:S000000012	YAL014C	oboInOwl:hasRelatedSynonym	sgd
UIP2	sgd:S000000012	YAL014C	oboInOwl:hasRelatedSynonym	sgd
syntaxin	sgd:S000000012	YAL014C	oboInOwl:hasRelatedSynonym	sgd
YAL014C	sgd:S000000012	YAL014C	rdfs:label	sgd
NTG1	sgd:S000000013	YAL015C	oboInOwl:hasRelatedSynonym	sgd
FUN33	sgd:S000000013	YAL015C	oboInOwl:hasRelatedSynonym	sgd
SCR1	sgd:S000000013	YAL015C	oboInOwl:hasRelatedSynonym	sgd
bifunctional N-glycosylase/AP lyase NTG1	sgd:S000000013	YAL015C	oboInOwl:hasRelatedSynonym	sgd
ogg2	sgd:S000000013	YAL015C	oboInOwl:hasRelatedSynonym	sgd
YAL015C	sgd:S000000013	YAL015C	rdfs:label	sgd
TPD3	sgd:S000000014	YAL016W	oboInOwl:hasRelatedSynonym	sgd
FUN32	sgd:S000000014	YAL016W	oboInOwl:hasRelatedSynonym	sgd
protein phosphatase 2A structural subunit TPD3	sgd:S000000014	YAL016W	oboInOwl:hasRelatedSynonym	sgd
YAL016W	sgd:S000000014	YAL016W	rdfs:label	sgd
PSK1	sgd:S000000015	YAL017W	oboInOwl:hasRelatedSynonym	sgd
FUN31	sgd:S000000015	YAL017W	oboInOwl:hasRelatedSynonym	sgd
serine/threonine protein kinase PSK1	sgd:S000000015	YAL017W	oboInOwl:hasRelatedSynonym	sgd
YAL017W	sgd:S000000015	YAL017W	rdfs:label	sgd
LDS1	sgd:S000000016	YAL018C	oboInOwl:hasRelatedSynonym	sgd
YAL018C	sgd:S000000016	YAL018C	rdfs:label	sgd
FUN30	sgd:S000000017	YAL019W	oboInOwl:hasRelatedSynonym	sgd
DNA-dependent ATPase FUN30	sgd:S000000017	YAL019W	oboInOwl:hasRelatedSynonym	sgd
YAL019W	sgd:S000000017	YAL019W	rdfs:label	sgd
