text	curie	name	predicate	source
NFY	signor:SIGNOR-C1	NFY	rdfs:label	signor
SMAD4/JUN	signor:SIGNOR-C10	SMAD4/JUN	rdfs:label	signor
ULK1/Atg13/Fip200	signor:SIGNOR-C100	ULK1/Atg13/Fip200	rdfs:label	signor
TSC	signor:SIGNOR-C101	TSC	rdfs:label	signor
SUZ12/EZH2/YY1	signor:SIGNOR-C102	SUZ12/EZH2/YY1	rdfs:label	signor
NLI/Lmx1.1/Isl1 	signor:SIGNOR-C103	NLI/Lmx1.1/Isl1 	rdfs:label	signor
RFX complex	signor:SIGNOR-C104	RFX complex	rdfs:label	signor
CoREST-HDAC complex	signor:SIGNOR-C105	CoREST-HDAC complex	rdfs:label	signor
LMX1B/SFPQ/PSPC1 complex	signor:SIGNOR-C106	LMX1B/SFPQ/PSPC1 complex	rdfs:label	signor
DNA-PK	signor:SIGNOR-C107	DNA-PK	rdfs:label	signor
NC2 complex	signor:SIGNOR-C108	NC2 complex	rdfs:label	signor
ATG12/5/16L1	signor:SIGNOR-C109	ATG12/5/16L1	rdfs:label	signor
SMAD2/SMURF2	signor:SIGNOR-C11	SMAD2/SMURF2	rdfs:label	signor
GSK3B/Axin/APC	signor:SIGNOR-C110	GSK3B/Axin/APC	rdfs:label	signor
REST-CoREST	signor:SIGNOR-C111	REST-CoREST	rdfs:label	signor
PARD6/SMURF1	signor:SIGNOR-C112	PARD6/SMURF1	rdfs:label	signor
RAGAC	signor:SIGNOR-C113	RAGAC	rdfs:label	signor
RAGAD	signor:SIGNOR-C114	RAGAD	rdfs:label	signor
RAGBC	signor:SIGNOR-C115	RAGBC	rdfs:label	signor
RAGBD	signor:SIGNOR-C116	RAGBD	rdfs:label	signor
AEP complex	signor:SIGNOR-C117	AEP complex	rdfs:label	signor
STAT1/STAT3	signor:SIGNOR-C118	STAT1/STAT3	rdfs:label	signor
Cullin4-RBX1-DDB1	signor:SIGNOR-C119	Cullin4-RBX1-DDB1	rdfs:label	signor
SMAD7/HDAC1/E2F-1	signor:SIGNOR-C12	SMAD7/HDAC1/E2F-1	rdfs:label	signor
JAK1/STAT1/STAT3	signor:SIGNOR-C120	JAK1/STAT1/STAT3	rdfs:label	signor
PKCtheta/Nfix	signor:SIGNOR-C121	PKCtheta/Nfix	rdfs:label	signor
Six1/Dach	signor:SIGNOR-C122	Six1/Dach	rdfs:label	signor
MTA1/DJ1 complex 	signor:SIGNOR-C123	MTA1/DJ1 complex 	rdfs:label	signor
ISGF3 complex	signor:SIGNOR-C124	ISGF3 complex	rdfs:label	signor
AHR-ARNT	signor:SIGNOR-C125	AHR-ARNT	rdfs:label	signor
a7/b1 integrin	signor:SIGNOR-C126	a7/b1 integrin	rdfs:label	signor
MYOD/E12E47	signor:SIGNOR-C127	MYOD/E12E47	rdfs:label	signor
MYOD/HEB	signor:SIGNOR-C128	MYOD/HEB	rdfs:label	signor
MYOD/E2-2	signor:SIGNOR-C129	MYOD/E2-2	rdfs:label	signor
NfKb-p65/p50	signor:SIGNOR-C13	NfKb-p65/p50	rdfs:label	signor
Polycomb repressive complex 2	signor:SIGNOR-C130	Polycomb repressive complex 2	rdfs:label	signor
NAE	signor:SIGNOR-C131	NAE	rdfs:label	signor
PP2CA_R1A_R2A 	signor:SIGNOR-C132	PP2CA_R1A_R2A 	rdfs:label	signor
PP2Ca_R1A_Bd  	signor:SIGNOR-C133	PP2Ca_R1A_Bd  	rdfs:label	signor
PP2Ca_R1A_Bd	signor:SIGNOR-C134	PP2Ca_R1A_Bd	rdfs:label	signor
SCF-FBW7	signor:SIGNOR-C135	SCF-FBW7	rdfs:label	signor
SCF-SKP2	signor:SIGNOR-C136	SCF-SKP2	rdfs:label	signor
GUCY1A2-B2	signor:SIGNOR-C137	GUCY1A2-B2	rdfs:label	signor
GUCY1A2-B3	signor:SIGNOR-C138	GUCY1A2-B3	rdfs:label	signor
GUCY1A3-B2	signor:SIGNOR-C139	GUCY1A3-B2	rdfs:label	signor
IKK-complex	signor:SIGNOR-C14	IKK-complex	rdfs:label	signor
GUCY1A3-B3	signor:SIGNOR-C140	GUCY1A3-B3	rdfs:label	signor
IFNGR2/INFGR1	signor:SIGNOR-C142	IFNGR2/INFGR1	rdfs:label	signor
CyclinD1/CDK6	signor:SIGNOR-C143	CyclinD1/CDK6	rdfs:label	signor
CDK5/CDK5R1	signor:SIGNOR-C144	CDK5/CDK5R1	rdfs:label	signor
ARP2/3	signor:SIGNOR-C146	ARP2/3	rdfs:label	signor
MRE11/RAD50/NBS1	signor:SIGNOR-C147	MRE11/RAD50/NBS1	rdfs:label	signor
hb:hp	signor:SIGNOR-C149	hb:hp	rdfs:label	signor
AMPK	signor:SIGNOR-C15	AMPK	rdfs:label	signor
APC-c	signor:SIGNOR-C150	APC-c	rdfs:label	signor
Noncanonical PRC1	signor:SIGNOR-C151	Noncanonical PRC1	rdfs:label	signor
PAX2/TLE4	signor:SIGNOR-C152	PAX2/TLE4	rdfs:label	signor
TCR	signor:SIGNOR-C153	TCR	rdfs:label	signor
AP1	signor:SIGNOR-C154	AP1	rdfs:label	signor
Calcineurin	signor:SIGNOR-C155	Calcineurin	rdfs:label	signor
PI3K	signor:SIGNOR-C156	PI3K	rdfs:label	signor
LE-TGN  SNARE	signor:SIGNOR-C157	LE-TGN  SNARE	rdfs:label	signor
SMN complex	signor:SIGNOR-C158	SMN complex	rdfs:label	signor
