identifier	name	definition	synonyms	alts	parents	species
SIGNOR-C1	NFY				obo:signor#protein-complex	
SIGNOR-C10	SMAD4/JUN				obo:signor#protein-complex	
SIGNOR-C100	ULK1/Atg13/Fip200				obo:signor#protein-complex	
SIGNOR-C101	TSC				obo:signor#protein-complex	
SIGNOR-C102	SUZ12/EZH2/YY1				obo:signor#protein-complex	
SIGNOR-C103	NLI/Lmx1.1/Isl1 				obo:signor#protein-complex	
SIGNOR-C104	RFX complex				obo:signor#protein-complex	
SIGNOR-C105	CoREST-HDAC complex				obo:signor#protein-complex	
SIGNOR-C106	LMX1B/SFPQ/PSPC1 complex				obo:signor#protein-complex	
SIGNOR-C107	DNA-PK				obo:signor#protein-complex	
SIGNOR-C108	NC2 complex				obo:signor#protein-complex	
SIGNOR-C109	ATG12/5/16L1				obo:signor#protein-complex	
SIGNOR-C11	SMAD2/SMURF2				obo:signor#protein-complex	
SIGNOR-C110	GSK3B/Axin/APC				obo:signor#protein-complex	
SIGNOR-C111	REST-CoREST				obo:signor#protein-complex	
SIGNOR-C112	PARD6/SMURF1				obo:signor#protein-complex	
SIGNOR-C113	RAGAC				obo:signor#protein-complex	
SIGNOR-C114	RAGAD				obo:signor#protein-complex	
SIGNOR-C115	RAGBC				obo:signor#protein-complex	
SIGNOR-C116	RAGBD				obo:signor#protein-complex	
SIGNOR-C117	AEP complex				obo:signor#protein-complex	
SIGNOR-C118	STAT1/STAT3				obo:signor#protein-complex	
SIGNOR-C119	Cullin4-RBX1-DDB1				obo:signor#protein-complex	
SIGNOR-C12	SMAD7/HDAC1/E2F-1				obo:signor#protein-complex	
SIGNOR-C120	JAK1/STAT1/STAT3				obo:signor#protein-complex	
SIGNOR-C121	PKCtheta/Nfix				obo:signor#protein-complex	
SIGNOR-C122	Six1/Dach				obo:signor#protein-complex	
SIGNOR-C123	MTA1/DJ1 complex 				obo:signor#protein-complex	
SIGNOR-C124	ISGF3 complex				obo:signor#protein-complex	
SIGNOR-C125	AHR-ARNT				obo:signor#protein-complex	
SIGNOR-C126	a7/b1 integrin				obo:signor#protein-complex	
SIGNOR-C127	MYOD/E12E47				obo:signor#protein-complex	
SIGNOR-C128	MYOD/HEB				obo:signor#protein-complex	
SIGNOR-C129	MYOD/E2-2				obo:signor#protein-complex	
SIGNOR-C13	NfKb-p65/p50				obo:signor#protein-complex	
SIGNOR-C130	Polycomb repressive complex 2				obo:signor#protein-complex	
SIGNOR-C131	NAE				obo:signor#protein-complex	
SIGNOR-C132	PP2CA_R1A_R2A 				obo:signor#protein-complex	
SIGNOR-C133	PP2Ca_R1A_Bd  				obo:signor#protein-complex	
SIGNOR-C134	PP2Ca_R1A_Bd				obo:signor#protein-complex	
SIGNOR-C135	SCF-FBW7				obo:signor#protein-complex	
SIGNOR-C136	SCF-SKP2				obo:signor#protein-complex	
SIGNOR-C137	GUCY1A2-B2				obo:signor#protein-complex	
SIGNOR-C138	GUCY1A2-B3				obo:signor#protein-complex	
SIGNOR-C139	GUCY1A3-B2				obo:signor#protein-complex	
SIGNOR-C14	IKK-complex				obo:signor#protein-complex	
SIGNOR-C140	GUCY1A3-B3				obo:signor#protein-complex	
SIGNOR-C142	IFNGR2/INFGR1				obo:signor#protein-complex	
SIGNOR-C143	CyclinD1/CDK6				obo:signor#protein-complex	
SIGNOR-C144	CDK5/CDK5R1				obo:signor#protein-complex	
SIGNOR-C146	ARP2/3				obo:signor#protein-complex	
SIGNOR-C147	MRE11/RAD50/NBS1				obo:signor#protein-complex	
SIGNOR-C149	hb:hp				obo:signor#protein-complex	
SIGNOR-C15	AMPK				obo:signor#protein-complex	
SIGNOR-C150	APC-c				obo:signor#protein-complex	
SIGNOR-C151	Noncanonical PRC1				obo:signor#protein-complex	
SIGNOR-C152	PAX2/TLE4				obo:signor#protein-complex	
SIGNOR-C153	TCR				obo:signor#protein-complex	
SIGNOR-C154	AP1				obo:signor#protein-complex	
SIGNOR-C155	Calcineurin				obo:signor#protein-complex	
SIGNOR-C156	PI3K				obo:signor#protein-complex	
SIGNOR-C157	LE-TGN  SNARE				obo:signor#protein-complex	
SIGNOR-C158	SMN complex				obo:signor#protein-complex	
SIGNOR-C159	A1/b1 integrin				obo:signor#protein-complex	
SIGNOR-C16	CyclinE/CDK2				obo:signor#protein-complex	
SIGNOR-C160	A2/b1 integrin				obo:signor#protein-complex	
SIGNOR-C161	A3/b1 integrin				obo:signor#protein-complex	
SIGNOR-C162	A4/b1 integrin				obo:signor#protein-complex	
SIGNOR-C163	A5/b1 integrin				obo:signor#protein-complex	
SIGNOR-C164	A6/b1 integrin				obo:signor#protein-complex	
SIGNOR-C165	A8/b1 integrin				obo:signor#protein-complex	
SIGNOR-C166	A9/b1 integrin				obo:signor#protein-complex	
SIGNOR-C167	A10/b1 integrin				obo:signor#protein-complex	
SIGNOR-C168	A11/b1 integrin				obo:signor#protein-complex	
SIGNOR-C169	AL/b2 integrin				obo:signor#protein-complex	
SIGNOR-C17	CyclinB/CDK1				obo:signor#protein-complex	
SIGNOR-C170	AM/b2 integrin				obo:signor#protein-complex	
SIGNOR-C171	AX/b2 integrin				obo:signor#protein-complex	
SIGNOR-C172	AD/b2 integrin				obo:signor#protein-complex	
SIGNOR-C173	AIIB/b3 integrin				obo:signor#protein-complex	
SIGNOR-C174	A6/b4 integrin				obo:signor#protein-complex	
SIGNOR-C175	Av/b1 integrin				obo:signor#protein-complex	
SIGNOR-C176	Av/b2 integrin				obo:signor#protein-complex	
SIGNOR-C177	Av/b3 integrin				obo:signor#protein-complex	
SIGNOR-C178	Av/b5 integrin				obo:signor#protein-complex	
SIGNOR-C179	Av/b6 integrin				obo:signor#protein-complex	
SIGNOR-C18	CyclinD/CDK4				obo:signor#protein-complex	
SIGNOR-C180	Laminin-9				obo:signor#protein-complex	
SIGNOR-C181	Laminin-8				obo:signor#protein-complex	
SIGNOR-C182	Laminin-10				obo:signor#protein-complex	
SIGNOR-C183	Laminin-1				obo:signor#protein-complex	
SIGNOR-C184	Laminin-5				obo:signor#protein-complex	
SIGNOR-C185	Av/b8 integrin				obo:signor#protein-complex	
SIGNOR-C186	AE/b7 integrin				obo:signor#protein-complex	
SIGNOR-C187	A4/b7 integrin				obo:signor#protein-complex	
SIGNOR-C189	SETDB1/NLK/CHD7				obo:signor#protein-complex	
SIGNOR-C19	HMT				obo:signor#protein-complex	
SIGNOR-C190	PAS complex				obo:signor#protein-complex	
SIGNOR-C191	WRC complex				obo:signor#protein-complex	
SIGNOR-C192	GATOR1				obo:signor#protein-complex	
SIGNOR-C193	GATOR2				obo:signor#protein-complex	
SIGNOR-C195	CLOCK/BMAL1				obo:signor#protein-complex	
SIGNOR-C196	CLOCK/BMAL2				obo:signor#protein-complex	
SIGNOR-C197	CBFA2T3/ZNF651				obo:signor#protein-complex	
SIGNOR-C198	SNAIL/RELA/PARP1				obo:signor#protein-complex	
SIGNOR-C199	FCER1G/FCER1G				obo:signor#protein-complex	
SIGNOR-C2	mTORC2				obo:signor#protein-complex	
SIGNOR-C200	FCER1				obo:signor#protein-complex	
SIGNOR-C202	GNB/GNG				obo:signor#protein-complex	
SIGNOR-C203	SMAD2/STAT3/EP300				obo:signor#protein-complex	
SIGNOR-C204	SMAD3/PIAS3				obo:signor#protein-complex	
SIGNOR-C205	SMAD5/SMAD4				obo:signor#protein-complex	
SIGNOR-C206	SMAD8/SMAD4				obo:signor#protein-complex	
SIGNOR-C207	Neurofilament L/M				obo:signor#protein-complex	
SIGNOR-C208	Neurofilament L/H				obo:signor#protein-complex	
SIGNOR-C209	Hemoglobin				obo:signor#protein-complex	
SIGNOR-C21	CDON/SPAG9				obo:signor#protein-complex	
SIGNOR-C210	FN1/SDC4				obo:signor#protein-complex	
SIGNOR-C211	RUNX2/EP300				obo:signor#protein-complex	
SIGNOR-C212	CSF2RA/CSF2RB				obo:signor#protein-complex	
SIGNOR-C214	 Core Binding Factor complex				obo:signor#protein-complex	
SIGNOR-C215	SMAD1/5/8/SMAD4				obo:signor#protein-complex	
SIGNOR-C216	FZD7/SDC4				obo:signor#protein-complex	
SIGNOR-C217	DGC				obo:signor#protein-complex	
SIGNOR-C218	MAPK12/CARM1				obo:signor#protein-complex	
SIGNOR-C219	LPR5/6				obo:signor#protein-complex	
SIGNOR-C220	Caspase 1 complex				obo:signor#protein-complex	
SIGNOR-C221	Caspase 3 complex				obo:signor#protein-complex	
SIGNOR-C222	AIM2 inflammasome				obo:signor#protein-complex	
SIGNOR-C223	NLRC4 inflammasome				obo:signor#protein-complex	
SIGNOR-C224	NLRP1 inflammasome				obo:signor#protein-complex	
