subject_id	object_id	predicate_id	mapping_justification
slm:000000002	chebi:70846	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000003	chebi:70771	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000006	chebi:70829	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000007	chebi:70775	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000035	chebi:57817	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000042	chebi:17759	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000043	chebi:71550	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000044	chebi:71542	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000047	chebi:70826	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000048	chebi:70838	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000084	chebi:58332	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000101	chebi:60110	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000102	chebi:62237	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000119	chebi:57939	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000139	chebi:71541	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000140	chebi:71569	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000141	chebi:17585	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000147	chebi:71466	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000149	chebi:71464	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000178	chebi:71377	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000179	chebi:71375	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000180	chebi:71378	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000181	chebi:71380	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000182	chebi:71381	oboinowl:hasDbXref	sempav:UnspecifiedMatching
slm:000000183	chebi:71385	oboinowl:hasDbXref	sempav:UnspecifiedMatching
