identifier	name	definition	synonyms	alts	parents	species
0BSD	BSD Zero Clause License				spdx.term:ListedLicense	
3D-Slicer-1.0	3D Slicer License v1.0				spdx.term:ListedLicense	
AAL	Attribution Assurance License				spdx.term:ListedLicense	
ADSL	Amazon Digital Services License				spdx.term:ListedLicense	
AFL-1.1	Academic Free License v1.1				spdx.term:ListedLicense	
AFL-1.2	Academic Free License v1.2				spdx.term:ListedLicense	
AFL-2.0	Academic Free License v2.0				spdx.term:ListedLicense	
AFL-2.1	Academic Free License v2.1				spdx.term:ListedLicense	
AFL-3.0	Academic Free License v3.0				spdx.term:ListedLicense	
AGPL-1.0	Affero General Public License v1.0				spdx.term:ListedLicense	
AGPL-1.0-only	Affero General Public License v1.0 only				spdx.term:ListedLicense	
AGPL-1.0-or-later	Affero General Public License v1.0 or later				spdx.term:ListedLicense	
AGPL-3.0	GNU Affero General Public License v3.0				spdx.term:ListedLicense	
AGPL-3.0-only	GNU Affero General Public License v3.0 only				spdx.term:ListedLicense	
AGPL-3.0-or-later	GNU Affero General Public License v3.0 or later				spdx.term:ListedLicense	
AMD-newlib	AMD newlib License				spdx.term:ListedLicense	
AMDPLPA	AMD's plpa_map.c License				spdx.term:ListedLicense	
AML	Apple MIT License				spdx.term:ListedLicense	
AML-glslang	AML glslang variant License				spdx.term:ListedLicense	
AMPAS	Academy of Motion Picture Arts and Sciences BSD				spdx.term:ListedLicense	
ANTLR-PD	ANTLR Software Rights Notice				spdx.term:ListedLicense	
ANTLR-PD-fallback	ANTLR Software Rights Notice with license fallback				spdx.term:ListedLicense	
APAFML	Adobe Postscript AFM License				spdx.term:ListedLicense	
APL-1.0	Adaptive Public License 1.0				spdx.term:ListedLicense	
APSL-1.0	Apple Public Source License 1.0				spdx.term:ListedLicense	
APSL-1.1	Apple Public Source License 1.1				spdx.term:ListedLicense	
APSL-1.2	Apple Public Source License 1.2				spdx.term:ListedLicense	
APSL-2.0	Apple Public Source License 2.0				spdx.term:ListedLicense	
ASWF-Digital-Assets-1.0	ASWF Digital Assets License version 1.0				spdx.term:ListedLicense	
