text	curie	name	predicate	source
0BSD	spdx:0BSD	BSD Zero Clause License	oboInOwl:hasRelatedSynonym	spdx
BSD Zero Clause License	spdx:0BSD	BSD Zero Clause License	rdfs:label	spdx
3D-Slicer-1.0	spdx:3D-Slicer-1.0	3D Slicer License v1.0	oboInOwl:hasRelatedSynonym	spdx
3D Slicer License v1.0	spdx:3D-Slicer-1.0	3D Slicer License v1.0	rdfs:label	spdx
AAL	spdx:AAL	Attribution Assurance License	oboInOwl:hasRelatedSynonym	spdx
Attribution Assurance License	spdx:AAL	Attribution Assurance License	rdfs:label	spdx
ADSL	spdx:ADSL	Amazon Digital Services License	oboInOwl:hasRelatedSynonym	spdx
Amazon Digital Services License	spdx:ADSL	Amazon Digital Services License	rdfs:label	spdx
AFL-1.1	spdx:AFL-1.1	Academic Free License v1.1	oboInOwl:hasRelatedSynonym	spdx
Academic Free License v1.1	spdx:AFL-1.1	Academic Free License v1.1	rdfs:label	spdx
AFL-1.2	spdx:AFL-1.2	Academic Free License v1.2	oboInOwl:hasRelatedSynonym	spdx
Academic Free License v1.2	spdx:AFL-1.2	Academic Free License v1.2	rdfs:label	spdx
AFL-2.0	spdx:AFL-2.0	Academic Free License v2.0	oboInOwl:hasRelatedSynonym	spdx
Academic Free License v2.0	spdx:AFL-2.0	Academic Free License v2.0	rdfs:label	spdx
AFL-2.1	spdx:AFL-2.1	Academic Free License v2.1	oboInOwl:hasRelatedSynonym	spdx
Academic Free License v2.1	spdx:AFL-2.1	Academic Free License v2.1	rdfs:label	spdx
AFL-3.0	spdx:AFL-3.0	Academic Free License v3.0	oboInOwl:hasRelatedSynonym	spdx
Academic Free License v3.0	spdx:AFL-3.0	Academic Free License v3.0	rdfs:label	spdx
AGPL-1.0	spdx:AGPL-1.0	Affero General Public License v1.0	oboInOwl:hasRelatedSynonym	spdx
Affero General Public License v1.0	spdx:AGPL-1.0	Affero General Public License v1.0	rdfs:label	spdx
AGPL-1.0-only	spdx:AGPL-1.0-only	Affero General Public License v1.0 only	oboInOwl:hasRelatedSynonym	spdx
Affero General Public License v1.0 only	spdx:AGPL-1.0-only	Affero General Public License v1.0 only	rdfs:label	spdx
AGPL-1.0-or-later	spdx:AGPL-1.0-or-later	Affero General Public License v1.0 or later	oboInOwl:hasRelatedSynonym	spdx
Affero General Public License v1.0 or later	spdx:AGPL-1.0-or-later	Affero General Public License v1.0 or later	rdfs:label	spdx
AGPL-3.0	spdx:AGPL-3.0	GNU Affero General Public License v3.0	oboInOwl:hasRelatedSynonym	spdx
