identifier	name	definition	synonyms	alts	parents	species
0BSD	BSD Zero Clause License		0BSD		spdx.term:ListedLicense	
3D-Slicer-1.0	3D Slicer License v1.0		3D-Slicer-1.0		spdx.term:ListedLicense	
AAL	Attribution Assurance License		AAL		spdx.term:ListedLicense	
ADSL	Amazon Digital Services License		ADSL		spdx.term:ListedLicense	
AFL-1.1	Academic Free License v1.1		AFL-1.1		spdx.term:ListedLicense	
AFL-1.2	Academic Free License v1.2		AFL-1.2		spdx.term:ListedLicense	
AFL-2.0	Academic Free License v2.0		AFL-2.0		spdx.term:ListedLicense	
AFL-2.1	Academic Free License v2.1		AFL-2.1		spdx.term:ListedLicense	
AFL-3.0	Academic Free License v3.0		AFL-3.0		spdx.term:ListedLicense	
AGPL-1.0	Affero General Public License v1.0		AGPL-1.0		spdx.term:ListedLicense	
AGPL-1.0-only	Affero General Public License v1.0 only		AGPL-1.0-only		spdx.term:ListedLicense	
AGPL-1.0-or-later	Affero General Public License v1.0 or later		AGPL-1.0-or-later		spdx.term:ListedLicense	
AGPL-3.0	GNU Affero General Public License v3.0		AGPL-3.0		spdx.term:ListedLicense	
AGPL-3.0-only	GNU Affero General Public License v3.0 only		AGPL-3.0-only		spdx.term:ListedLicense	
AGPL-3.0-or-later	GNU Affero General Public License v3.0 or later		AGPL-3.0-or-later		spdx.term:ListedLicense	
AMD-newlib	AMD newlib License		AMD-newlib		spdx.term:ListedLicense	
AMDPLPA	AMD's plpa_map.c License		AMDPLPA		spdx.term:ListedLicense	
AML	Apple MIT License		AML		spdx.term:ListedLicense	
AML-glslang	AML glslang variant License		AML-glslang		spdx.term:ListedLicense	
AMPAS	Academy of Motion Picture Arts and Sciences BSD		AMPAS		spdx.term:ListedLicense	
ANTLR-PD	ANTLR Software Rights Notice		ANTLR-PD		spdx.term:ListedLicense	
ANTLR-PD-fallback	ANTLR Software Rights Notice with license fallback		ANTLR-PD-fallback		spdx.term:ListedLicense	
APAFML	Adobe Postscript AFM License		APAFML		spdx.term:ListedLicense	
APL-1.0	Adaptive Public License 1.0		APL-1.0		spdx.term:ListedLicense	
APSL-1.0	Apple Public Source License 1.0		APSL-1.0		spdx.term:ListedLicense	
APSL-1.1	Apple Public Source License 1.1		APSL-1.1		spdx.term:ListedLicense	
APSL-1.2	Apple Public Source License 1.2		APSL-1.2		spdx.term:ListedLicense	
APSL-2.0	Apple Public Source License 2.0		APSL-2.0		spdx.term:ListedLicense	
ASWF-Digital-Assets-1.0	ASWF Digital Assets License version 1.0		ASWF-Digital-Assets-1.0		spdx.term:ListedLicense	
ASWF-Digital-Assets-1.1	ASWF Digital Assets License 1.1		ASWF-Digital-Assets-1.1		spdx.term:ListedLicense	
Abstyles	Abstyles License		Abstyles		spdx.term:ListedLicense	
AdaCore-doc	AdaCore Doc License		AdaCore-doc		spdx.term:ListedLicense	
Adobe-2006	Adobe Systems Incorporated Source Code License Agreement		Adobe-2006		spdx.term:ListedLicense	
Adobe-Display-PostScript	Adobe Display PostScript License		Adobe-Display-PostScript		spdx.term:ListedLicense	
Adobe-Glyph	Adobe Glyph List License		Adobe-Glyph		spdx.term:ListedLicense	
Adobe-Utopia	Adobe Utopia Font License		Adobe-Utopia		spdx.term:ListedLicense	
Advanced-Cryptics-Dictionary	Advanced Cryptics Dictionary License		Advanced-Cryptics-Dictionary		spdx.term:ListedLicense	
Afmparse	Afmparse License		Afmparse		spdx.term:ListedLicense	
Aladdin	Aladdin Free Public License		Aladdin		spdx.term:ListedLicense	
Apache-1.0	Apache License 1.0		Apache-1.0		spdx.term:ListedLicense	
Apache-1.1	Apache License 1.1		Apache-1.1		spdx.term:ListedLicense	
Apache-2.0	Apache License 2.0		Apache-2.0		spdx.term:ListedLicense	
App-s2p	App::s2p License		App-s2p		spdx.term:ListedLicense	
Arphic-1999	Arphic Public License		Arphic-1999		spdx.term:ListedLicense	
Artistic-1.0	Artistic License 1.0		Artistic-1.0		spdx.term:ListedLicense	
Artistic-1.0-Perl	Artistic License 1.0 (Perl)		Artistic-1.0-Perl		spdx.term:ListedLicense	
Artistic-1.0-cl8	Artistic License 1.0 w/clause 8		Artistic-1.0-cl8		spdx.term:ListedLicense	
Artistic-2.0	Artistic License 2.0		Artistic-2.0		spdx.term:ListedLicense	
Artistic-dist	Artistic License 1.0 (dist)		Artistic-dist		spdx.term:ListedLicense	
Aspell-RU	Aspell Russian License		Aspell-RU		spdx.term:ListedLicense	
BSD-1-Clause	BSD 1-Clause License		BSD-1-Clause		spdx.term:ListedLicense	
BSD-2-Clause	BSD 2-Clause "Simplified" License		BSD-2-Clause		spdx.term:ListedLicense	
BSD-2-Clause-Darwin	BSD 2-Clause - Ian Darwin variant		BSD-2-Clause-Darwin		spdx.term:ListedLicense	
BSD-2-Clause-FreeBSD	BSD 2-Clause FreeBSD License		BSD-2-Clause-FreeBSD		spdx.term:ListedLicense	
BSD-2-Clause-NetBSD	BSD 2-Clause NetBSD License		BSD-2-Clause-NetBSD		spdx.term:ListedLicense	
BSD-2-Clause-Patent	BSD-2-Clause Plus Patent License		BSD-2-Clause-Patent		spdx.term:ListedLicense	
BSD-2-Clause-Views	BSD 2-Clause with views sentence		BSD-2-Clause-Views		spdx.term:ListedLicense	
BSD-2-Clause-first-lines	BSD 2-Clause - first lines requirement		BSD-2-Clause-first-lines		spdx.term:ListedLicense	
BSD-2-Clause-pkgconf-disclaimer	BSD 2-Clause pkgconf disclaimer variant		BSD-2-Clause-pkgconf-disclaimer		spdx.term:ListedLicense	
BSD-3-Clause	BSD 3-Clause "New" or "Revised" License		BSD-3-Clause		spdx.term:ListedLicense	
BSD-3-Clause-Attribution	BSD with attribution		BSD-3-Clause-Attribution		spdx.term:ListedLicense	
BSD-3-Clause-Clear	BSD 3-Clause Clear License		BSD-3-Clause-Clear		spdx.term:ListedLicense	
BSD-3-Clause-HP	Hewlett-Packard BSD variant license		BSD-3-Clause-HP		spdx.term:ListedLicense	
BSD-3-Clause-LBNL	Lawrence Berkeley National Labs BSD variant license		BSD-3-Clause-LBNL		spdx.term:ListedLicense	
BSD-3-Clause-Modification	BSD 3-Clause Modification		BSD-3-Clause-Modification		spdx.term:ListedLicense	
BSD-3-Clause-No-Military-License	BSD 3-Clause No Military License		BSD-3-Clause-No-Military-License		spdx.term:ListedLicense	
BSD-3-Clause-No-Nuclear-License	BSD 3-Clause No Nuclear License		BSD-3-Clause-No-Nuclear-License		spdx.term:ListedLicense	
BSD-3-Clause-No-Nuclear-License-2014	BSD 3-Clause No Nuclear License 2014		BSD-3-Clause-No-Nuclear-License-2014		spdx.term:ListedLicense	
BSD-3-Clause-No-Nuclear-Warranty	BSD 3-Clause No Nuclear Warranty		BSD-3-Clause-No-Nuclear-Warranty		spdx.term:ListedLicense	
BSD-3-Clause-Open-MPI	BSD 3-Clause Open MPI variant		BSD-3-Clause-Open-MPI		spdx.term:ListedLicense	
BSD-3-Clause-Sun	BSD 3-Clause Sun Microsystems		BSD-3-Clause-Sun		spdx.term:ListedLicense	
BSD-3-Clause-Tso	BSD 3-Clause Tso variant		BSD-3-Clause-Tso		spdx.term:ListedLicense	
BSD-3-Clause-acpica	BSD 3-Clause acpica variant		BSD-3-Clause-acpica		spdx.term:ListedLicense	
BSD-3-Clause-flex	BSD 3-Clause Flex variant		BSD-3-Clause-flex		spdx.term:ListedLicense	
BSD-4-Clause	BSD 4-Clause "Original" or "Old" License		BSD-4-Clause		spdx.term:ListedLicense	
BSD-4-Clause-Shortened	BSD 4 Clause Shortened		BSD-4-Clause-Shortened		spdx.term:ListedLicense	
BSD-4-Clause-UC	BSD-4-Clause (University of California-Specific)		BSD-4-Clause-UC		spdx.term:ListedLicense	
BSD-4.3RENO	BSD 4.3 RENO License		BSD-4.3RENO		spdx.term:ListedLicense	
BSD-4.3TAHOE	BSD 4.3 TAHOE License		BSD-4.3TAHOE		spdx.term:ListedLicense	
