text	curie	name	predicate	source
Activities & Behaviors	obo:sty#ACTI	Activities & Behaviors	rdfs:label	obo
Anatomy	obo:sty#ANAT	Anatomy	rdfs:label	obo
Chemicals & Drugs	obo:sty#CHEM	Chemicals & Drugs	rdfs:label	obo
Concepts & Ideas	obo:sty#CONC	Concepts & Ideas	rdfs:label	obo
Devices	obo:sty#DEVI	Devices	rdfs:label	obo
Disorders	obo:sty#DISO	Disorders	rdfs:label	obo
Genes & Molecular Sequences	obo:sty#GENE	Genes & Molecular Sequences	rdfs:label	obo
Geographic Areas	obo:sty#GEOG	Geographic Areas	rdfs:label	obo
Living Beings	obo:sty#LIVB	Living Beings	rdfs:label	obo
Objects	obo:sty#OBJC	Objects	rdfs:label	obo
Occupations	obo:sty#OCCU	Occupations	rdfs:label	obo
Organizations	obo:sty#ORGA	Organizations	rdfs:label	obo
Phenomena	obo:sty#PHEN	Phenomena	rdfs:label	obo
Physiology	obo:sty#PHYS	Physiology	rdfs:label	obo
Procedures	obo:sty#PROC	Procedures	rdfs:label	obo
Organism	sty:T001	Organism	rdfs:label	sty
Plant	sty:T002	Plant	rdfs:label	sty
Fungus	sty:T004	Fungus	rdfs:label	sty
Virus	sty:T005	Virus	rdfs:label	sty
Bacterium	sty:T007	Bacterium	rdfs:label	sty
Animal	sty:T008	Animal	rdfs:label	sty
Vertebrate	sty:T010	Vertebrate	rdfs:label	sty
Amphibian	sty:T011	Amphibian	rdfs:label	sty
Bird	sty:T012	Bird	rdfs:label	sty
Fish	sty:T013	Fish	rdfs:label	sty
Reptile	sty:T014	Reptile	rdfs:label	sty
Mammal	sty:T015	Mammal	rdfs:label	sty
Human	sty:T016	Human	rdfs:label	sty
Anatomical Structure	sty:T017	Anatomical Structure	rdfs:label	sty
Embryonic Structure	sty:T018	Embryonic Structure	rdfs:label	sty
Congenital Abnormality	sty:T019	Congenital Abnormality	rdfs:label	sty
Acquired Abnormality	sty:T020	Acquired Abnormality	rdfs:label	sty
Fully Formed Anatomical Structure	sty:T021	Fully Formed Anatomical Structure	rdfs:label	sty
Body System	sty:T022	Body System	rdfs:label	sty
Body Part, Organ, or Organ Component	sty:T023	Body Part, Organ, or Organ Component	rdfs:label	sty
Tissue	sty:T024	Tissue	rdfs:label	sty
Cell	sty:T025	Cell	rdfs:label	sty
Cell Component	sty:T026	Cell Component	rdfs:label	sty
Gene or Genome	sty:T028	Gene or Genome	rdfs:label	sty
Body Location or Region	sty:T029	Body Location or Region	rdfs:label	sty
Body Space or Junction	sty:T030	Body Space or Junction	rdfs:label	sty
Body Substance	sty:T031	Body Substance	rdfs:label	sty
Organism Attribute	sty:T032	Organism Attribute	rdfs:label	sty
Finding	sty:T033	Finding	rdfs:label	sty
Laboratory or Test Result	sty:T034	Laboratory or Test Result	rdfs:label	sty
Injury or Poisoning	sty:T037	Injury or Poisoning	rdfs:label	sty
Biologic Function	sty:T038	Biologic Function	rdfs:label	sty
Physiologic Function	sty:T039	Physiologic Function	rdfs:label	sty
Organism Function	sty:T040	Organism Function	rdfs:label	sty
Mental Process	sty:T041	Mental Process	rdfs:label	sty
Organ or Tissue Function	sty:T042	Organ or Tissue Function	rdfs:label	sty
Cell Function	sty:T043	Cell Function	rdfs:label	sty
Molecular Function	sty:T044	Molecular Function	rdfs:label	sty
Genetic Function	sty:T045	Genetic Function	rdfs:label	sty
Pathologic Function	sty:T046	Pathologic Function	rdfs:label	sty
Disease or Syndrome	sty:T047	Disease or Syndrome	rdfs:label	sty
Mental or Behavioral Dysfunction	sty:T048	Mental or Behavioral Dysfunction	rdfs:label	sty
Cell or Molecular Dysfunction	sty:T049	Cell or Molecular Dysfunction	rdfs:label	sty
Experimental Model of Disease	sty:T050	Experimental Model of Disease	rdfs:label	sty
