identifier	name	definition	synonyms	alts	parents	species
T001	Organism				obo:sty#LIVB	
T002	Plant				obo:sty#LIVB	
T004	Fungus				obo:sty#LIVB	
T005	Virus				obo:sty#LIVB	
T007	Bacterium				obo:sty#LIVB	
T008	Animal				obo:sty#LIVB	
T010	Vertebrate				obo:sty#LIVB	
T011	Amphibian				obo:sty#LIVB	
T012	Bird				obo:sty#LIVB	
T013	Fish				obo:sty#LIVB	
T014	Reptile				obo:sty#LIVB	
T015	Mammal				obo:sty#LIVB	
T016	Human				obo:sty#LIVB	
T017	Anatomical Structure				obo:sty#ANAT	
T018	Embryonic Structure				obo:sty#ANAT	
T019	Congenital Abnormality				obo:sty#DISO	
T020	Acquired Abnormality				obo:sty#DISO	
T021	Fully Formed Anatomical Structure				obo:sty#ANAT	
T022	Body System				obo:sty#ANAT	
T023	Body Part, Organ, or Organ Component				obo:sty#ANAT	
T024	Tissue				obo:sty#ANAT	
T025	Cell				obo:sty#ANAT	
T026	Cell Component				obo:sty#ANAT	
T028	Gene or Genome				obo:sty#GENE	
T029	Body Location or Region				obo:sty#ANAT	
T030	Body Space or Junction				obo:sty#ANAT	
T031	Body Substance				obo:sty#ANAT	
T032	Organism Attribute				obo:sty#PHYS	
T033	Finding				obo:sty#DISO	
T034	Laboratory or Test Result				obo:sty#PHEN	
T037	Injury or Poisoning				obo:sty#DISO	
T038	Biologic Function				obo:sty#PHEN	
T039	Physiologic Function				obo:sty#PHYS	
T040	Organism Function				obo:sty#PHYS	
T041	Mental Process				obo:sty#PHYS	
T042	Organ or Tissue Function				obo:sty#PHYS	
T043	Cell Function				obo:sty#PHYS	
T044	Molecular Function				obo:sty#PHYS	
T045	Genetic Function				obo:sty#PHYS	
T046	Pathologic Function				obo:sty#DISO	
T047	Disease or Syndrome				obo:sty#DISO	
T048	Mental or Behavioral Dysfunction				obo:sty#DISO	
T049	Cell or Molecular Dysfunction				obo:sty#DISO	
T050	Experimental Model of Disease				obo:sty#DISO	
T051	Event				obo:sty#ACTI	
