identifier	name	definition	synonyms	alts	parents	species
A0A009IHW8	ABTIR_ACIB9					
A0A023I7E1	ENG1_RHIMI					
A0A024B7W1	POLG_ZIKVF					
A0A024SC78	CUTI1_HYPJR					
A0A024SH76	GUX2_HYPJR					
A0A026W182	ORCO_OOCBI					
A0A044RE18	BLI_ONCVO					
A0A059TC02	CCR1_PETHY					
A0A060A682	HAP2_TETTH					
A0A061ACU2	PIEZ1_CAEEL					
A0A061AE05	PAPSH_CAEEL					
A0A061I403	FICD_CRIGR					
A0A067CMC7	HTP3_SAPPC					
A0A067XGX8	AROG2_PETHY					
A0A067XH53	AROG1_PETHY					
A0A067XR63	XTH7_DIOKA					
A0A067XRK9	XTH6_DIOKA					
A0A067YMX8	XTH8_DIOKA					
A0A068B6Q6	CA18_CONBE					
A0A068J840	UGT1_PANGI					
A0A068Q5Q5	DEPOL_BPKNT					
A0A072UR65	CHT5B_MEDTR					
A0A072VDF2	CCR1_MEDTR					
A0A075BSX9	HLNO_SHIS7					
A0A075D5I4	PINMT_RAUSE					
A0A075D657	PINMT_VINMI					
A0A075F7E9	LERK1_ORYSI					
A0A075F932	SYT1_ANSCY					
A0A075FBG7	ELS_MARVU					
A0A075QQ08	IF4E1_TOBAC					
A0A075TJ05	OTASE_ASPNG					
A0A075TMP0	PATD_PENEN					
A0A075TMP8	PATI_PENEN					
A0A075TR33	PATO_PENEN					
A0A075TR41	PATJ_PENEN					
A0A075TRC0	PATK_PENEN					
A0A075TRK9	PATE_PENEN					
A0A075TRL5	PATH_PENEN					
A0A075TXZ1	PATG_PENEN					
A0A076FFM5	F8H1_OCIBA					
A0A078CGE6	M3KE1_BRANA					
A0A087WPF7	AUTS2_MOUSE					
A0A087X1C5	CP2D7_HUMAN					
A0A088MIT0	BRKP2_PHYNA					
A0A088MLT8	IQIP1_MOUSE					
A0A089QRB9	MSL3_MYCTU					
A0A095AMW7	MLES_LEUME					
A0A096MJN4	SEPT4_RAT					
A0A096MJY4	MEF2C_RAT					
A0A096MK47	MLIP_RAT					
A0A096P8D3	IDH_OSTTA					
A0A097PTA8	DEFCO_COPCI					
A0A0A0LLY1	SRBP1_CUCSA					
A0A0A1C3I2	HMGR1_PANGI					
A0A0A1C930	HMR2A_PANGI					
A0A0A1H8I4	AIS_PSESP					
A0A0A1HA03	708C1_FAGES					
A0A0A1I6E7	NDB4S_ANDCR					
A0A0A1I6N9	NDB4T_ANDCR					
A0A0A6ZFY4	UGT29_PANGI					
A0A0A7EPL0	PIAL1_ARATH					
A0A0A7EQR3	GCE_CERUI					
A0A0A7GEY4	GGPPS_GEOAI					
A0A0A7HFE1	CAS10_STRTR					
A0A0A7HIF0	CSM3_STRTR					
A0A0A7HIX6	CSM6A_STRTR					
A0A0B0QJR1	HEPT_APHF2					
A0A0B4J1F4	ARRD4_MOUSE					
A0A0B4J1G0	FCG3A_MOUSE					
A0A0B4J1N3	GP15L_MOUSE					
A0A0B4J2F0	PIOS1_HUMAN					
A0A0B4J2F2	SIK1B_HUMAN					
A0A0B4K692	NEP2_DROME					
A0A0B4K7J2	RBP2_DROME					
A0A0B4KEE4	KOI_DROME					
A0A0B4KGY6	NOVA_DROME					
A0A0B4LFY9	STING_DROME					
A0A0B4U9L8	VMF1_VIPAA					
A0A0B5A051	PT1L_HUMLU					
A0A0B5A886	GP_SFTSV					
A0A0B5A8P4	INS3A_CONGE					
A0A0B5AC19	NSS_SFTSV					
A0A0B5AC95	INS1A_CONGE					
A0A0B5KYT4	MPDE2_PENBR					
A0A0B5LB55	MPAH2_PENBR					
A0A0B6CGH9	F7ODM_OCIBA					
A0A0B7P3V8	YP41B_YEAST					
A0A0B7P9G0	UEX_DROME					
A0A0C3RR82	PGMA1_PHLG1					
A0A0C3VJP4	SCP1_MEDTR					
A0A0C5B5G6	MOTSC_HUMAN					
A0A0C5CJR8	APRA_PSEMA					
A0A0C5PHQ7	ELOV5_TACFU					
A0A0C5Q4Y6	C76H2_ROSOF					
A0A0C5QRZ2	C76H2_SALFT					
