identifier	name	definition	synonyms	alts	parents	species
WP1	Statin pathway					NCBITaxon:10090
WP100	Glutathione metabolism					NCBITaxon:9606
WP1000	Arachidonate epoxygenase / epoxide hydrolase					NCBITaxon:9913
WP1001	Peptide GPCRs					NCBITaxon:9913
WP1002	Electron transport chain					NCBITaxon:9913
WP1004	Kit receptor signaling pathway					NCBITaxon:9913
WP1005	GPCRs, class B secretin-like					NCBITaxon:9913
WP1006	Metapathway biotransformation					NCBITaxon:9913
WP1007	Osteoclast signaling					NCBITaxon:9913
WP1008	Amino acid conjugation of benzoic acid					NCBITaxon:9913
WP101	Synthesis and degradation of ketone bodies					NCBITaxon:7227
WP1010	Wnt signaling pathway and pluripotency					NCBITaxon:9913
WP1011	TCR signaling pathway					NCBITaxon:9913
WP1012	IL-7 signaling pathway					NCBITaxon:9913
WP1013	Triacylglyceride synthesis					NCBITaxon:9913
WP1014	Androgen receptor signaling pathway					NCBITaxon:9913
WP1015	Ketone bodies synthesis and degradation					NCBITaxon:9913
WP1016	Wnt signaling pathway					NCBITaxon:9913
WP1017	Type II interferon signaling (IFNG)					NCBITaxon:9913
WP1018	Apoptosis					NCBITaxon:9913
WP1019	FAS pathway and stress induction of HSP regulation					NCBITaxon:9913
WP102	Heme biosynthesis					NCBITaxon:4932
WP1020	Fatty acid biosynthesis					NCBITaxon:9913
WP1021	Phase I biotransformations, non P450					NCBITaxon:9913
WP1022	Hedgehog signaling pathway					NCBITaxon:9913
WP1023	mRNA Processing					NCBITaxon:9913
WP1024	Steroid biosynthesis					NCBITaxon:9913
WP1025	B cell receptor signaling pathway					NCBITaxon:9913
WP1027	Glycolysis and gluconeogenesis					NCBITaxon:9913
WP1028	Pentose phosphate pathway					NCBITaxon:9913
WP1029	Notch signaling pathway					NCBITaxon:9913
WP103	Cholesterol biosynthesis					NCBITaxon:10090
WP1031	IL-3 signaling pathway					NCBITaxon:9913
WP1032	Nod-like receptor (NLR) signaling pathway					NCBITaxon:9913
WP1033	ACE inhibitor pathway					NCBITaxon:9913
WP1034	Acetylcholine synthesis					NCBITaxon:9913
WP1035	Mismatch repair					NCBITaxon:9913
WP1036	Homologous recombination					NCBITaxon:9913
WP1040	Inflammatory response pathway					NCBITaxon:9913
WP1041	Statin pathway					NCBITaxon:9913
WP1042	Nucleotide GPCRs					NCBITaxon:9913
WP1043	Calcium regulation in cardiac cell					NCBITaxon:9913
WP1045	TGF-beta signaling pathway					NCBITaxon:9913
WP1046	Hepatocyte growth factor receptor signaling					NCBITaxon:9913
WP1047	TNF-alpha signaling pathway					NCBITaxon:9913
WP1048	TGF-beta receptor signaling					NCBITaxon:9913
WP1049	G protein signaling pathways					NCBITaxon:9913
WP1050	Oxidative stress response					NCBITaxon:9913
WP1051	GPCRs, class C metabotropic glutamate, pheromone					NCBITaxon:9913
WP1052	ID signaling pathway					NCBITaxon:9913
WP1053	Estrogen metabolism					NCBITaxon:9913
WP1055	IL-4 signaling pathway					NCBITaxon:9913
WP1056	Complement and coagulation cascades					NCBITaxon:9913
WP106	Alanine and aspartate metabolism					NCBITaxon:9606
WP1060	Matrix metalloproteinases					NCBITaxon:9913
WP1062	Actin cytoskeleton regulation					NCBITaxon:9913
WP1063	G13 signaling pathway					NCBITaxon:9913
WP1064	Notch signaling pathway					NCBITaxon:9913
WP1065	Endochondral ossification					NCBITaxon:9913
WP1066	Eukaryotic transcription initiation					NCBITaxon:9913
WP1067	Toll-like receptor signaling pathway					NCBITaxon:9913
WP1068	Nuclear receptors					NCBITaxon:9913
WP1069	Integrin-mediated cell adhesion					NCBITaxon:9913
WP107	Translation factors					NCBITaxon:9606
WP1070	Cholesterol biosynthesis					NCBITaxon:9913
WP1071	Cytoplasmic ribosomal proteins					NCBITaxon:9913
WP1072	GPCRs, class A rhodopsin-like					NCBITaxon:9913
WP1073	Glycogen metabolism					NCBITaxon:9913
WP1074	Osteoblast signaling					NCBITaxon:9913
WP1075	Folate metabolism					NCBITaxon:9913
WP1076	Monoamine GPCRs					NCBITaxon:9913
WP1077	Oxidation by cytochrome P450					NCBITaxon:9913
WP1078	G1 to S cell cycle control					NCBITaxon:9913
WP1079	Proteasome degradation					NCBITaxon:9913
WP108	Selenium metabolism / selenoproteins					NCBITaxon:10090
WP1080	Irinotecan pathway					NCBITaxon:9913
WP1081	S1P receptor signal transduction					NCBITaxon:9913
WP1082	Apoptosis modulation by HSP70					NCBITaxon:9913
WP1083	Cell cycle					NCBITaxon:9913
WP1086	Heme biosynthesis					NCBITaxon:9615
WP109	UDP-glucose conversion					NCBITaxon:4932
WP1090	Eicosanoid synthesis					NCBITaxon:9615
WP1091	IL-2 signaling pathway					NCBITaxon:9615
WP1096	EGFR1 signaling pathway					NCBITaxon:9615
WP1099	Nuclear receptors in lipid metabolism and toxicity					NCBITaxon:9615
WP110	Translation factors					NCBITaxon:6239
WP1105	Adipogenesis					NCBITaxon:9615
WP111	Electron transport chain: OXPHOS system in mitochondria					NCBITaxon:9606
WP1112	EPO receptor signaling					NCBITaxon:9615
WP1113	Cytokines and inflammatory response					NCBITaxon:9615
WP1118	Biogenic amine synthesis					NCBITaxon:9615
WP112	Principal pathways of carbon metabolism					NCBITaxon:4932
WP1121	Kit receptor signaling pathway					NCBITaxon:9615
WP1122	Blood clotting cascade					NCBITaxon:9615
WP1126	Tryptophan metabolism					NCBITaxon:9615
WP1129	Wnt signaling pathway and pluripotency					NCBITaxon:9615
WP113	TGF-beta signaling pathway					NCBITaxon:10090
WP1133	Androgen receptor signaling pathway					NCBITaxon:9615
WP1134	Ketone bodies synthesis and degradation					NCBITaxon:9615
WP1135	Wnt signaling pathway					NCBITaxon:9615
WP1138	FAS pathway and stress induction of HSP regulation					NCBITaxon:9615
WP1141	Hedgehog signaling pathway					NCBITaxon:9615
WP1148	Notch signaling pathway					NCBITaxon:9615
WP1151	ACE inhibitor pathway					NCBITaxon:9615
WP1157	Statin pathway					NCBITaxon:9615
WP116	Hedgehog signaling pathway					NCBITaxon:10090
WP1165	G protein signaling pathways					NCBITaxon:9615
WP1168	ID signaling pathway					NCBITaxon:9615
WP117	GPCRs, other					NCBITaxon:9606
WP1176	Matrix metalloproteinases					NCBITaxon:9615
WP1180	Delta-Notch signaling pathway					NCBITaxon:9615
WP1182	Eukaryotic transcription initiation					NCBITaxon:9615
WP1184	Nuclear receptors					NCBITaxon:9615
WP1185	Integrin-mediated cell adhesion					NCBITaxon:9615
WP1186	Cholesterol biosynthesis					NCBITaxon:9615
WP1189	Glycogen metabolism					NCBITaxon:9615
WP1193	Monoamine GPCRs					NCBITaxon:9615
WP12	Osteoclast signaling					NCBITaxon:9606
WP1200	Cell cycle					NCBITaxon:9615
WP1205	Homologous recombination					NCBITaxon:7227
WP121	Colanic acid building blocks biosynthesis					NCBITaxon:4932
WP1211	Arylamine metabolism					NCBITaxon:9796
WP1212	Metapathway biotransformation					NCBITaxon:9796
WP1213	Phase I biotransformations, non P450					NCBITaxon:9796
WP1217	Aflatoxin B1 metabolism					NCBITaxon:9796
WP1218	Polyol pathway					NCBITaxon:9796
WP123	mRNA processing					NCBITaxon:6239
WP124	Irinotecan pathway					NCBITaxon:10116
WP1241	Glucuronidation					NCBITaxon:10090
WP1242	Non-homologous end joining					NCBITaxon:10090
WP1243	EBV LMP1 signaling					NCBITaxon:10090
WP1244	Estrogen signaling					NCBITaxon:10090
WP1245	Transcriptional activation by Nfe2l2 in response to phytochemicals					NCBITaxon:10090
WP1247	Methylation					NCBITaxon:10090
WP1248	Oxidative phosphorylation					NCBITaxon:10090
WP1249	EPO receptor signaling					NCBITaxon:10090
WP125	Biogenic amine synthesis					NCBITaxon:7227
WP1250	Arachidonate epoxygenase / epoxide hydrolase					NCBITaxon:10090
