text	curie	name	predicate	source
Statin pathway	wikipathways:WP1	Statin pathway	rdfs:label	wikipathways
IL 9 signaling pathway	wikipathways:WP10	IL 9 signaling pathway	rdfs:label	wikipathways
Glutathione metabolism	wikipathways:WP100	Glutathione metabolism	rdfs:label	wikipathways
Arachidonate epoxygenase epoxide hydrolase	wikipathways:WP1000	Arachidonate epoxygenase epoxide hydrolase	rdfs:label	wikipathways
Peptide GPCRs	wikipathways:WP1001	Peptide GPCRs	rdfs:label	wikipathways
Electron transport chain	wikipathways:WP1002	Electron transport chain	rdfs:label	wikipathways
Kit receptor signaling pathway	wikipathways:WP1004	Kit receptor signaling pathway	rdfs:label	wikipathways
GPCRs class B secretin like	wikipathways:WP1005	GPCRs class B secretin like	rdfs:label	wikipathways
Metapathway biotransformation	wikipathways:WP1006	Metapathway biotransformation	rdfs:label	wikipathways
Osteoclast signaling	wikipathways:WP1007	Osteoclast signaling	rdfs:label	wikipathways
Amino acid conjugation of benzoic acid	wikipathways:WP1008	Amino acid conjugation of benzoic acid	rdfs:label	wikipathways
Synthesis and degradation of ketone bodies	wikipathways:WP101	Synthesis and degradation of ketone bodies	rdfs:label	wikipathways
Wnt signaling pathway and pluripotency	wikipathways:WP1010	Wnt signaling pathway and pluripotency	rdfs:label	wikipathways
TCR signaling pathway	wikipathways:WP1011	TCR signaling pathway	rdfs:label	wikipathways
IL 7 signaling pathway	wikipathways:WP1012	IL 7 signaling pathway	rdfs:label	wikipathways
Triacylglyceride synthesis	wikipathways:WP1013	Triacylglyceride synthesis	rdfs:label	wikipathways
Androgen receptor signaling pathway	wikipathways:WP1014	Androgen receptor signaling pathway	rdfs:label	wikipathways
Ketone bodies synthesis and degradation	wikipathways:WP1015	Ketone bodies synthesis and degradation	rdfs:label	wikipathways
Wnt signaling pathway	wikipathways:WP1016	Wnt signaling pathway	rdfs:label	wikipathways
Type II interferon signaling IFNG 	wikipathways:WP1017	Type II interferon signaling IFNG 	rdfs:label	wikipathways
Apoptosis	wikipathways:WP1018	Apoptosis	rdfs:label	wikipathways
FAS pathway and stress induction of HSP regulation	wikipathways:WP1019	FAS pathway and stress induction of HSP regulation	rdfs:label	wikipathways
Heme biosynthesis	wikipathways:WP102	Heme biosynthesis	rdfs:label	wikipathways
Fatty acid biosynthesis	wikipathways:WP1020	Fatty acid biosynthesis	rdfs:label	wikipathways
Phase I biotransformations non P450	wikipathways:WP1021	Phase I biotransformations non P450	rdfs:label	wikipathways
Hedgehog signaling pathway	wikipathways:WP1022	Hedgehog signaling pathway	rdfs:label	wikipathways
mRNA Processing	wikipathways:WP1023	mRNA Processing	rdfs:label	wikipathways
Steroid biosynthesis	wikipathways:WP1024	Steroid biosynthesis	rdfs:label	wikipathways
B cell receptor signaling pathway	wikipathways:WP1025	B cell receptor signaling pathway	rdfs:label	wikipathways
Glycolysis and gluconeogenesis	wikipathways:WP1027	Glycolysis and gluconeogenesis	rdfs:label	wikipathways
Pentose phosphate pathway	wikipathways:WP1028	Pentose phosphate pathway	rdfs:label	wikipathways
Notch signaling pathway	wikipathways:WP1029	Notch signaling pathway	rdfs:label	wikipathways
Cholesterol biosynthesis	wikipathways:WP103	Cholesterol biosynthesis	rdfs:label	wikipathways
IL 3 signaling pathway	wikipathways:WP1031	IL 3 signaling pathway	rdfs:label	wikipathways
Nod like receptor NLR signaling pathway	wikipathways:WP1032	Nod like receptor NLR signaling pathway	rdfs:label	wikipathways
ACE inhibitor pathway	wikipathways:WP1033	ACE inhibitor pathway	rdfs:label	wikipathways
Acetylcholine synthesis	wikipathways:WP1034	Acetylcholine synthesis	rdfs:label	wikipathways
Mismatch repair	wikipathways:WP1035	Mismatch repair	rdfs:label	wikipathways
Homologous recombination	wikipathways:WP1036	Homologous recombination	rdfs:label	wikipathways
Inflammatory response pathway	wikipathways:WP1040	Inflammatory response pathway	rdfs:label	wikipathways
Statin pathway	wikipathways:WP1041	Statin pathway	rdfs:label	wikipathways
Nucleotide GPCRs	wikipathways:WP1042	Nucleotide GPCRs	rdfs:label	wikipathways
Calcium regulation in cardiac cell	wikipathways:WP1043	Calcium regulation in cardiac cell	rdfs:label	wikipathways
Hepatocyte growth factor receptor signaling	wikipathways:WP1046	Hepatocyte growth factor receptor signaling	rdfs:label	wikipathways
TNF alpha signaling pathway	wikipathways:WP1047	TNF alpha signaling pathway	rdfs:label	wikipathways
TGF beta receptor signaling	wikipathways:WP1048	TGF beta receptor signaling	rdfs:label	wikipathways
G protein signaling pathways	wikipathways:WP1049	G protein signaling pathways	rdfs:label	wikipathways
Oxidative stress response	wikipathways:WP1050	Oxidative stress response	rdfs:label	wikipathways
GPCRs class C metabotropic glutamate pheromone	wikipathways:WP1051	GPCRs class C metabotropic glutamate pheromone	rdfs:label	wikipathways
ID signaling pathway	wikipathways:WP1052	ID signaling pathway	rdfs:label	wikipathways
Estrogen metabolism	wikipathways:WP1053	Estrogen metabolism	rdfs:label	wikipathways
IL 4 signaling pathway	wikipathways:WP1055	IL 4 signaling pathway	rdfs:label	wikipathways
Complement and coagulation cascades	wikipathways:WP1056	Complement and coagulation cascades	rdfs:label	wikipathways
Alanine and aspartate metabolism	wikipathways:WP106	Alanine and aspartate metabolism	rdfs:label	wikipathways
Matrix metalloproteinases	wikipathways:WP1060	Matrix metalloproteinases	rdfs:label	wikipathways
Actin cytoskeleton regulation	wikipathways:WP1062	Actin cytoskeleton regulation	rdfs:label	wikipathways
G13 signaling pathway	wikipathways:WP1063	G13 signaling pathway	rdfs:label	wikipathways
Notch signaling pathway	wikipathways:WP1064	Notch signaling pathway	rdfs:label	wikipathways
Endochondral ossification	wikipathways:WP1065	Endochondral ossification	rdfs:label	wikipathways
Eukaryotic transcription initiation	wikipathways:WP1066	Eukaryotic transcription initiation	rdfs:label	wikipathways
Toll like receptor signaling pathway	wikipathways:WP1067	Toll like receptor signaling pathway	rdfs:label	wikipathways
Nuclear receptors	wikipathways:WP1068	Nuclear receptors	rdfs:label	wikipathways
Integrin mediated cell adhesion	wikipathways:WP1069	Integrin mediated cell adhesion	rdfs:label	wikipathways
Translation factors	wikipathways:WP107	Translation factors	rdfs:label	wikipathways
Cholesterol biosynthesis	wikipathways:WP1070	Cholesterol biosynthesis	rdfs:label	wikipathways
Cytoplasmic ribosomal proteins	wikipathways:WP1071	Cytoplasmic ribosomal proteins	rdfs:label	wikipathways
GPCRs class A rhodopsin like	wikipathways:WP1072	GPCRs class A rhodopsin like	rdfs:label	wikipathways
Glycogen metabolism	wikipathways:WP1073	Glycogen metabolism	rdfs:label	wikipathways
Osteoblast signaling	wikipathways:WP1074	Osteoblast signaling	rdfs:label	wikipathways
Folate metabolism	wikipathways:WP1075	Folate metabolism	rdfs:label	wikipathways
Monoamine GPCRs	wikipathways:WP1076	Monoamine GPCRs	rdfs:label	wikipathways
Oxidation by cytochrome P450	wikipathways:WP1077	Oxidation by cytochrome P450	rdfs:label	wikipathways
G1 to S cell cycle control	wikipathways:WP1078	G1 to S cell cycle control	rdfs:label	wikipathways
Proteasome degradation	wikipathways:WP1079	Proteasome degradation	rdfs:label	wikipathways
Selenium metabolism selenoproteins	wikipathways:WP108	Selenium metabolism selenoproteins	rdfs:label	wikipathways
Irinotecan pathway	wikipathways:WP1080	Irinotecan pathway	rdfs:label	wikipathways
S1P receptor signal transduction	wikipathways:WP1081	S1P receptor signal transduction	rdfs:label	wikipathways
Apoptosis modulation by HSP70	wikipathways:WP1082	Apoptosis modulation by HSP70	rdfs:label	wikipathways
Cell cycle	wikipathways:WP1083	Cell cycle	rdfs:label	wikipathways
Heme biosynthesis	wikipathways:WP1086	Heme biosynthesis	rdfs:label	wikipathways
UDP glucose conversion	wikipathways:WP109	UDP glucose conversion	rdfs:label	wikipathways
Eicosanoid synthesis	wikipathways:WP1090	Eicosanoid synthesis	rdfs:label	wikipathways
