subject_id	object_id	predicate_id	mapping_justification
zfin:ZDB-BR-071004-117	ncbigene:100126124	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000112-47	ncbigene:30754	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000125-12	ncbigene:794176	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000125-4	ncbigene:30120	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000128-11	ncbigene:30416	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000128-13	ncbigene:30417	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000128-8	ncbigene:30394	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000201-13	ncbigene:30652	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000201-18	ncbigene:30728	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000201-9	ncbigene:30630	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-13	ncbigene:30186	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-17	ncbigene:30248	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-18	ncbigene:30617	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-20	ncbigene:30115	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-21	ncbigene:30453	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-23	ncbigene:561679	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-25	ncbigene:30584	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-28	ncbigene:30268	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-4	ncbigene:30096	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-8	ncbigene:30187	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-9	ncbigene:30208	oboinowl:hasDbXref	sempav:UnspecifiedMatching
