subject_id	subject_label	object_id	object_label	predicate_id	mapping_justification
zfin:ZDB-BR-071004-117	br.line.zfl2-1	ncbigene:100126124		oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000112-47	ppardb	ncbigene:30754	ppardb	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000125-12	igfbp2a	ncbigene:794176	igfbp2a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000125-4	dlc	ncbigene:30120	dlc	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000128-11	dbx1b	ncbigene:30416	dbx1b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000128-13	dbx2	ncbigene:30417	dbx2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000128-8	dbx1a	ncbigene:30394	dbx1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000201-13	anos1b	ncbigene:30652	anos1b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000201-18	pbx4	ncbigene:30728	pbx4	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000201-9	anos1a	ncbigene:30630	anos1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-13	crestin	ncbigene:30186	crestin	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-17	calr3a	ncbigene:30248	calr3a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-18	urod	ncbigene:30617	urod	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-20	mixl1	ncbigene:30115	mixl1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-21	kifc1	ncbigene:30453	kifc1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-23	col11a2	ncbigene:561679	col11a2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-25	bmp7a	ncbigene:30584	bmp7a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-28	ccl27a	ncbigene:30268	ccl27a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-4	zic1	ncbigene:30096	zic1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-8	copg2	ncbigene:30187	copg2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000208-9	cmn	ncbigene:30208	cmn	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000209-3	robo1	ncbigene:30769	robo1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000209-4	robo3	ncbigene:30770	robo3	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-10	tpst1	ncbigene:30677	tpst1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-13	nccrp1	ncbigene:30078	nccrp1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-15	btg2	ncbigene:30079	btg2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-17	elavl1b	ncbigene:30065	elavl1b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-19	rbp4	ncbigene:30077	rbp4	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-20	cat	ncbigene:30068	cat	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-21	inhbaa	ncbigene:30072	inhbaa	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-23	meis2b	ncbigene:30066	meis2b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-25	khdrbs1a	ncbigene:30082	khdrbs1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-28	chico	ncbigene:30067	chico	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-31	vdra	ncbigene:30076	vdra	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-32	nme2b.1	ncbigene:30083	nme2b.1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-33	nme2b.2	ncbigene:30084	nme2b.2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-34	nme3	ncbigene:30085	nme3	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-35	nme7	ncbigene:30086	nme7	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-6	twist1a	ncbigene:30175	twist1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-7	twist3	ncbigene:30176	twist3	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000210-8	pcna	ncbigene:30678	pcna	oboinowl:hasDbXref	sempav:UnspecifiedMatching
