identifier	name	definition	synonyms	alts	parents	species
S000000001	YAL001C	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)	FUN24|TFC3|TSV115|tau 138|transcription factor TFIIIC subunit TFC3			ncbitaxon:4932
S000000002	YAL002W	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif	CORVET complex membrane-binding subunit VPS8|FUN15|VPL8|VPS8|VPT8			ncbitaxon:4932
S000000003	YAL003W	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site	EF-1beta|EFB1|TEF5|eEF1Balpha|translation elongation factor 1 subunit beta			ncbitaxon:4932
S000000004	YAL005C	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, and cell wall; 98% identical with paralog Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils	Hsp70 family ATPase SSA1|SSA1|YG100			ncbitaxon:4932
S000000005	YAL007C	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication	ERP2			ncbitaxon:4932
S000000006	YAL008W	Mitochondrial protein of unknown function	FUN14			ncbitaxon:4932
S000000007	YAL009W	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation	Nem1-Spo7 phosphatase regulatory subunit SPO7|SPO7			ncbitaxon:4932
S000000008	YAL010C	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase	FUN37|MDM10			ncbitaxon:4932
S000000009	YAL011W	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae	SWC1|SWC3			ncbitaxon:4932
S000000010	YAL012W	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress	CYI1|CYS3|FUN35|STR1|cystathionine gamma-lyase CYS3			ncbitaxon:4932
S000000011	YAL013W	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation	DEP1|FUN54|Rpd3L histone deacetylase complex subunit DEP1			ncbitaxon:4932
S000000012	YAL014C	Endosomal SNARE related to mammalian syntaxin 8	SLT2|SYN8|UIP2|syntaxin			ncbitaxon:4932
S000000013	YAL015C	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication	FUN33|NTG1|SCR1|bifunctional N-glycosylase/AP lyase NTG1|ogg2			ncbitaxon:4932
S000000014	YAL016W	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III	FUN32|TPD3|protein phosphatase 2A structural subunit TPD3			ncbitaxon:4932
S000000015	YAL017W	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication	FUN31|PSK1|serine/threonine protein kinase PSK1			ncbitaxon:4932
S000000016	YAL018C	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants	LDS1			ncbitaxon:4932
S000000017	YAL019W	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate	DNA-dependent ATPase FUN30|FUN30			ncbitaxon:4932
S000000018	YAL020C	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle	ATS1|FUN28|KTI13			ncbitaxon:4932
S000000019	YAL021C	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening	CCR4|CCR4-NOT core exoribonuclease subunit CCR4|FUN27|NUT21			ncbitaxon:4932
S000000020	YAL022C	High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member	FUN26|nucleoside transmembrane transporter FUN26			ncbitaxon:4932
S000000021	YAL023C	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication	FUN25|PMT2|dolichyl-phosphate-mannose-protein mannosyltransferase PMT2			ncbitaxon:4932
S000000022	YAL024C	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures	LTE1|MSI2|mitotic regulator LTE1			ncbitaxon:4932
S000000023	YAL025C	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus	MAK16|ribosome biosynthesis protein MAK16			ncbitaxon:4932
S000000024	YAL026C	Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease	DRS2|FUN38|SWA3|aminophospholipid-translocating P4-type ATPase DRS2			ncbitaxon:4932
S000000025	YAL027W	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	DNA-binding protein SAW1|SAW1			ncbitaxon:4932
S000000026	YAL028W	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication	FRT2|HPH2			ncbitaxon:4932
S000000027	YAL029C	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication	FUN22|MYO4|SHE1|myosin 4			ncbitaxon:4932
S000000028	YAL030W	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication	SNAP receptor SNC1|SNC1			ncbitaxon:4932
