subject_id	object_id	predicate_id	mapping_justification
mirbase:MI0000001	rfam:RF00027	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000001	WormBase:C05G5/12462-12364	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000002	rfam:RF00052	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000002	WormBase:F59G1/6156-6249	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000003	rfam:RF00103	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000003	WormBase:T09B4/23107-23012	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000004	rfam:RF00047	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000004	WormBase:M04C9/29652-29555	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000005	WormBase:Y41G9A/23565-23469	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000006	WormBase:Y62F5A/16840-16936	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000007	WormBase:Y62F5A/16945-17041	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000008	WormBase:Y62F5A/17065-17162	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000009	WormBase:Y62F5A/17162-17259	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000010	WormBase:Y62F5A/17315-17412	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000011	WormBase:Y62F5A/17411-17507	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000012	WormBase:Y62F5A/17540-17636	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000013	WormBase:ZK930/12429-12523	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000014	WormBase:ZK930/12528-12625	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000015	WormBase:ZK930/12641-12736	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000016	WormBase:ZK930/3657-3562	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000017	WormBase:ZK525/4728-4824	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000018	WormBase:K02B9/506-602	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000019	NCBIGene:260115	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000019	WormBase:WBGene00003039	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000020	WormBase:F19C6/9366-9462	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000021	WormBase:Y71G12B/98208-98306	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000022	rfam:RF00104	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000022	WormBase:F36H1/2915-2816	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000023	WormBase:Y37A1B/60854-60953	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000024	WormBase:F36H1/4494-4396	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000025	WormBase:F09A5/18644-18546	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000026	WormBase:F09A5/18474-18377	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000027	WormBase:F09A5/18337-18241	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000028	rfam:RF00104	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000028	WormBase:T09A5/18697-18599	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000029	WormBase:Y67D8A/16188-16284	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000030	WormBase:B0035/14964-14865	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000031	WormBase:C32D5/16788-16691	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000032	WormBase:F55A11/6731-6635	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000033	WormBase:T07C5/11823-11894	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000034	WormBase:C16H3/369-266	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000035	WormBase:Y48G9A/92980-93089	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000036	WormBase:Y48G9A/93134-93233	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000037	WormBase:Y48G9A/93240-93338	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000038	WormBase:EGAP1/4494-4396	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000041	WormBase:T10H9/32413-32314	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000042	WormBase:F16A11/5547-5454	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000043	WormBase:F53G2/2401-2495	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000044	WormBase:T24D8/30624-30722	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
mirbase:MI0000045	WormBase:T24D8/30902-30998	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
