subject_id	object_id	predicate_id	mapping_justification
mirbase:MI0000001	rfam:RF00027	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000001	wormbase:C05G5/12462-12364	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000002	rfam:RF00052	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000002	wormbase:F59G1/6156-6249	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000003	rfam:RF00103	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000003	wormbase:T09B4/23107-23012	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000004	rfam:RF00047	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000004	wormbase:M04C9/29652-29555	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000005	wormbase:Y41G9A/23565-23469	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000006	wormbase:Y62F5A/16840-16936	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000007	wormbase:Y62F5A/16945-17041	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000008	wormbase:Y62F5A/17065-17162	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000009	wormbase:Y62F5A/17162-17259	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000010	wormbase:Y62F5A/17315-17412	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000011	wormbase:Y62F5A/17411-17507	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000012	wormbase:Y62F5A/17540-17636	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000013	wormbase:ZK930/12429-12523	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000014	wormbase:ZK930/12528-12625	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000015	wormbase:ZK930/12641-12736	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000016	wormbase:ZK930/3657-3562	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000017	wormbase:ZK525/4728-4824	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000018	wormbase:K02B9/506-602	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000019	wormbase:WBGene00003039	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000019	ncbigene:260115	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000020	wormbase:F19C6/9366-9462	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000021	wormbase:Y71G12B/98208-98306	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000022	rfam:RF00104	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000022	wormbase:F36H1/2915-2816	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000023	wormbase:Y37A1B/60854-60953	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000024	wormbase:F36H1/4494-4396	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000025	wormbase:F09A5/18644-18546	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000026	wormbase:F09A5/18474-18377	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000027	wormbase:F09A5/18337-18241	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000028	rfam:RF00104	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000028	wormbase:T09A5/18697-18599	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000029	wormbase:Y67D8A/16188-16284	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000030	wormbase:B0035/14964-14865	oboinowl:hasDbXref	sempav:UnspecifiedMatching
mirbase:MI0000031	wormbase:C32D5/16788-16691	oboinowl:hasDbXref	sempav:UnspecifiedMatching
