subject_id	object_id	predicate_id	mapping_justification
pharmgkb.variant:PA166153539	dbsnp:rs699	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153540	dbsnp:rs959	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153541	dbsnp:rs1205	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153542	dbsnp:rs3397	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153543	dbsnp:rs4606	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153544	dbsnp:rs4658	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153545	dbsnp:rs4762	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153546	dbsnp:rs5050	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153547	dbsnp:rs5051	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153548	dbsnp:rs5063	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153549	dbsnp:rs5065	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153550	dbsnp:rs5272	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153551	dbsnp:rs5273	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153552	dbsnp:rs5275	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153553	dbsnp:rs6018	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153554	dbsnp:rs6025	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153555	dbsnp:rs6136	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153556	dbsnp:rs7079	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153557	dbsnp:rs7483	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153558	dbsnp:rs7877	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153559	dbsnp:rs20417	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153560	dbsnp:rs182455	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153561	dbsnp:rs197388	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153562	dbsnp:rs209709	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153563	dbsnp:rs228642	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153564	dbsnp:rs228666	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153565	dbsnp:rs228697	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153566	dbsnp:rs228729	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153567	dbsnp:rs323719	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153568	dbsnp:rs323720	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153569	dbsnp:rs324420	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153570	dbsnp:rs340874	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153571	dbsnp:rs396991	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153572	dbsnp:rs506546	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153573	dbsnp:rs521093	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153574	dbsnp:rs529520	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153575	dbsnp:rs532545	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153576	dbsnp:rs560018	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153577	dbsnp:rs576523	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153578	dbsnp:rs581111	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153579	dbsnp:rs595961	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153580	dbsnp:rs602633	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153581	dbsnp:rs602950	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153582	dbsnp:rs642990	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153583	dbsnp:rs646776	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153584	dbsnp:rs676643	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153585	dbsnp:rs689466	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153586	dbsnp:rs696692	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153587	dbsnp:rs763110	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153588	dbsnp:rs800292	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153589	dbsnp:rs814951	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153590	dbsnp:rs818194	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153591	dbsnp:rs822441	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153592	dbsnp:rs822442	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153593	dbsnp:rs841698	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153594	dbsnp:rs841844	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153595	dbsnp:rs846908	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153596	dbsnp:rs846910	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153597	dbsnp:rs878949	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153598	dbsnp:rs890293	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153599	dbsnp:rs904323	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153600	dbsnp:rs928655	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153601	dbsnp:rs929087	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153602	dbsnp:rs943580	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153603	dbsnp:rs951436	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153604	dbsnp:rs951439	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153605	dbsnp:rs983332	skos:exactMatch	semapv:UnspecifiedMatching
pharmgkb.variant:PA166153606	dbsnp:rs1042114	skos:exactMatch	semapv:UnspecifiedMatching
